Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2005-08-04	0015	7.61	7.73	7.61	7.73	884000	6768790	7.73
2005-08-04	0050	49.75	49.85	49.54	49.76	3398000	168976280	49.76
2005-08-04	01001T	10.15	10.2	10.15	10.2	1328000	13495450	10.2
2005-08-04	1101	20.75	20.75	20.5	20.65	7320972	151053613	20.65
2005-08-04	1101A	27.5	27.5	27.5	27.5	200000	5500000	27.5
2005-08-04	1102	21.15	21.4	21.1	21.3	12066000	256726650	21.3
2005-08-04	1103	13.85	14	13.75	14	2380389	33091526	14
2005-08-04	1104	10.8	10.95	10.7	10.95	624130	6781246	10.95
2005-08-04	1107	0.62	0.66	0.62	0.66	271000	176120	0.66
2005-08-04	1108	7.23	7.25	7.15	7.24	234100	1686899	7.24
2005-08-04	1109	9.08	9.08	9	9.01	51772	466991	9.01
2005-08-04	1110	6.7	6.79	6.7	6.71	155313	1046338	6.71
2005-08-04	1201	10.45	10.45	10.25	10.4	1457812	15056618	10.4
2005-08-04	1203	8.85	8.88	8.8	8.87	475000	4189440	8.87
2005-08-04	1204					0	0	
2005-08-04	1207	2.86	2.86	2.81	2.84	169130	477555	2.84
2005-08-04	1210	10.15	10.15	9.95	10	639024	6390960	10
2005-08-04	1213	10	10	10	10	12000	120000	10
2005-08-04	1215	5.4	5.4	5.3	5.4	183177	980098	5.4
2005-08-04	1216	14.2	14.25	13.9	13.95	8338346	117146449	13.95
2005-08-04	1217	7.83	7.86	7.7	7.75	924004	7189120	7.75
2005-08-04	1218	6.83	6.86	6.79	6.79	858772	5846968	6.79
2005-08-04	1219	5.12	5.17	5.1	5.1	85000	436420	5.1
2005-08-04	1220	5.95	6	5.95	6	67008	400743	6
2005-08-04	1225	4.86	4.89	4.83	4.88	308000	1494040	4.88
2005-08-04	1227	12.4	12.4	12.3	12.35	204100	2518832	12.35
2005-08-04	1229	11.5	11.6	11.4	11.4	1541465	17676624	11.4
2005-08-04	1231	10.05	10.1	9.96	10	302000	3022690	10
2005-08-04	1232	16.45	16.45	16.4	16.4	7100	116700	16.4
2005-08-04	1233	23.8	24.4	23.8	24.2	18589	447575	24.2
2005-08-04	1234	9.63	9.74	9.63	9.73	89010	864806	9.73
2005-08-04	1235	12.85	12.85	12.7	12.7	25001	317962	12.7
2005-08-04	1236	15.75	15.8	15.7	15.75	150231	2363319	15.75
2005-08-04	1301	50.4	50.4	49.9	50.1	7881701	394910043	50.1
2005-08-04	1303	41.15	41.15	40.7	41.05	4829055	197465374	41.05
2005-08-04	1304	10.3	10.3	10.15	10.2	3029306	30961259	10.2
2005-08-04	1305	9.7	9.82	9.64	9.7	2444525	23790996	9.7
2005-08-04	1306	3.84	3.84	3.84	3.84	3000	11520	3.84
2005-08-04	1307	17.7	17.7	17.5	17.7	65000	1140800	17.7
2005-08-04	1308	14.8	14.9	14.7	14.7	527012	7802667	14.7
2005-08-04	1309	9.51	9.61	9.45	9.5	253062	2407042	9.5
2005-08-04	1310	17.75	18.1	17.75	17.8	973833	17404201	17.8
2005-08-04	1311	22.9	22.9	22.65	22.7	397194	9033396	22.7
2005-08-04	1312	9.2	9.36	9.16	9.27	915481	8445094	9.27
2005-08-04	1312A					0	0	
2005-08-04	1313	11.2	11.45	11.1	11.3	11324000	126876000	11.3
2005-08-04	1314	9.25	9.56	9.23	9.38	17229225	162668230	9.38
2005-08-04	1315	10.1	10.2	10.1	10.1	8800	89108	10.1
2005-08-04	1316	1.91	1.93	1.9	1.91	82000	156520	1.91
2005-08-04	1319	41.4	42.3	41.1	42	843000	35075250	42
2005-08-04	1321	12.15	12.2	12.15	12.15	15100	183973	12.15
2005-08-04	1323	9.25	9.26	9.25	9.26	19000	175790	9.26
2005-08-04	1324	9.14	9.14	9.08	9.08	53000	482790	9.08
2005-08-04	1325	9.1	9.29	9.1	9.11	93500	855635	9.11
2005-08-04	1326	50.2	50.2	49.7	49.9	7504557	374992291	49.9
2005-08-04	1402	25.55	25.8	25.4	25.45	7238038	185070849	25.45
2005-08-04	1408	0.44	0.46	0.43	0.46	248000	110740	0.46
2005-08-04	1409	7.05	7.1	6.99	7.1	2703070	18992324	7.1
2005-08-04	1410	5.81	5.81	5.75	5.76	47674	276047	5.76
2005-08-04	1413	2.75	2.78	2.73	2.75	71000	196000	2.75
2005-08-04	1414	4.19	4.19	4.05	4.08	122000	502870	4.08
2005-08-04	1416	3.89	3.91	3.84	3.9	1327042	5150129	3.9
2005-08-04	1417	7.5	7.65	7.46	7.57	2940154	22277818	7.57
2005-08-04	1418	3.02	3.02	2.96	3.02	87000	259720	3.02
2005-08-04	1419	12.65	12.65	12.45	12.45	417000	5215350	12.45
2005-08-04	1423	4.5	4.5	4.44	4.47	27005	120722	4.47
2005-08-04	1434	15.1	15.1	15	15.05	930556	14045911	15.05
2005-08-04	1435	8.56	8.82	8.56	8.71	182000	1579340	8.71
2005-08-04	1436	6.02	6.05	5.9	5.95	71000	422790	5.95
2005-08-04	1437	11.4	11.5	11.35	11.5	120995	1379730	11.5
2005-08-04	1438	1.8	1.8	1.8	1.8	100000	180000	1.8
2005-08-04	1439	9.82	10	9.82	10	9000	89300	10
2005-08-04	1440	7.7	7.75	7.66	7.69	698053	5365983	7.69
2005-08-04	1441	2.68	2.86	2.66	2.78	65000	178380	2.78
2005-08-04	1442	10.9	10.9	10.65	10.65	34000	362687	10.65
2005-08-04	1443	2.92	2.97	2.92	2.95	35000	102770	2.95
2005-08-04	1444	4.51	4.51	4.45	4.45	864040	3865332	4.45
2005-08-04	1445	3.85	3.91	3.85	3.91	28000	108660	3.91
2005-08-04	1446	3.24	3.26	3.21	3.21	72000	232530	3.21
2005-08-04	1447	7.28	7.37	7.2	7.22	1204304	8723008	7.22
2005-08-04	1449	2.02	2.04	2.01	2.04	340000	688460	2.04
2005-08-04	1451	26.7	26.8	26.5	26.8	325618	8692737	26.8
2005-08-04	1452	6.22	6.3	6.22	6.25	101000	632300	6.25
2005-08-04	1453	2.47	2.71	2.47	2.62	197126	527777	2.62
2005-08-04	1454	4.63	4.67	4.6	4.67	49005	226113	4.67
2005-08-04	1455	8.68	8.68	8.6	8.62	901343	7782811	8.62
2005-08-04	1456	2.18	2.18	2.09	2.18	31000	67400	2.18
2005-08-04	1457	3.81	3.82	3.79	3.81	439000	1670290	3.81
2005-08-04	1459	7.2	7.28	7.19	7.19	203100	1464943	7.19
2005-08-04	1460	6.57	6.57	6.51	6.55	362000	2365020	6.55
2005-08-04	1463	6.45	6.45	6.2	6.44	500000	3137000	6.44
2005-08-04	1464	4.84	4.88	4.8	4.88	245000	1183460	4.88
2005-08-04	1465	8.07	8.1	8.06	8.1	42000	339800	8.1
2005-08-04	1466	4.67	4.72	4.6	4.6	264000	1225680	4.6
2005-08-04	1467	9.87	9.87	9.75	9.8	325000	3188890	9.8
2005-08-04	1468	13.3	13.4	13.15	13.25	181000	2405150	13.25
2005-08-04	1469	10.7	10.7	10.7	10.7	60000	642000	10.7
2005-08-04	1470	3.69	3.7	3.37	3.37	9000	32280	3.37
2005-08-04	1471	39	41	38.35	39.5	3056000	120557650	39.5
2005-08-04	1472	5.72	5.72	5.6	5.6	37000	210450	5.6
2005-08-04	1473	39.2	39.5	39.2	39.5	58366	2303683	39.5
2005-08-04	1474	9.69	9.7	9.64	9.64	230487	2224623	9.64
2005-08-04	1475	24.95	24.95	24.95	24.95	1000	24950	24.95
2005-08-04	1476	17.2	17.2	17.15	17.2	48393	831752	17.2
2005-08-04	1477	40.3	40.3	40.15	40.2	225948	9092256	40.2
2005-08-04	1503	28.8	28.8	28.35	28.55	3309292	94770914	28.55
2005-08-04	1504	9.37	9.37	9.3	9.32	1970810	18388536	9.32
2005-08-04	1506	8.13	8.13	7.51	7.6	280000	2215310	7.6
2005-08-04	1507	18.95	18.95	18.7	18.75	580175	10912204	18.75
2005-08-04	1512	8.3	8.39	8.3	8.31	316001	2630668	8.31
2005-08-04	1513	13.95	13.95	13.7	13.75	1043000	14361500	13.75
2005-08-04	1514	6.25	6.3	6.2	6.3	40000	249350	6.3
2005-08-04	1515	8.87	8.87	8.73	8.73	121546	1068485	8.73
2005-08-04	1516	4.2	4.2	4.16	4.19	55000	229450	4.19
2005-08-04	1517	8.42	8.42	8.25	8.25	735794	6105635	8.25
2005-08-04	1519	10	10.2	9.85	10.1	904388	9111348	10.1
2005-08-04	1520	39.9	39.95	39.45	39.55	664477	26307069	39.55
2005-08-04	1521	31.6	31.65	31.45	31.65	40000	1261400	31.65
2005-08-04	1522	21.8	22.4	21.8	22	466805	10309746	22
2005-08-04	1523	24.2	24.2	23.95	24	93495	2248714	24
2005-08-04	1524	14.4	14.75	14.4	14.6	364032	5318023	14.6
2005-08-04	1525	24.5	24.7	24.5	24.7	7000	172200	24.7
2005-08-04	1526	4.54	4.55	4.46	4.47	127000	570640	4.47
2005-08-04	1527	73.5	73.5	71.9	72	799420	57584288	72
2005-08-04	1528	12.5	12.8	12	12	1865703	22949573	12
2005-08-04	1529	6.14	6.23	5.91	6.16	1482000	9027960	6.16
2005-08-04	1530	50.7	51	50.3	50.5	183052	9267290	50.5
2005-08-04	1531	33.3	33.85	33.3	33.3	1016144	34104498	33.3
2005-08-04	1532	26.65	27.25	26.55	27	697603	18775010	27
2005-08-04	1533	21.3	21.3	21	21.1	68010	1438210	21.1
2005-08-04	1535	11.95	12	11.9	11.9	210724	2509672	11.9
2005-08-04	1536	31.9	31.95	31.4	31.5	518000	16442600	31.5
2005-08-04	1537	14.3	14.3	14.3	14.3	18000	257400	14.3
2005-08-04	1538	39.2	41.8	39.2	41.8	3402138	139346167	41.8
2005-08-04	1539	6.74	6.75	6.65	6.65	30000	200870	6.65
2005-08-04	1540	14	14	13.7	13.8	179250	2482031	13.8
2005-08-04	1541	11.5	11.6	11.5	11.5	8448	97325	11.5
2005-08-04	1560	90.1	90.1	86	87	323100	28377474	87
2005-08-04	1601	15.6	16	15.5	15.5	3190000	50135922	15.5
2005-08-04	1603	4.08	4.08	4.01	4.04	144000	581160	4.04
2005-08-04	1604	5.99	5.99	5.9	5.9	2247729	13339824	5.9
2005-08-04	1605	11.3	11.4	11.25	11.25	2916212	32976284	11.25
2005-08-04	1606	10.1	10.15	9.82	9.87	12131728	119922000	9.87
2005-08-04	1608	6.11	6.17	6.1	6.11	1022213	6260195	6.11
2005-08-04	1609	8.7	8.81	8.7	8.81	1956000	17084200	8.81
2005-08-04	1611	13.35	13.55	12.95	13.05	2114950	27837443	13.05
2005-08-04	1612	10.35	10.4	10.25	10.3	1340300	13841220	10.3
2005-08-04	1613	2.16	2.16	2.12	2.15	157138	336355	2.15
2005-08-04	1614	16.1	16.8	16.05	16.6	331000	5432300	16.6
2005-08-04	1615	8.5	8.7	8.32	8.53	68000	574240	8.53
2005-08-04	1616	9.88	9.89	9.82	9.84	100737	991586	9.84
2005-08-04	1617	9.23	9.33	9.1	9.28	35000	321600	9.28
2005-08-04	1618	9.55	9.69	9.55	9.6	307948	2968981	9.6
2005-08-04	1701	11.2	11.25	11	11.05	950137	10516734	11.05
2005-08-04	1702	4.98	5.01	4.96	4.99	244205	1219219	4.99
2005-08-04	1704	20	20.35	19.65	20.35	2052103	41174524	20.35
2005-08-04	1707	8.68	8.74	8.65	8.71	530789	4621308	8.71
2005-08-04	1708	8.06	8.12	8.05	8.11	310000	2509630	8.11
2005-08-04	1709	10.6	10.65	10.5	10.5	24825	262112	10.5
2005-08-04	1710	25	25.45	24.8	25.25	5487463	137965355	25.25
2005-08-04	1711	9.41	9.45	9.38	9.41	427086	4017186	9.41
2005-08-04	1712	6.2	6.2	6.06	6.09	1067273	6523318	6.09
2005-08-04	1713	10.1	10.1	9.94	9.94	198552	1989594	9.94
2005-08-04	1714	6.92	6.99	6.9	6.9	697489	4837089	6.9
2005-08-04	1715	8.55	8.55	8.47	8.51	181258	1540560	8.51
2005-08-04	1716	30.6	30.7	30	30.5	391100	11833794	30.5
2005-08-04	1717	19.1	19.15	18.7	18.9	358726	6827028	18.9
2005-08-04	1718	14.3	14.4	14.2	14.3	2403580	34424572	14.3
2005-08-04	1720	18.4	18.7	18.4	18.5	373744	6925211	18.5
2005-08-04	1721	5.6	5.6	5.5	5.5	106000	592000	5.5
2005-08-04	1722	42.9	43.3	42.7	42.7	3399101	146020519	42.7
2005-08-04	1723	47.3	47.3	46.5	46.7	466104	21794995	46.7
2005-08-04	1724	6.43	6.56	6.43	6.43	155000	999830	6.43
2005-08-04	1725	20	20.05	19.95	20.05	45000	900300	20.05
2005-08-04	1726	38.45	38.45	38.25	38.4	48000	1840550	38.4
2005-08-04	1727	10.6	10.85	10.45	10.6	26000	276600	10.6
2005-08-04	1729	64	64.5	64	64.5	20110	1291947	64.5
2005-08-04	1730	10.25	10.25	10.15	10.15	84000	857800	10.15
2005-08-04	1731	11.5	11.6	11.4	11.6	58999	676877	11.6
2005-08-04	1732	8.46	8.46	8.46	8.46	5056	42774	8.46
2005-08-04	1733	25	25.2	24.8	24.8	566159	14130070	24.8
2005-08-04	1734	21.6	21.7	21.45	21.6	173060	3726482	21.6
2005-08-04	1735	15.3	15.3	15.1	15.1	92797	1405368	15.1
2005-08-04	1736	112	117.5	112	116.5	977399	113082568	116.5
2005-08-04	1737	27.2	27.2	26.6	26.7	1223466	32894710	26.7
2005-08-04	1802	27.9	27.95	27.6	27.6	8857316	246014352	27.6
2005-08-04	1805	1.42	1.45	1.42	1.43	62000	88840	1.43
2005-08-04	1806	6.26	6.26	6.2	6.25	283195	1762432	6.25
2005-08-04	1807	5.86	5.94	5.73	5.73	349503	2030708	5.73
2005-08-04	1808	11.7	11.7	11.7	11.7	1000	11700	11.7
2005-08-04	1809	6.67	6.67	6.54	6.54	73000	480100	6.54
2005-08-04	1810	7.8	7.9	7.8	7.8	707100	5540550	7.8
2005-08-04	1902	7.03	7.13	7	7.12	587100	4149915	7.12
2005-08-04	1903	25.7	25.8	25.6	25.6	29000	746900	25.6
2005-08-04	1904	9.24	9.28	9.2	9.28	1197828	11064333	9.28
2005-08-04	1905	11.15	11.3	11	11.25	6436299	72163278	11.25
2005-08-04	1906	3.82	3.82	3.8	3.81	62000	235880	3.81
2005-08-04	1907	11.6	12	11.6	11.95	2046079	24348497	11.95
2005-08-04	1909	7.45	7.5	7.44	7.5	809997	6055910	7.5
2005-08-04	2002	28.1	28.65	28.1	28.6	79607090	2266175789	28.6
2005-08-04	2002A	28.95	29.35	28.85	29.35	31000	904650	29.35
2005-08-04	2006	17.95	18.3	17.95	18.15	4376811	79497643	18.15
2005-08-04	2007	6	6.27	6	6.1	10308300	63636184	6.1
2005-08-04	2008	9	9.4	8.9	9.18	2221536	20505082	9.18
2005-08-04	2009	11.9	12.35	11.8	12.05	17094935	206448588	12.05
2005-08-04	2010	17.25	17.6	17.25	17.4	653470	11393130	17.4
2005-08-04	2012	7.9	8.24	7.9	8.08	1234947	10022682	8.08
2005-08-04	2013	14.9	15	14.85	14.85	159741	2390029	14.85
2005-08-04	2014	13.15	13.55	13.1	13.25	10639958	141979182	13.25
2005-08-04	2015	26.2	26.9	26.1	26.55	2949195	78615889	26.55
2005-08-04	2017	6.53	6.78	6.51	6.64	1977075	13176885	6.64
2005-08-04	2020	16.9	17.3	16.8	17	510062	8730448	17
2005-08-04	2022	6.62	6.84	6.51	6.72	4090650	27431590	6.72
2005-08-04	2023	13.9	14.35	13.9	14.1	10934000	154531550	14.1
2005-08-04	2024	3.81	3.98	3.81	3.93	418005	1644078	3.93
2005-08-04	2025	6.37	6.78	6.35	6.56	4880005	32356341	6.56
2005-08-04	2027	16.1	16.85	16	16.55	2824171	46656587	16.55
2005-08-04	2028	4.95	5.18	4.92	5.1	988285	4971949	5.1
2005-08-04	2029	28.2	29.05	28.2	28.85	747275	21469012	28.85
2005-08-04	2030	17	17.95	17	17.6	3628001	63642366	17.6
2005-08-04	2031	27.3	27.9	27.15	27.55	4903095	135461326	27.55
2005-08-04	2032	13.4	14.25	13.4	14.25	319454	4476027	14.25
2005-08-04	2033	10.2	10.5	10.15	10.3	495441	5124670	10.3
2005-08-04	2034	19.6	20.9	19.6	20.4	3701070	75554265	20.4
2005-08-04	2101	31.8	31.9	31.45	31.55	744777	23582304	31.55
2005-08-04	2102	18.2	18.2	17.9	17.9	1389000	25104400	17.9
2005-08-04	2103	14.9	15	14.8	14.9	4286200	63876867	14.9
2005-08-04	2104	11.15	11.35	11.15	11.2	1466200	16444609	11.2
2005-08-04	2105	35.5	35.6	35	35.15	2836000	100176550	35.15
2005-08-04	2106	18.5	18.5	18.2	18.3	339614	6219083	18.3
2005-08-04	2107	14.6	14.65	14.4	14.5	7295581	105813782	14.5
2005-08-04	2108	14.65	14.65	14.15	14.2	1732143	24692750	14.2
2005-08-04	2109	8.66	8.93	8.66	8.67	46920	409027	8.67
2005-08-04	2201	34.85	35	34.5	35	1191856	41523177	35
2005-08-04	2204	31.2	31.3	30.9	31.1	3499000	108971050	31.1
2005-08-04	2206	12.35	12.5	12.2	12.35	2882005	35649160	12.35
2005-08-04	2207	85.5	89.8	85	89.4	607007	53090962	89.4
2005-08-04	2227	123	123	119	121	67000	8058000	121
2005-08-04	2301	39.5	39.6	38.65	38.65	15054978	589210947	38.65
2005-08-04	2302	4.46	4.56	4.45	4.56	1089452	4907200	4.56
2005-08-04	2303	22.3	22.35	21.9	22.15	48088826	1062839912	22.15
2005-08-04	2305	4.93	4.95	4.85	4.86	364503	1774306	4.86
2005-08-04	23051					0	0	
2005-08-04	2308	61.2	64.4	60.4	62.5	34241765	2141697312	62.5
2005-08-04	2311	25.35	25.4	24.85	24.85	20327618	507844454	24.85
2005-08-04	2312	14.9	15.05	14.55	14.6	8971677	133066248	14.6
2005-08-04	2313	13.35	13.7	13.35	13.35	52409706	709897167	13.35
2005-08-04	2314	13.5	13.75	13.3	13.4	7723387	104453915	13.4
2005-08-04	2315	46.1	46.1	44.8	44.8	21439038	971328151	44.8
2005-08-04	2316	11.7	11.8	11.5	11.5	4599851	53525338	11.5
2005-08-04	2317	182.5	182.5	180	181	5475182	993580156	181
2005-08-04	2321	14.65	14.7	14.5	14.5	1457232	21227808	14.5
2005-08-04	2323	14	14.1	13.8	13.8	9762776	135289882	13.8
2005-08-04	2324	31.55	31.6	31.1	31.45	14003593	440393010	31.45
2005-08-04	2325	33.95	34.05	33.45	33.95	21672414	734337749	33.95
2005-08-04	2326	3.05	3.12	3.01	3.03	99000	302960	3.03
2005-08-04	2327	12.5	12.75	12.4	12.5	22475020	282272318	12.5
2005-08-04	2328	46	47.35	46	46.1	9710719	454034730	46.1
2005-08-04	2329	5.07	5.13	4.92	5	6532805	32701943	5
2005-08-04	2330	55.9	55.9	54.7	54.7	33600141	1853657775	54.7
2005-08-04	2331	22.5	23.6	22.3	23.15	11023383	254577340	23.15
2005-08-04	2332	34.4	34.6	34.1	34.3	3103260	106127738	34.3
2005-08-04	2333	4.08	4.08	4	4	2525283	10167559	4
2005-08-04	2336	9.05	9.05	8.96	9	2822598	25416000	9
2005-08-04	2337	6.06	6.08	5.95	5.95	27749626	166492436	5.95
2005-08-04	2338	14.7	14.75	14.55	14.55	715809	10442510	14.55
2005-08-04	2340	10.7	11.15	10.55	11	29922105	326624433	11
2005-08-04	2341	12.75	13.35	12.45	13.05	15272000	196302250	13.05
2005-08-04	2342	11.75	12.4	11.7	12.2	23122186	280176094	12.2
2005-08-04	23421					0	0	
2005-08-04	2343	11.4	11.5	11.2	11.35	5465909	62187593	11.35
2005-08-04	2344	12.9	12.9	12.45	12.6	30344921	382934132	12.6
2005-08-04	23442					0	0	
2005-08-04	2345	15.7	15.7	15.25	15.25	2083430	32159089	15.25
2005-08-04	2347	46	46.6	45.8	46.2	2520290	116394530	46.2
2005-08-04	2348	4.1	4.41	4.1	4.41	168898	706903	4.41
2005-08-04	2349	12.15	12.15	11.9	12	18276567	219617838	12
2005-08-04	2350	14.7	15.15	14.5	14.8	25035130	372247305	14.8
2005-08-04	2351	12.6	13.3	12.55	12.8	3739265	48682296	12.8
2005-08-04	2352	35.75	36.4	35.65	35.75	29422827	1059917313	35.75
2005-08-04	2352Y					0	0	
2005-08-04	2353	58.7	58.7	57	57	18660000	1074273100	57
2005-08-04	2354	150.5	158	150.5	152	9513927	1463848672	152
2005-08-04	2355	17	17.05	16.8	16.85	975126	16486623	16.85
2005-08-04	2356	14.4	14.4	14.05	14.1	5153665	73209150	14.1
2005-08-04	2357	89	91.5	89	89.5	18206977	1642482856	89.5
2005-08-04	2358	10.2	10.2	9.82	9.82	7748	77830	9.82
