Ticker	Name	Buy	Sell	OverBS	Date
2303	聯電	9771000	250000	9521000	2012-01-17
1314	中石化	2058000	8000	2050000	2012-01-17
2409	友達	1762000	0	1762000	2012-01-17
2379	瑞昱	1512000	2000	1510000	2012-01-17
2325	矽品	1461000	13000	1448000	2012-01-17
3041	揚智	1505000	220000	1285000	2012-01-17
3047	訊舟	1276000	0	1276000	2012-01-17
3035	智原	1223000	0	1223000	2012-01-17
3034	聯詠	1159000	2000	1157000	2012-01-17
2823	中壽	1377000	235284	1141716	2012-01-17
1308	亞聚	1018000	2000	1016000	2012-01-17
6271	同欣電	986000	0	986000	2012-01-17
3481	群創	956000	0	956000	2012-01-17
9945	潤泰新	951000	0	951000	2012-01-17
2705	六福	885000	0	885000	2012-01-17
6153	嘉聯益	967000	147000	820000	2012-01-17
3702	大聯大	819000	6000	813000	2012-01-17
3443	創意	811000	0	811000	2012-01-17
2392	正崴	860000	114000	746000	2012-01-17
6278	台表科	900000	212000	688000	2012-01-17
3042	晶技	688000	1000	687000	2012-01-17
1304	台聚	818000	154000	664000	2012-01-17
2474	可成	690000	37000	653000	2012-01-17
2354	鴻準	780000	157500	622500	2012-01-17
3697	F-晨星	635000	15000	620000	2012-01-17
4958	臻鼎-KY	507000	0	507000	2012-01-17
4904	遠傳	770000	267000	503000	2012-01-17
2323	中環	500000	0	500000	2012-01-17
6005	群益證	500000	0	500000	2012-01-17
2704	國賓	499000	0	499000	2012-01-17
2499	東貝	495000	0	495000	2012-01-17
4942	嘉彰	495000	0	495000	2012-01-17
2905	三商	492000	0	492000	2012-01-17
5871	中租-KY	565000	80000	485000	2012-01-17
1476	儒鴻	425000	1000	424000	2012-01-17
2376	技嘉	410000	0	410000	2012-01-17
2455	全新	369000	1000	368000	2012-01-17
3044	健鼎	360000	0	360000	2012-01-17
2353	宏碁	996000	653000	343000	2012-01-17
3596	智易	333000	0	333000	2012-01-17
2820	華票	326000	0	326000	2012-01-17
2473	思源	310000	0	310000	2012-01-17
2449	京元電子	300000	0	300000	2012-01-17
3406	玉晶光	388000	91000	297000	2012-01-17
6286	立錡	303000	15000	288000	2012-01-17
2915	潤泰全	281000	0	281000	2012-01-17
2451	創見	377000	102000	275000	2012-01-17
2374	佳能	276000	2000	274000	2012-01-17
3545	敦泰	336000	81000	255000	2012-01-17
1301	台塑	294000	50000	244000	2012-01-17
1227	佳格	222000	0	222000	2012-01-17
2324	仁寶	542000	320000	222000	2012-01-17
9939	宏全	437000	221000	216000	2012-01-17
2384	勝華	200000	0	200000	2012-01-17
2419	仲琦	200000	0	200000	2012-01-17
3598	奕力	188000	260	187740	2012-01-17
2402	毅嘉	188000	1000	187000	2012-01-17
3376	新日興	187000	1000	186000	2012-01-17
4532	瑞智	169000	2000	167000	2012-01-17
0061	元大寶滬深	160000	0	160000	2012-01-17
2511	太子	161000	4000	157000	2012-01-17
2327	國巨	150000	0	150000	2012-01-17
6230	尼得科超眾	150000	0	150000	2012-01-17
2480	敦陽科	145000	1000	144000	2012-01-17
6209	今國光	145000	1000	144000	2012-01-17
2450	神腦	200000	70000	130000	2012-01-17
6285	啟碁	293000	173148	119852	2012-01-17
8926	台汽電	120000	2000	118000	2012-01-17
8078	華寶	525000	409000	116000	2012-01-17
9905	大華	266000	152000	114000	2012-01-17
2836	高雄銀	107000	0	107000	2012-01-17
5388	中磊	105000	0	105000	2012-01-17
2458	義隆	106000	2000	104000	2012-01-17
4725	信昌化	100000	0	100000	2012-01-17
