Ticker	Name	Buy	Sell	OverBS	Date
0050	元大台灣50	3307000	0	3307000	2012-03-08
2603	長榮	3173000	104478	3068522	2012-03-08
2023	燁輝	2909387	4000	2905387	2012-03-08
4935	茂林-KY	2666000	1000	2665000	2012-03-08
2330	台積電	2708000	62077	2645923	2012-03-08
2499	東貝	2587000	1000	2586000	2012-03-08
2891	中信金	2242404	21000	2221404	2012-03-08
3037	欣興	2206577	54000	2152577	2012-03-08
1905	華紙	2095000	2000	2093000	2012-03-08
3698	隆達	2089828	1000	2088828	2012-03-08
2455	全新	2074174	1000	2073174	2012-03-08
2355	敬鵬	2024000	3000	2021000	2012-03-08
5871	中租-KY	1418303	1000	1417303	2012-03-08
2823	中壽	1596461	288000	1308461	2012-03-08
1907	永豐餘	1216715	6000	1210715	2012-03-08
5388	中磊	1470000	328000	1142000	2012-03-08
3041	揚智	1090427	1000	1089427	2012-03-08
3005	神基	928586	2000	926586	2012-03-08
6005	群益證	946000	34532	911468	2012-03-08
1326	台化	851000	13330	837670	2012-03-08
6239	力成	832000	314	831686	2012-03-08
2881	富邦金	840795	19000	821795	2012-03-08
4904	遠傳	831103	39000	792103	2012-03-08
3545	敦泰	744000	1000	743000	2012-03-08
3638	F-IML	839000	106000	733000	2012-03-08
2497	怡利電	655000	0	655000	2012-03-08
2409	友達	628000	43189	584811	2012-03-08
2419	仲琦	500000	0	500000	2012-03-08
2884	玉山金	500000	19058	480942	2012-03-08
2448	晶電	475000	6622	468378	2012-03-08
1537	廣隆	457000	2000	455000	2012-03-08
9914	美利達	602000	147993	454007	2012-03-08
6286	立錡	444948	16000	428948	2012-03-08
8081	致新	411000	1000	410000	2012-03-08
6271	同欣電	516000	107000	409000	2012-03-08
6702	興航	391000	21849	369151	2012-03-08
2451	創見	340733	2000	338733	2012-03-08
3653	健策	338000	4935	333065	2012-03-08
2301	光寶科	871000	539657	331343	2012-03-08
2812	台中銀	318284	4000	314284	2012-03-08
