Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2020-05-27	0050	84.7	84.85	84.05	84.35	4589767	84.35
2020-05-27	0051	35	35.08	34.7	34.82	228350	34.82
2020-05-27	0052	64.5	64.5	64.05	64.2	117803	64.2
2020-05-27	0053	38.99	38.99	38.69	38.69	19500	38.69
2020-05-27	0054	23.28	23.28	23.14	23.19	7000	23.19
2020-05-27	0055	17.3	17.31	17.23	17.23	54585	17.23
2020-05-27	0056	27.86	27.94	27.81	27.85	11105295	27.85
2020-05-27	0057	55.9	55.95	55.85	55.9	65000	55.9
2020-05-27	0061	17.14	17.2	17.04	17.2	287102	17.2
2020-05-27	006203	39.84	39.84	39.68	39.76	459000	39.76
2020-05-27	006204	55.2	55.2	54.95	54.95	42000	54.95
2020-05-27	006205	28.48	28.59	28.4	28.4	1346069	28.4
2020-05-27	006206	29.92	29.92	29.7	29.72	494252	29.72
2020-05-27	006207	22.4	22.4	22.24	22.28	775483	22.28
2020-05-27	006208	48.39	48.57	48.15	48.28	830077	48.28
2020-05-27	00625K	6.8	6.8	6.8	6.8	50000	6.8
2020-05-27	00631L	45.08	45.41	44.5	44.87	7535000	44.87
2020-05-27	00632R	10.14	10.2	10.1	10.15	52832042	10.15
2020-05-27	00633L	40.85	41.44	40.78	40.97	10398000	40.97
2020-05-27	00634R	5.79	5.83	5.78	5.81	585000	5.81
2020-05-27	00635U	24.29	24.3	24.1	24.13	2987500	24.13
2020-05-27	00636	19.95	19.98	19.84	19.87	433301	19.87
2020-05-27	00636K	6.6	6.6	6.6	6.6	100	6.6
2020-05-27	00637L	15.79	15.99	15.76	15.81	59737550	15.81
2020-05-27	00638R	11.69	11.72	11.62	11.69	1402000	11.69
2020-05-27	00639	11.11	11.16	11.04	11.06	1427030	11.06
2020-05-27	00640L	17.87	18.13	17.77	18.09	1408000	18.09
2020-05-27	00641R	14.29	14.35	14.2	14.2	650000	14.2
2020-05-27	00642U	9.32	9.36	9.32	9.32	17342826	9.32
2020-05-27	00643	13.25	13.4	13.21	13.22	530306	13.22
2020-05-27	00645	19.9	20	19.8	20	81630	20
2020-05-27	00646	27.41	27.63	27.38	27.59	622368	27.59
2020-05-27	00647L	33.37	33.9	33.37	33.81	1142000	33.81
2020-05-27	00648R	10.97	10.98	10.9	10.92	1866035	10.92
2020-05-27	00650L	20.2	20.43	19.83	19.96	1441000	19.96
2020-05-27	00651R	9.35	9.39	9.18	9.32	9393000	9.32
2020-05-27	00652	16.84	16.9	16.7	16.84	1617305	16.84
2020-05-27	00653L	14.78	14.9	14.55	14.88	15232113	14.88
2020-05-27	00654R	16.31	16.46	16.27	16.27	119000	16.27
2020-05-27	00655L	29.71	30.16	29.66	29.78	4085000	29.78
2020-05-27	00656R	10.56	10.6	10.52	10.57	1484000	10.57
2020-05-27	00657	26.44	26.67	26.4	26.67	208000	26.67
2020-05-27	00657K	8.85	8.85	8.85	8.85	100	8.85
2020-05-27	00660	21.38	21.48	21.3	21.48	149000	21.48
2020-05-27	00661	26.88	27.1	26.88	27.1	4000	27.1
2020-05-27	00662	36.4	36.77	36.35	36.63	343804	36.63
2020-05-27	00663L	40.55	40.85	40.18	40.38	67000	40.38
2020-05-27	00664R	11.5	11.6	11.48	11.54	3671000	11.54
2020-05-27	00665L	19.78	20.01	19.49	19.66	438000	19.66
2020-05-27	00666R	14.03	14.21	13.98	14.14	139000	14.14
2020-05-27	00668	27.19	27.45	27.19	27.44	312300	27.44
2020-05-27	00668K	9.13	9.13	9.13	9.13	100	9.13
2020-05-27	00669R	11.96	11.97	11.87	11.88	7514000	11.88
2020-05-27	00670L	45.79	46.6	45.79	46.45	2041000	46.45
2020-05-27	00671R	9.27	9.28	9.2	9.23	4237200	9.23
2020-05-27	00672L	2.38	2.4	2.38	2.4	16467050	2.4
2020-05-27	00673R	36.32	36.44	36.19	36.28	313000	36.28
2020-05-27	00674R	14.2	14.32	14.19	14.32	785000	14.32
2020-05-27	00675L	17.7	17.81	17.47	17.6	370000	17.6
2020-05-27	00676R	6.21	6.27	6.21	6.24	5886000	6.24
2020-05-27	00677U	6.08	6.12	5.98	6.03	251318100	6.03
2020-05-27	00678	25.46	25.82	25.46	25.77	404448	25.77
2020-05-27	00680L	31.81	31.85	31.74	31.81	403200	31.81
2020-05-27	00681R	12.81	12.82	12.78	12.82	105000	12.82
2020-05-27	00682U	19.61	19.61	19.61	19.61	2038	19.61
2020-05-27	00683L	20.07	20.11	20	20.1	22000	20.1
2020-05-27	00684R	17.89	17.89	17.88	17.88	20000	17.88
2020-05-27	00685L	15.19	15.19	15.03	15.04	30000	15.04
2020-05-27	00686R	6.77	6.81	6.76	6.79	57000	6.79
2020-05-27	00688L	32.31	32.42	32.3	32.3	244000	32.3
2020-05-27	00689R	13.1	13.12	13.09	13.1	135000	13.1
2020-05-27	00690	22	22	21.9	21.94	178003	21.94
2020-05-27	00692	22.09	22.13	21.95	22.03	1932708	22.03
2020-05-27	00693U	13.75	13.75	13.68	13.69	1610000	13.69
2020-05-27	00700	18.15	18.15	18	18	112049	18
2020-05-27	00701	20.23	20.29	20.2	20.25	1509973	20.25
2020-05-27	00702	16.23	16.37	16.23	16.35	30000	16.35
2020-05-27	00703	20.17	20.26	20.03	20.1	270000	20.1
2020-05-27	00706L	17.25	17.29	17.22	17.29	34494	17.29
2020-05-27	00707R	19.56	19.56	19.56	19.56	1000	19.56
2020-05-27	00708L	27.45	27.45	26.97	27.07	10858000	27.07
2020-05-27	00709	17.91	18.1	17.91	18.1	325000	18.1
2020-05-27	00710B	18.52	18.61	18.52	18.6	1392012	18.6
2020-05-27	00711B	21.68	21.73	21.68	21.73	496000	21.73
2020-05-27	00712	10.06	10.16	10	10.14	3881602	10.14
2020-05-27	00713	30.95	31.12	30.92	30.93	77391	30.93
