Ticker	Name	Buy	Sell	OverBS	Date
2409	友達	35404061	21062243	14341818	2019-12-19
2888	新光金	14944763	6541218	8403545	2019-12-19
2344	華邦電	15903587	8028693	7874894	2019-12-19
2891	中信金	14790900	9908043	4882857	2019-12-19
2382	廣達	8042534	3878020	4164514	2019-12-19
2303	聯電	28830059	25181366	3648693	2019-12-19
2317	鴻海	14164759	10651865	3512894	2019-12-19
1402	遠東新	4659125	1189286	3469839	2019-12-19
1605	華新	6324000	2942000	3382000	2019-12-19
2890	永豐金	6305586	3129338	3176248	2019-12-19
2881	富邦金	5692260	2572410	3119850	2019-12-19
2313	華通	4109000	1234000	2875000	2019-12-19
2439	美律	3818000	1001000	2817000	2019-12-19
3231	緯創	5538444	2738447	2799997	2019-12-19
9105	泰金寶-DR	2790000	41000	2749000	2019-12-19
2887	台新金	7255110	4982114	2272996	2019-12-19
2324	仁寶	7036749	4775647	2261102	2019-12-19
2834	臺企銀	6091190	4096023	1995167	2019-12-19
2449	京元電子	2849000	882000	1967000	2019-12-19
2880	華南金	4520443	2620340	1900103	2019-12-19
2883	開發金	9312291	7642188	1670103	2019-12-19
2610	華航	3607541	2088500	1519041	2019-12-19
3042	晶技	2391000	873000	1518000	2019-12-19
2892	第一金	9752084	8327330	1424754	2019-12-19
5876	上海商銀	2481794	1059039	1422755	2019-12-19
2312	金寶	2879000	1539000	1340000	2019-12-19
3017	奇鋐	1519000	277000	1242000	2019-12-19
3034	聯詠	4011388	2773368	1238020	2019-12-19
3045	台灣大	1850125	719756	1130369	2019-12-19
2308	台達電	4134946	3046108	1088838	2019-12-19
1909	榮成	1900000	829000	1071000	2019-12-19
2027	大成鋼	1878000	807000	1071000	2019-12-19
6278	台表科	1829000	813199	1015801	2019-12-19
8131	福懋科	961000	15000	946000	2019-12-19
2421	建準	1177000	245000	932000	2019-12-19
2363	矽統	990000	72000	918000	2019-12-19
2399	映泰	1036000	129000	907000	2019-12-19
1210	大成	2041866	1147000	894866	2019-12-19
6213	聯茂	1287000	421000	866000	2019-12-19
2377	微星	1281893	424000	857893	2019-12-19
1312	國喬	1770000	944000	826000	2019-12-19
3189	景碩	920000	160000	760000	2019-12-19
3035	智原	821000	69000	752000	2019-12-19
00642U	期元大S&P石油	754000	3000	751000	2019-12-19
6153	嘉聯益	849000	109000	740000	2019-12-19
1102	亞泥	3769350	3029577	739773	2019-12-19
2356	英業達	1894061	1156500	737561	2019-12-19
2345	智邦	1163961	427102	736859	2019-12-19
8104	錸寶	830000	104000	726000	2019-12-19
2049	上銀	911434	186133	725301	2019-12-19
3545	敦泰	859000	210000	649000	2019-12-19
5871	中租-KY	1645158	997019	648139	2019-12-19
2327	國巨	1988862	1343643	645219	2019-12-19
2419	仲琦	918000	276000	642000	2019-12-19
1303	南亞	3101799	2459828	641971	2019-12-19
2368	金像電	1261000	634000	627000	2019-12-19
2102	泰豐	753000	135000	618000	2019-12-19
5522	遠雄	944000	332000	612000	2019-12-19
00636	國泰中國A50	603000	0	603000	2019-12-19
3711	日月光投控	6692153	6094139	598014	2019-12-19
8271	宇瞻	727000	134000	593000	2019-12-19
2404	漢唐	755000	190000	565000	2019-12-19
2615	萬海	682610	139000	543610	2019-12-19
6456	GIS-KY	580000	44000	536000	2019-12-19
2492	華新科	1139626	616000	523626	2019-12-19
00830	國泰費城半導體	503000	0	503000	2019-12-19
6141	柏承	708000	210000	498000	2019-12-19
6257	矽格	678000	189671	488329	2019-12-19
3576	聯合再生	1089000	607000	482000	2019-12-19
3406	玉晶光	1473000	1003148	469852	2019-12-19
6271	同欣電	585000	117000	468000	2019-12-19
2338	光罩	1242505	785000	457505	2019-12-19
2376	技嘉	1184000	727000	457000	2019-12-19
2385	群光	703670	248352	455318	2019-12-19
2605	新興	544000	107290	436710	2019-12-19
1304	台聚	506000	75000	431000	2019-12-19
3023	信邦	588000	179000	409000	2019-12-19
2633	台灣高鐵	1464146	1055399	408747	2019-12-19
0056	元大高股息	400000	0	400000	2019-12-19
00737	國泰AI+Robo	383000	0	383000	2019-12-19
00639	富邦深100	376000	0	376000	2019-12-19
1229	聯華	436000	64000	372000	2019-12-19
1718	中纖	517000	152405	364595	2019-12-19
2614	東森	388000	29000	359000	2019-12-19
2704	國賓	407000	60000	347000	2019-12-19
8163	達方	490000	154000	336000	2019-12-19
3702	大聯大	1180136	857039	323097	2019-12-19
1514	亞力	330000	17000	313000	2019-12-19
2387	精元	1225000	930000	295000	2019-12-19
2912	統一超	650852	369016	281836	2019-12-19
1904	正隆	287000	8000	279000	2019-12-19
2031	新光鋼	306000	34000	272000	2019-12-19
3661	世芯-KY	438000	169000	269000	2019-12-19
1319	東陽	317965	58000	259965	2019-12-19
2105	正新	898556	648630	249926	2019-12-19
6285	啟碁	350007	103738	246269	2019-12-19
1582	信錦	257000	22000	235000	2019-12-19
2332	友訊	630000	398000	232000	2019-12-19
4746	台耀	257000	27000	230000	2019-12-19
3047	訊舟	244000	18000	226000	2019-12-19
8112	至上	319000	97000	222000	2019-12-19
2515	中工	343000	123000	220000	2019-12-19
6282	康舒	308000	94000	214000	2019-12-19
3605	宏致	254000	41000	213000	2019-12-19
1440	南紡	252000	47000	205000	2019-12-19
8150	南茂	724000	521000	203000	2019-12-19
8110	華東	586000	385000	201000	2019-12-19
3437	榮創	249000	50000	199000	2019-12-19
2207	和泰車	308804	110621	198183	2019-12-19
2014	中鴻	491000	294000	197000	2019-12-19
3583	辛耘	228000	33000	195000	2019-12-19
1101	台泥	4142984	3954875	188109	2019-12-19
5434	崇越	277000	97000	180000	2019-12-19
9939	宏全	279000	100000	179000	2019-12-19
00712	FH富時不動產	176000	0	176000	2019-12-19
6668	中揚光	195000	22000	173000	2019-12-19
2812	台中銀	431000	258493	172507	2019-12-19
2393	億光	625000	453000	172000	2019-12-19
3338	泰碩	388000	218000	170000	2019-12-19
1227	佳格	442244	275885	166359	2019-12-19
4190	佐登-KY	377000	214000	163000	2019-12-19
00643	群益深証中小	161000	0	161000	2019-12-19
2897	王道銀行	163000	3000	160000	2019-12-19
1722	台肥	337000	179000	158000	2019-12-19
1417	嘉裕	157000	3000	154000	2019-12-19
8016	矽創	271000	118624	152376	2019-12-19
2204	中華	241000	88908	152092	2019-12-19
3443	創意	384000	232000	152000	2019-12-19
2841	台開	276000	126000	150000	2019-12-19
2548	華固	385401	238000	147401	2019-12-19
6670	復盛應用	185000	38000	147000	2019-12-19
2388	威盛	205000	62000	143000	2019-12-19
2331	精英	306000	164000	142000	2019-12-19
00655L	國泰中國A50正2	140000	0	140000	2019-12-19
2441	超豐	207000	67000	140000	2019-12-19
2609	陽明	160000	20000	140000	2019-12-19
2481	強茂	334000	195000	139000	2019-12-19
1589	永冠-KY	292000	154000	138000	2019-12-19
3048	益登	293000	158000	135000	2019-12-19
2484	希華	173000	42000	131000	2019-12-19
3019	亞光	760000	629000	131000	2019-12-19
2464	盟立	177000	47000	130000	2019-12-19
2006	東和鋼鐵	338000	213000	125000	2019-12-19
6669	緯穎	505763	383000	122763	2019-12-19
2314	台揚	278000	156000	122000	2019-12-19
9958	世紀鋼	261000	142000	119000	2019-12-19
2489	瑞軒	150000	32000	118000	2019-12-19
3003	健和興	157000	45000	112000	2019-12-19
043236	凱美凱基14購01	110000	0	110000	2019-12-19
2637	慧洋-KY	242000	135000	107000	2019-12-19
6533	晶心科	131000	24000	107000	2019-12-19
3090	日電貿	389000	283000	106000	2019-12-19
1809	中釉	108000	3000	105000	2019-12-19
1590	亞德客-KY	754717	650557	104160	2019-12-19
4934	太極	143000	41000	102000	2019-12-19
3008	大立光	506644	404681	101963	2019-12-19
0050	元大台灣50	102000	1000	101000	2019-12-19
2472	立隆電	174000	73000	101000	2019-12-19
4414	如興	298000	198000	100000	2019-12-19
2929	淘帝-KY	210000	111000	99000	2019-12-19
3312	弘憶股	188000	90000	98000	2019-12-19
3708	上緯投控	139000	41000	98000	2019-12-19
006205	富邦上証	97000	0	97000	2019-12-19
5258	虹堡	129000	32000	97000	2019-12-19
1217	愛之味	101000	6000	95000	2019-12-19
1439	中和	97000	5000	92000	2019-12-19
5203	訊連	144000	52000	92000	2019-12-19
1712	興農	147000	57439	89561	2019-12-19
2514	龍邦	131000	41591	89409	2019-12-19
00653L	富邦印度正2	88000	0	88000	2019-12-19
2444	兆勁	90000	4000	86000	2019-12-19
6288	聯嘉	369000	283000	86000	2019-12-19
6491	晶碩	136000	50930	85070	2019-12-19
6412	群電	155000	74000	81000	2019-12-19
8926	台汽電	127000	46000	81000	2019-12-19
8028	昇陽半導體	198000	118000	80000	2019-12-19
911616	杜康-DR	84000	4000	80000	2019-12-19
3533	嘉澤	138000	60000	78000	2019-12-19
4915	致伸	200000	123000	77000	2019-12-19
2849	安泰銀	83000	7000	76000	2019-12-19
2208	台船	90000	18000	72000	2019-12-19
2606	裕民	154000	83000	71000	2019-12-19
5234	達興材料	129000	59000	70000	2019-12-19
6139	亞翔	377000	308000	69000	2019-12-19
3062	建漢	297000	230000	67000	2019-12-19
