Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2022-07-19	3005	42.65	43.15	42.5	43.05	780801	43.05
2022-07-19	3006	81.9	83.3	81.0	82.8	4907680	82.8
2022-07-19	3008	1970.0	1995.0	1970.0	1980.0	410543	1980.0
2022-07-19	3010	83.5	84.2	83.3	84.2	163302	84.2
2022-07-19	3011	20.5	22.65	20.3	22.15	6392745	22.15
2022-07-19	3013	13.4	13.75	13.35	13.6	351797	13.6
2022-07-19	3014	68.0	69.9	68.0	69.3	583352	69.3
2022-07-19	3015	35.75	36.05	35.75	36.0	38398	36.0
2022-07-19	3016	79.8	81.0	79.3	80.3	1344547	80.3
2022-07-19	3017	102.0	106.5	101.5	105.0	7867197	105.0
2022-07-19	3018	10.5	10.85	10.5	10.6	42339	10.6
2022-07-19	3019	61.4	62.4	61.2	62.3	1067287	62.3
2022-07-19	3021	20.9	21.4	20.9	20.95	14000	20.95
2022-07-19	3022	51.4	53.5	50.8	52.6	9874580	52.6
2022-07-19	3023	250.0	254.0	250.0	254.0	247560	254.0
2022-07-19	3024	11.85	11.95	11.85	11.9	174025	11.9
2022-07-19	3025	18.15	18.2	17.9	18.15	137104	18.15
2022-07-19	3026	91.8	91.8	90.7	91.4	404066	91.4
2022-07-19	3027	17.85	18.0	17.8	17.95	120104	17.95
2022-07-19	3028	28.8	29.1	28.8	29.05	225614	29.05
2022-07-19	3029	39.2	39.25	38.95	39.15	176963	39.15
2022-07-19	3030	61.5	61.8	61.3	61.6	513234	61.6
2022-07-19	3031	16.1	16.1	15.8	16.0	96000	16.0
2022-07-19	3032	27.85	28.2	27.8	28.2	102011	28.2
2022-07-19	3033	27.85	28.15	27.65	28.05	1702343	28.05
2022-07-19	3034	246.5	251.5	245.5	250.5	4191138	250.5
2022-07-19	3035	156.0	162.0	153.0	154.0	28621223	154.0
2022-07-19	3036	64.1	64.9	64.0	64.9	1034509	64.9
2022-07-19	3036A	47.7	47.7	47.7	47.7	59000	47.7
2022-07-19	3037	163.0	167.5	162.5	164.0	30590470	164.0
2022-07-19	3038	20.0	20.25	19.95	20.2	789171	20.2
2022-07-19	3040	28.3	28.45	28.3	28.45	18000	28.45
2022-07-19	3041	24.5	24.8	24.3	24.3	3158085	24.3
2022-07-19	3042	87.3	87.4	86.5	86.9	1529119	86.9
2022-07-19	3043	4.22	4.56	4.22	4.52	165209	4.52
2022-07-19	3044	96.1	97.2	95.7	97.1	1855983	97.1
2022-07-19	3045	103.0	103.5	99.0	99.1	13728212	99.1
2022-07-19	3046	27.6	30.7	27.6	30.7	736895	30.7
2022-07-19	3047	13.0	13.55	12.95	13.45	21379638	13.45
2022-07-19	3048	27.85	28.4	27.75	28.35	544192	28.35
2022-07-19	3049	9.57	9.62	9.46	9.62	1371928	9.62
2022-07-19	3050	15.85	16.0	15.85	15.85	270035	15.85
2022-07-19	3051	16.35	16.6	16.05	16.2	3306281	16.2
2022-07-19	3052	10.05	10.05	9.97	10.0	36221	10.0
2022-07-19	3054	19.2	19.25	19.2	19.25	3001	19.25
2022-07-19	3055	26.75	26.75	26.15	26.15	46442	26.15
2022-07-19	3056	26.45	27.0	26.4	26.7	637872	26.7
2022-07-19	3057	12.0	12.0	11.85	11.85	54106	11.85
2022-07-19	3058	9.85	9.91	9.83	9.9	302494	9.9
2022-07-19	3059	37.5	38.25	37.05	37.6	8395350	37.6
2022-07-19	3060	18.25	18.25	17.9	18.15	173657	18.15
2022-07-19	3062	28.5	28.85	27.75	27.9	13404132	27.9
2022-07-19	3090	45.05	45.8	45.0	45.5	256851	45.5
2022-07-19	3092	43.9	44.0	43.35	43.5	191167	43.5
2022-07-19	3094	26.8	26.9	26.65	26.9	264216	26.9
2022-07-19	3130	185.0	188.0	185.0	187.0	10929	187.0
2022-07-19	3138	128.5	129.5	126.5	127.0	200820	127.0
2022-07-19	3149	16.95	17.0	16.75	16.85	192141	16.85
2022-07-19	3164	25.0	25.05	25.0	25.05	13011	25.05
2022-07-19	3167	52.5	53.2	52.3	53.2	52199	53.2
2022-07-19	3189	137.0	139.0	134.0	134.5	10833555	134.5
2022-07-19	3209	38.5	39.0	38.5	38.8	1178966	38.8
2022-07-19	3229	22.0	22.0	21.75	22.0	30517	22.0
2022-07-19	3231	24.5	24.75	24.35	24.65	5581697	24.65
2022-07-19	3257	49.7	50.4	49.25	50.3	41683	50.3
2022-07-19	3266	12.1	12.25	12.05	12.1	181128	12.1
2022-07-19	3296	15.05	15.45	14.65	15.45	1019360	15.45
2022-07-19	3305	51.6	52.7	51.5	51.8	847733	51.8
2022-07-19	3308	13.15	13.65	13.15	13.15	51236	13.15
2022-07-19	3311	32.5	32.5	32.4	32.5	44378	32.5
2022-07-19	3312	18.5	18.5	18.15	18.35	717296	18.35
2022-07-19	3321	9.02	9.05	8.99	9.05	55751	9.05
2022-07-19	3338	39.8	40.8	39.7	40.6	374266	40.6
2022-07-19	3346	30.45	31.3	30.25	30.9	183048	30.9
2022-07-19	3356	28.55	29.4	28.5	29.35	497247	29.35
2022-07-19	3376	75.6	78.5	75.6	77.9	350807	77.9
2022-07-19	3380	29.0	29.2	28.8	29.05	1463391	29.05
2022-07-19	3383	6.42	6.46	6.21	6.21	32032	6.21
2022-07-19	3406	440.0	446.5	436.5	439.0	3118755	439.0
2022-07-19	3413	190.0	192.5	189.5	192.5	170011	192.5
2022-07-19	3416	75.4	75.4	74.8	75.4	15000	75.4
2022-07-19	3419	16.2	16.75	16.2	16.6	277085	16.6
2022-07-19	3432	13.8	13.95	13.7	13.9	31000	13.9
2022-07-19	3437	19.65	19.65	19.35	19.55	147565	19.55
2022-07-19	3443	530.0	541.0	526.0	533.0	3725110	533.0
2022-07-19	3450	39.8	40.5	39.8	40.45	167637	40.45
2022-07-19	3454	79.4	79.5	78.6	79.1	71169	79.1
2022-07-19	3481	10.8	11.1	10.75	11.0	64897775	11.0
2022-07-19	3494	8.8	9.34	8.66	9.3	2899446	9.3
2022-07-19	3501	43.65	43.75	43.65	43.7	73000	43.7
2022-07-19	3504	94.8	98.4	94.0	94.8	16180440	94.8
2022-07-19	3515	100.5	107.0	99.5	102.5	3322949	102.5
2022-07-19	3518	17.0	17.3	17.0	17.2	305003	17.2
2022-07-19	3528	48.0	48.55	48.0	48.55	5220	48.55
2022-07-19	3530	91.7	92.5	89.6	90.3	919832	90.3
2022-07-19	3532	161.0	166.0	160.0	165.0	4933202	165.0
2022-07-19	3533	689.0	707.0	687.0	692.0	731932	692.0
2022-07-19	3535	27.5	28.8	27.5	27.7	14668031	27.7
2022-07-19	3536	4.8	4.8	4.73	4.79	10450	4.79
2022-07-19	3543	20.65	20.65	19.5	19.65	89006	19.65
2022-07-19	3545	95.3	98.6	94.5	98.6	4946387	98.6
2022-07-19	3550	14.2	14.75	14.2	14.5	95157	14.5
2022-07-19	3557	60.9	64.9	60.0	64.9	75687	64.9
2022-07-19	3563	140.0	144.5	140.0	144.0	207692	144.0
2022-07-19	3576	20.5	20.9	20.45	20.55	6763762	20.55
2022-07-19	3583	73.9	74.6	73.5	73.5	463474	73.5
2022-07-19	3588	81.3	81.6	80.4	81.4	245044	81.4
2022-07-19	3591	13.4	13.65	13.35	13.55	333049	13.55
2022-07-19	3592	274.0	276.0	271.5	274.5	652357	274.5
2022-07-19	3593	14.0	14.0	13.85	14.0	44014	14.0
2022-07-19	3596	118.5	119.5	116.5	117.0	1515514	117.0
2022-07-19	3605	38.6	38.9	38.2	38.85	241537	38.85
2022-07-19	3607	12.55	12.55	12.25	12.3	224801	12.3
2022-07-19	3617	69.8	70.5	69.8	70.0	70261	70.0
2022-07-19	3622	29.8	29.85	29.4	29.75	241154	29.75
2022-07-19	3645	39.45	40.6	39.35	39.75	1647678	39.75
2022-07-19	3653	349.0	356.5	341.5	351.0	2172544	351.0
2022-07-19	3661	645.0	659.0	636.0	636.0	6059200	636.0
2022-07-19	3665	328.0	330.0	311.0	315.0	3644471	315.0
2022-07-19	3669	41.0	41.75	40.6	41.25	219513	41.25
2022-07-19	3673	34.5	34.85	34.3	34.85	699447	34.85
2022-07-19	3679	73.1	73.2	72.8	73.1	7225	73.1
2022-07-19	3682	7.14	7.19	7.11	7.11	4062115	7.11
2022-07-19	3686	12.25	12.4	12.2	12.2	465817	12.2
2022-07-19	3694	17.0	19.05	17.0	19.05	410129	19.05
2022-07-19	3701	43.4	43.9	42.75	42.95	875998	42.95
2022-07-19	3702	48.1	48.9	47.95	48.6	13475795	48.6
2022-07-19	3702A	47.95	48.05	47.95	48.0	312258	48.0
2022-07-19	3703	28.0	28.4	27.75	28.2	1824560	28.2
2022-07-19	3704	28.85	29.35	28.55	28.8	5031159	28.8
2022-07-19	3705	40.5	40.6	40.3	40.6	45407	40.6
2022-07-19	3706	27.05	27.45	26.95	27.35	1412434	27.35
2022-07-19	3708	105.5	107.5	103.5	105.5	4083845	105.5
2022-07-19	3711	80.4	82.7	80.1	82.6	9767642	82.6
2022-07-19	3712	28.3	29.0	28.3	28.8	263268	28.8
2022-07-19	3714	49.9	50.9	49.55	50.5	2791386	50.5
2022-07-19	4104	63.8	64.5	63.8	64.3	132767	64.3
2022-07-19	4106	24.25	24.5	24.0	24.4	140409	24.4
2022-07-19	4108	18.0	18.8	17.9	18.6	341522	18.6
2022-07-19	4119	78.2	79.4	78.2	78.9	51351	78.9
2022-07-19	4133	37.5	38.3	37.2	37.35	880727	37.35
2022-07-19	4137	192.0	193.0	192.0	192.5	58562	192.5
2022-07-19	4142	38.0	38.8	37.9	38.0	2120325	38.0
2022-07-19	4148	50.5	56.4	50.5	56.4	1362717	56.4
2022-07-19	4155	22.4	22.6	22.4	22.45	100745	22.45
2022-07-19	4164	35.9	36.1	35.6	35.6	323394	35.6
2022-07-19	4190	68.3	68.3	66.9	67.9	10026	67.9
2022-07-19	4306	13.8	14.0	13.7	13.95	778640	13.95
2022-07-19	4414	4.78	4.82	4.72	4.75	1919775	4.75
