Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	4915	43.20	44.20	43.15	43.60	2114500
1994-06-24	4916	29.65	29.85	29.25	29.30	92016
1994-06-24	4919	40.80	41.30	40.50	41.00	577500
1994-06-24	4927	35.70	36.10	35.20	35.25	7813810
1994-06-24	4930	10.75	10.85	10.75	10.80	12150
1994-06-24	4934	5.23	5.23	4.99	5.01	1203739
1994-06-24	4935	32.50	32.50	31.85	32.30	184000
1994-06-24	4938	50.90	51.20	50.40	50.70	2372038
1994-06-24	4942	36.90	37.30	36.30	36.30	643000
1994-06-24	4943	106.50	111.00	106.50	109.00	3701709
1994-06-24	4952	30.50	30.60	30.30	30.30	52000
1994-06-24	4956	15.40	15.50	15.30	15.40	114006
1994-06-24	4958	82.00	83.40	81.00	83.00	5571831
1994-06-24	4960	8.84	9.05	8.78	8.91	3871015
1994-06-24	4961	38.80	38.90	37.75	37.85	1220058
1994-06-24	4968	47.05	47.60	46.85	46.95	462500
1994-06-24	4976	33.40	33.90	33.00	33.00	730050
1994-06-24	4977	81.50	84.80	80.30	82.60	3264931
1994-06-24	4989	20.40	22.00	20.10	22.00	1270405
1994-06-24	4994	51.50	53.10	50.00	53.10	96047
1994-06-24	4999	46.30	46.70	46.20	46.20	248008
1994-06-24	5007	50.00	50.30	50.00	50.30	11000
1994-06-24	5203	68.70	70.90	68.70	69.30	271252
1994-06-24	5215	29.00	29.00	27.80	27.95	338000
1994-06-24	5225	27.25	27.50	26.70	27.00	56582
1994-06-24	5234	87.10	90.50	86.90	88.00	791175
1994-06-24	5243	31.30	31.35	30.90	31.30	784004
1994-06-24	5258	13.30	13.50	13.25	13.50	133000
1994-06-24	5259	9.20	9.20	9.00	9.20	8748
1994-06-24	5264	37.40	38.90	36.75	37.05	3211425
1994-06-24	5269	484.00	488.00	478.00	478.00	292155
1994-06-24	5284	53.70	53.70	53.40	53.40	13000
1994-06-24	5285	69.20	69.20	68.60	68.80	85000
1994-06-24	5288	111.00	111.00	108.50	111.00	987100
1994-06-24	5305	27.65	27.70	27.00	27.15	1089891
1994-06-24	5388	65.00	65.50	63.00	63.20	4311167
