Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2008-06-10	0015	7.91	7.91	7.8	7.81	3431000	26797190	7.81
2008-06-10	0050	61	61.05	59.65	59.7	19871288	1196335992	59.7
2008-06-10	0051	33.4	33.5	32.7	32.7	119000	3933710	32.7
2008-06-10	0052	38.55	38.55	38.1	38.1	107000	4090480	38.1
2008-06-10	0053	24.81	24.81	24.18	24.18	253000	6166520	24.18
2008-06-10	0054	20.95	20.99	20.61	20.62	171000	3546100	20.62
2008-06-10	0055	15.74	15.77	15.2	15.2	4167100	64340500	15.2
2008-06-10	0056	25.6	25.6	25.02	25.05	863400	21814876	25.05
2008-06-10	0057	31.35	31.44	30.71	30.71	324000	10101250	30.71
2008-06-10	0058	31.5	31.5	31.1	31.1	75000	2342360	31.1
2008-06-10	0059	31.98	32.18	31.15	31.15	166000	5273040	31.15
2008-06-10	01001T	12.19	12.2	12.17	12.17	658000	8013520	12.17
2008-06-10	01002T	10.89	10.93	10.87	10.92	209000	2275440	10.92
2008-06-10	01003T	10.41	10.42	10.35	10.36	550000	5710820	10.36
2008-06-10	01004T	11.19	11.2	11.15	11.17	640000	7160210	11.17
2008-06-10	01005T	7.8	7.85	7.8	7.8	524000	4088700	7.8
2008-06-10	01007T	11.01	11.01	10.95	10.97	133000	1458510	10.97
2008-06-10	01008T	9.15	9.15	9.13	9.13	225000	2055150	9.13
2008-06-10	1101	49.7	49.7	48	48	10142049	494665179	48
2008-06-10	1102	53.9	54.3	52	52	8056062	425333524	52
2008-06-10	1103	26.2	26.4	25.55	25.55	832550	21606849	25.55
2008-06-10	1104	20.5	21.2	20.3	20.4	4592561	95474905	20.4
2008-06-10	1108	11.95	12.15	11.7	11.7	1436405	17109416	11.7
2008-06-10	1109	13.1	13.25	12.8	12.85	588000	7643800	12.85
2008-06-10	1110	15.8	15.8	14.7	14.75	2297857	35061189	14.75
2008-06-10	1201	20	20.25	19.85	19.9	2239657	44837558	19.9
2008-06-10	1203	21.5	21.95	21.1	21.1	561965	12021765	21.1
2008-06-10	1210	45.25	46.2	44.8	45	3609855	164694925	45
2008-06-10	1213	12.8	12.9	12.1	12.8	114000	1436900	12.8
2008-06-10	1215	19.4	19.7	19.1	19.2	2845278	55191135	19.2
2008-06-10	1216	41.8	41.85	41	41	11923867	492675003	41
2008-06-10	1217	11.55	11.8	11.3	11.3	2484584	28631081	11.3
2008-06-10	1218	11.25	11.5	11	11	1601722	17946742	11
2008-06-10	1219	17.5	18	16.7	16.7	5475836	95525609	16.7
2008-06-10	1220	10.75	11	10.4	10.4	366439	3904492	10.4
2008-06-10	1225	19.1	19.1	17.9	18	2286512	42468948	18
2008-06-10	1227	30.45	30.85	28.55	29.65	3693389	109828903	29.65
2008-06-10	1229	22.2	22.2	21.55	21.55	2603248	56856988	21.55
2008-06-10	1231	13	13.15	12.65	12.85	532090	6896352	12.85
2008-06-10	1232	43.5	44.2	42.9	43.2	374921	16349653	43.2
2008-06-10	1233	32.4	33.65	31.8	31.85	538691	17696971	31.85
2008-06-10	1234	16.3	16.4	15.8	15.9	1374275	22072995	15.9
2008-06-10	1235	34.2	34.6	34.2	34.25	20500	702225	34.25
2008-06-10	1236	18.3	18.3	17.85	17.85	263780	4740497	17.85
2008-06-10	1301	83	83	81	81	11050142	901115153	81
2008-06-10	1303	71.2	71.2	69.6	69.6	12317295	864204878	69.6
2008-06-10	1304	22.5	22.75	21.6	21.6	7563300	168203509	21.6
2008-06-10	1305	14.85	15.05	14.05	14.2	4728433	68656397	14.2
2008-06-10	1307	27.65	27.75	27.3	27.35	48436	1328151	27.35
2008-06-10	1308	30.3	30.3	29.1	29.1	2777116	82737306	29.1
2008-06-10	1309	12.5	12.65	12.1	12.1	5557196	69174658	12.1
2008-06-10	1310	16	16.2	15.4	15.6	10435252	165711970	15.6
2008-06-10	1312	12.85	12.85	12.3	12.4	7618238	96192036	12.4
2008-06-10	1312A	17.7	17.8	17.6	17.8	9000	159000	17.8
2008-06-10	1313	22.45	22.7	21.55	21.55	4138952	91353614	21.55
2008-06-10	1314	18.4	18.5	17.5	17.55	26697554	478508400	17.55
2008-06-10	1315	25.5	25.5	24.8	24.9	275002	6890350	24.9
2008-06-10	1316	6.7	6.83	6.7	6.7	140000	946550	6.7
2008-06-10	1319	25.4	25.55	25.25	25.3	957152	24304010	25.3
2008-06-10	1321	29	29.2	28.5	28.85	444100	12808060	28.85
2008-06-10	1323	13.8	14.3	13.75	13.9	325000	4563000	13.9
2008-06-10	1324	20.5	20.5	20	20	71880	1449886	20
2008-06-10	1325	13.45	13.6	13	13.2	384553	5090794	13.2
2008-06-10	1326	74.2	74.2	72.5	72.5	12446963	911953566	72.5
2008-06-10	1402	48	48	46.25	46.25	13744090	647142539	46.25
2008-06-10	1409	10.7	10.7	10.3	10.3	6003556	62621442	10.3
2008-06-10	1410	21.45	21.45	20.85	20.85	118001	2479671	20.85
2008-06-10	1413	3.63	3.72	3.57	3.57	300198	1091718	3.57
2008-06-10	1414	6.69	6.69	6.57	6.6	328294	2169569	6.6
2008-06-10	1416	9.98	10.15	9.7	9.75	3022761	29861328	9.75
2008-06-10	1417	9.45	9.45	9.01	9.02	2147084	19746565	9.02
2008-06-10	1418	3.22	3.24	3.12	3.12	722001	2292163	3.12
2008-06-10	1419	27.15	27.15	25.6	26	1921311	50972888	26
2008-06-10	1423	9	9.33	9	9.06	616025	5614415	9.06
2008-06-10	1432					0	0	
2008-06-10	1434	33	33	32.1	32.1	2720180	88078045	32.1
2008-06-10	1435	7.68	7.7	7.3	7.3	1327002	9902924	7.3
2008-06-10	1436	10.5	10.6	10.45	10.45	420241	4410466	10.45
2008-06-10	1437	22.5	22.7	21.35	21.9	607654	13351956	21.9
2008-06-10	1438	2.66	2.66	2.66	2.66	5260	13950	2.66
2008-06-10	1439	15	15	14.5	14.75	35818	525665	14.75
2008-06-10	1440	15.1	15.3	14.5	14.55	3361355	49948112	14.55
2008-06-10	1441	6.62	6.7	6.56	6.6	33003	217878	6.6
2008-06-10	1442	28.5	28.9	26.9	26.9	1559000	43159500	26.9
2008-06-10	1443	3.06	3.13	3	3	271899	825610	3
2008-06-10	1444	9.39	9.39	9.07	9.07	1952154	17935106	9.07
2008-06-10	1445	7.16	7.18	7.11	7.11	711012	5084115	7.11
2008-06-10	1446	11.2	11.3	10.95	10.95	289582	3207660	10.95
2008-06-10	1447	8.91	8.92	8.45	8.45	947738	8221937	8.45
2008-06-10	1449	2.85	2.85	2.77	2.79	214420	600967	2.79
2008-06-10	1451	20.1	20.1	19.9	19.9	2958802	59104742	19.9
2008-06-10	1452	9.7	9.7	9.35	9.4	107650	1022753	9.4
2008-06-10	1453	9.3	9.9	9.2	9.35	731096	6897967	9.35
2008-06-10	1454	7.6	7.6	7.26	7.3	117001	850397	7.3
2008-06-10	1455	7.9	7.94	7.76	7.78	486782	3822346	7.78
2008-06-10	1456	3.75	3.78	3.66	3.66	658930	2434988	3.66
2008-06-10	1457	7.15	7.18	7.01	7.02	513100	3619989	7.02
2008-06-10	1459	9.31	9.38	9.28	9.3	194693	1812927	9.3
2008-06-10	1460	7.8	7.8	7.6	7.65	355889	2743337	7.65
2008-06-10	1463	7.4	7.4	7.2	7.3	426000	3085740	7.3
2008-06-10	1464	7.03	7.09	7.03	7.06	121370	856550	7.06
2008-06-10	1465	11.7	11.75	11.45	11.55	158003	1823534	11.55
2008-06-10	1466	7.35	7.35	7.09	7.14	229769	1643419	7.14
2008-06-10	1467	12.25	12.55	11.85	11.9	2590889	31765389	11.9
2008-06-10	1468	12.8	12.9	12.65	12.65	94000	1202250	12.65
2008-06-10	1469	12.5	12.5	12.25	12.25	2000	24750	12.25
2008-06-10	1470	6.99	7.5	6.76	7.2	71630	509195	7.2
2008-06-10	1471	25.5	25.75	24.55	24.55	1057000	26459450	24.55
2008-06-10	1472	5.21	5.33	5.04	5.23	300500	1564080	5.23
2008-06-10	1473	37.1	37.1	36.65	36.65	222026	8177376	36.65
2008-06-10	1474	8.3	8.35	8.2	8.35	123234	1017742	8.35
2008-06-10	1475					0	0	
2008-06-10	1476	16.5	16.55	16.45	16.45	388896	6413653	16.45
2008-06-10	1477	65.1	65.4	65	65.1	487616	31760197	65.1
2008-06-10	1503	43	43	41.6	41.8	1469672	61877885	41.8
2008-06-10	1504	18.55	18.55	18	18	7587194	137817242	18
2008-06-10	1506	18.2	18.7	18.2	18.4	359717	6651368	18.4
2008-06-10	1507	24	24.15	23.35	23.5	1040000	24579150	23.5
2008-06-10	1512	9.99	10.15	9.8	10	87493	866869	10
2008-06-10	1513	28.2	28.2	26.65	26.65	2760254	75647581	26.65
2008-06-10	1514	10.7	10.7	10.35	10.35	326175	3411578	10.35
2008-06-10	1515	7.64	7.69	7.5	7.5	208000	1575490	7.5
2008-06-10	1516	10.7	10.7	10.7	10.7	1418306	15175871	10.7
2008-06-10	1517	17.3	17.6	16.3	16.3	5825764	98900712	16.3
2008-06-10	1519	54.7	54.7	53	53	375045	20138694	53
2008-06-10	1521	21.9	22.25	21.8	22.25	13000	285450	22.25
2008-06-10	1522	20.5	20.85	20.15	20.2	417196	8528247	20.2
2008-06-10	1523	14.4	14.4	14	14	170180	2421220	14
2008-06-10	1524	10.8	10.8	10.6	10.8	246778	2644195	10.8
2008-06-10	1525	21.35	21.35	21.3	21.3	7602	161892	21.3
2008-06-10	1526	11.6	11.95	11.5	11.9	4137288	48585434	11.9
2008-06-10	1527	30	30.4	29.4	29.4	651561	19406022	29.4
2008-06-10	1528	16.25	16.3	16.1	16.25	138381	2237121	16.25
2008-06-10	1529	8.98	9.1	8.42	8.42	3895000	34271250	8.42
2008-06-10	1530	57	57	55.9	55.9	221050	12394465	55.9
2008-06-10	1531	26.4	26.7	25.65	25.65	552286	14376707	25.65
2008-06-10	1532	56.1	56.1	54	54	534275	29324340	54
2008-06-10	1533	25.3	25.5	24.75	24.8	99000	2495550	24.8
2008-06-10	1535	51.9	54.7	51.9	54.7	2536376	137796461	54.7
