Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2012-01-06	0015	6.73	6.73	6.71	6.73	39000	262450	6.73
2012-01-06	0050	50.1	50.25	49.85	50	28343880	1418225293	50
2012-01-06	0051	23.85	23.96	23.81	23.82	56140	1340085	23.82
2012-01-06	0052	30.19	30.19	30	30	2000	60190	30
2012-01-06	0053	20.83	20.9	20.83	20.85	26000	542430	20.85
2012-01-06	0054	18.2	18.35	18.2	18.35	32000	585750	18.35
2012-01-06	0055	10.66	10.67	10.5	10.52	3948886	41673538	10.52
2012-01-06	0056	22.34	22.43	22.3	22.41	250524	5604664	22.41
2012-01-06	0057	28.49	28.51	28.37	28.4	257000	7313230	28.4
2012-01-06	0058	30.96	30.96	30.96	30.96	1000	30960	30.96
2012-01-06	0059	24.11	24.11	24.06	24.06	13000	313020	24.06
2012-01-06	0060	26.1	26.1	26.1	26.1	2000	52200	26.1
2012-01-06	0061	13.93	13.95	13.75	13.76	16601363	229745442	13.76
2012-01-06	006203	23.95	24	23.9	24	69000	1653700	24
2012-01-06	006204	35.5	35.57	35.4	35.45	89000	3158160	35.45
2012-01-06	006205	18.75	18.75	18.35	18.35	387000	7151650	18.35
2012-01-06	0080	346	347	340.1	340.1	1200	413620	340.1
2012-01-06	0081					0	0	
2012-01-06	008201	61.5	61.9	61.5	61.9	2400	147640	61.9
2012-01-06	01001T	14	14.1	14	14.1	635000	8891020	14.1
2012-01-06	01002T	14	14.01	13.9	13.96	344000	4806510	13.96
2012-01-06	01003T	10.99	11	10.96	11	106000	1164510	11
2012-01-06	01004T	11.54	11.58	11.52	11.58	30000	346280	11.58
2012-01-06	01005T	21.77	21.8	21.69	21.72	3841000	83587790	21.72
2012-01-06	01007T	12.63	12.65	12.63	12.63	35000	442240	12.63
2012-01-06	01008T	10.16	10.2	10.16	10.19	220000	2240440	10.19
2012-01-06	1101	35.6	35.65	34.95	34.95	16463826	580971564	34.95
2012-01-06	1102	34.3	34.3	33.55	33.9	8533487	289581118	33.9
2012-01-06	1103	11.8	11.95	11.7	11.7	640381	7538340	11.7
2012-01-06	1104	13.5	13.5	13.2	13.25	252315	3354957	13.25
2012-01-06	1108	5.34	5.35	5.28	5.28	130000	689190	5.28
2012-01-06	1109	10.4	10.4	10.2	10.25	161000	1652100	10.25
2012-01-06	1110	9.85	9.9	9.72	9.73	156838	1537488	9.73
2012-01-06	1201	32.4	32.75	32.1	32.3	2120088	68939226	32.3
2012-01-06	1203	19.6	19.85	19.35	19.35	162031	3147248	19.35
2012-01-06	1210	27.75	27.8	27.55	27.6	784668	21688022	27.6
2012-01-06	1213	18.8	18.8	18.4	18.4	62002	1148886	18.4
2012-01-06	1215	14.2	14.2	14.05	14.1	339201	4784893	14.1
2012-01-06	1216	43.9	44.4	43.45	44.4	10276632	451072191	44.4
2012-01-06	1217	10.1	10.15	9.95	9.98	2301935	23083986	9.98
2012-01-06	1218	14.1	14.25	14	14	723907	10214948	14
2012-01-06	1219	15.85	15.85	15.6	15.85	237077	3735268	15.85
2012-01-06	1220	9.5	9.5	9.38	9.5	64026	603646	9.5
2012-01-06	1225	12.5	12.5	12.35	12.45	95055	1177580	12.45
2012-01-06	1227	92.8	93	91.8	92.6	1464065	135569314	92.6
2012-01-06	1229	17.55	17.8	17.55	17.8	2865712	50729238	17.8
2012-01-06	1231	35.5	35.5	35.15	35.3	458220	16194842	35.3
2012-01-06	1232	47.5	47.5	47.05	47.1	82147	3875556	47.1
2012-01-06	1233	44.5	44.55	44.2	44.45	45101	2003047	44.45
2012-01-06	1234	25.45	25.5	25	25.25	288053	7245000	25.25
2012-01-06	1235	22.55	22.65	22.45	22.5	70303	1584236	22.5
2012-01-06	1236	22.25	22.4	22.25	22.35	41503	927691	22.35
2012-01-06	1301	80.8	81.9	80.2	81.9	9543478	773554582	81.9
2012-01-06	1303	61	61.7	60.8	61.6	8561358	524874263	61.6
2012-01-06	1304	24.15	25.05	23.95	24.55	14113679	347231176	24.55
2012-01-06	1305	9.6	9.9	9.53	9.57	8735106	84466029	9.57
2012-01-06	1307	22.1	22.2	21.85	21.9	135902	2985946	21.9
2012-01-06	1308	32.3	33.2	31.85	32.45	3419795	111549942	32.45
