Ticker	Name	Buy	Sell	OverBS	Date
2327	國巨	14554000	122000	14432000	2006-04-13
2801	彰銀	16273000	2288000	13985000	2006-04-13
2344	華邦電	13383000	196000	13187000	2006-04-13
2002	中鋼	12217000	1387750	10829250	2006-04-13
2324	仁寶	12494000	2474343	10019657	2006-04-13
2891	中信金	22599000	13261035	9337965	2006-04-13
2330	台積電	25230000	16774343	8455657	2006-04-13
2883	開發金	7998000	145000	7853000	2006-04-13
2892	第一金	7407000	43000	7364000	2006-04-13
2881	富邦金	8181000	1439000	6742000	2006-04-13
2492	華新科	6397000	40000	6357000	2006-04-13
2886	兆豐金	10565000	4653000	5912000	2006-04-13
2887	台新金	9110000	3538000	5572000	2006-04-13
2325	矽品	5937000	393000	5544000	2006-04-13
2603	長榮	7012000	1468000	5544000	2006-04-13
2317	鴻海	5949000	1493414	4455586	2006-04-13
2882	國泰金	14235000	10120000	4115000	2006-04-13
2845	遠東銀	3809000	0	3809000	2006-04-13
2340	台亞	5107000	1513000	3594000	2006-04-13
1102	亞泥	3898000	312000	3586000	2006-04-13
2610	華航	4584000	1013000	3571000	2006-04-13
2408	南亞科	8020000	4475000	3545000	2006-04-13
2353	宏碁	5261000	1886865	3374135	2006-04-13
2311	日月光	4638000	1306000	3332000	2006-04-13
1314	中石化	3306000	0	3306000	2006-04-13
3231	緯創	4743000	1489280	3253720	2006-04-13
1605	華新	6646000	3644000	3002000	2006-04-13
2548	華固	2914000	0	2914000	2006-04-13
8008	建興電	4380000	1476750	2903250	2006-04-13
5534	長虹	2537000	0	2537000	2006-04-13
3049	和鑫	2539000	104000	2435000	2006-04-13
3009	奇美電	3630000	1260000	2370000	2006-04-13
2107	厚生	3077000	725000	2352000	2006-04-13
9914	美利達	2316000	5000	2311000	2006-04-13
2201	裕隆	2296000	8000	2288000	2006-04-13
2474	可成	2391000	139000	2252000	2006-04-13
1905	華紙	2239000	0	2239000	2006-04-13
2823	中壽	2180000	0	2180000	2006-04-13
2352	佳世達	7970000	5797400	2172600	2006-04-13
1904	正隆	2152000	0	2152000	2006-04-13
2426	鼎元	2061000	0	2061000	2006-04-13
2475	華映	4718000	2660000	2058000	2006-04-13
2880	華南金	2089000	33000	2056000	2006-04-13
2847	大眾銀	6426000	4430000	1996000	2006-04-13
1907	永豐餘	1918000	12000	1906000	2006-04-13
1504	東元	2491000	616000	1875000	2006-04-13
2356	英業達	1802000	18000	1784000	2006-04-13
2501	國建	1781000	9000	1772000	2006-04-13
1101	台泥	5061000	3434000	1627000	2006-04-13
2341	英群	1574000	10000	1564000	2006-04-13
2394	普立爾	1550000	5000	1545000	2006-04-13
3007	綠點	3336000	1869000	1467000	2006-04-13
2371	大同	1848000	471700	1376300	2006-04-13
1301	台塑	2499000	1171840	1327160	2006-04-13
2446	全懋	2357000	1039000	1318000	2006-04-13
2363	矽統	1221000	0	1221000	2006-04-13
2452	乾坤	1200000	0	1200000	2006-04-13
2534	宏盛	1131000	1000	1130000	2006-04-13
2884	玉山金	2051000	941000	1110000	2006-04-13
9917	中保科	1086000	3000	1083000	2006-04-13
2418	雅新	1669000	588000	1081000	2006-04-13
2323	中環	1102000	27000	1075000	2006-04-13
6005	群益證	1560000	489000	1071000	2006-04-13
2336	致伸	1000000	0	1000000	2006-04-13
2504	國產	1000000	0	1000000	2006-04-13
2349	錸德	2743000	1782000	961000	2006-04-13
2903	遠百	977000	23000	954000	2006-04-13
2834	臺企銀	928000	0	928000	2006-04-13
3044	健鼎	939000	35000	904000	2006-04-13
2023	燁輝	1662000	761000	901000	2006-04-13
2312	金寶	825000	10000	815000	2006-04-13
2889	國票金	818000	16000	802000	2006-04-13
2391	合勤	778000	4000	774000	2006-04-13
2520	冠德	770000	0	770000	2006-04-13
2385	群光	768000	14000	754000	2006-04-13
1611	中電	740000	0	740000	2006-04-13
3008	大立光	757000	33000	724000	2006-04-13
2014	中鴻	1120000	400000	720000	2006-04-13
9101	福雷電	720000	0	720000	2006-04-13
2388	威盛	768000	49000	719000	2006-04-13
2204	中華	1246000	539000	707000	2006-04-13
2454	聯發科	893000	265146	627854	2006-04-13
6235	華孚	627000	10000	617000	2006-04-13
8101	華冠	600000	1000	599000	2006-04-13
3019	亞光	594000	1000	593000	2006-04-13
2606	裕民	613000	23000	590000	2006-04-13
2498	宏達電	590050	2000	588050	2006-04-13
2822	農銀	576000	0	576000	2006-04-13
3214	元砷	572000	0	572000	2006-04-13
3062	建漢	759000	250000	509000	2006-04-13
2465	麗臺	500000	0	500000	2006-04-13
2825	中央保	500000	0	500000	2006-04-13
9937	全國	500000	0	500000	2006-04-13
2361	鴻友	499000	0	499000	2006-04-13
2885	元大金	931000	469000	462000	2006-04-13
1606	歌林	459000	0	459000	2006-04-13
2451	創見	559000	100000	459000	2006-04-13
2837	萬泰銀	555000	100000	455000	2006-04-13
3311	閎暉	458000	3000	455000	2006-04-13
6285	啟碁	563000	110000	453000	2006-04-13
1536	和大	447000	0	447000	2006-04-13
2345	智邦	441000	6000	435000	2006-04-13
3051	力特	502000	85000	417000	2006-04-13
2313	華通	568000	161000	407000	2006-04-13
2379	瑞昱	415000	12000	403000	2006-04-13
9915	億豐	927000	559000	368000	2006-04-13
