Ticker	Name	Buy	Sell	OverBS	Date
00671R	富邦NASDAQ反1	9530350	1726000	7804350	2022-08-30
00715L	期街口布蘭特正2	9710000	2668000	7042000	2022-08-30
055901	玉晶光元大1A購01	6864000	392000	6472000	2022-08-30
075429	群創群益21購01	6623000	267000	6356000	2022-08-30
00648R	元大S&P500反1	8350000	2090000	6260000	2022-08-30
00669R	國泰美國道瓊反1	5353000	694000	4659000	2022-08-30
0050	元大台灣50	5113491	1040874	4072617	2022-08-30
079749	台積電元大27購02	3115000	7000	3108000	2022-08-30
00642U	期元大S&P石油	2466239	15000	2451239	2022-08-30
2313	華通	3362830	1168718	2194112	2022-08-30
074163	群創富邦21購01	2107000	0	2107000	2022-08-30
073301	臺股指凱基1B購15	4027000	1986000	2041000	2022-08-30
074078	群創凱基1B購03	2076000	269000	1807000	2022-08-30
072408	臺股指元大1A購25	1799000	6000	1793000	2022-08-30
082294	燁輝凱基24購01	1786000	0	1786000	2022-08-30
058400	和大元大1B購01	2416000	635000	1781000	2022-08-30
069941	元油反元大23購01	3751000	2012000	1739000	2022-08-30
070677	玉晶光中信1A購01	1768000	72000	1696000	2022-08-30
074017	中磊元大25購01	1669000	63000	1606000	2022-08-30
03179P	臺股指中信19售10	2236000	670000	1566000	2022-08-30
00676R	富邦臺灣加權反1	2598000	1040101	1557899	2022-08-30
079024	安集元大23購01	1518000	94000	1424000	2022-08-30
076721	智原國票21購01	1748000	349000	1399000	2022-08-30
1605	華新	2340634	1101844	1238790	2022-08-30
079338	台積電元大21購22	1443000	212000	1231000	2022-08-30
075089	群創凱基1B購04	1198000	0	1198000	2022-08-30
077376	東鹼中信1C購01	1269000	87000	1182000	2022-08-30
080023	群創凱基22購01	1173000	0	1173000	2022-08-30
071166	長榮國泰1C購04	1175000	5000	1170000	2022-08-30
064393	T50反1國票21購01	1152000	2000	1150000	2022-08-30
073738	友達富邦21購01	1932000	818000	1114000	2022-08-30
075932	元晶元大1B購01	1156000	62000	1094000	2022-08-30
04862P	臺股指元大1A售13	1112000	35000	1077000	2022-08-30
076894	上緯控國票21購02	1264000	204000	1060000	2022-08-30
082017	道瓊反元大25購01	1070000	10000	1060000	2022-08-30
2303	聯電	2238000	1196295	1041705	2022-08-30
073767	群創凱基21購03	1068000	30000	1038000	2022-08-30
2324	仁寶	1087000	53560	1033440	2022-08-30
078200	臺股指元大24購20	1016000	10000	1006000	2022-08-30
071887	泰鼎國票1B購02	998000	0	998000	2022-08-30
06673P	臺股指群益1C售16	998000	3000	995000	2022-08-30
077944	世芯元大23購01	1055000	63000	992000	2022-08-30
070640	聯發科群益1A購10	998000	10000	988000	2022-08-30
079770	中信金元大24購01	998000	12000	986000	2022-08-30
