契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202208W5,13500,Call,-,-,-,-,1770,-,-,0,0,0,1,1740,1810,1570,1570
TXO,202208W5,13500,Put,0.2,0.2,0.2,0.2,0.2,0,0%,0,8,8,590,-,0.7,1,0.2
TXO,202208W5,13600,Call,-,-,-,-,1670,-,-,0,0,0,1,1640,1710,1540,1540
TXO,202208W5,13600,Put,-,-,-,-,0.2,-,-,0,0,0,28,0.1,0.6,1.1,0.8
TXO,202208W5,13700,Call,-,-,-,-,1570,-,-,0,0,0,0,1540,1610,-,-
TXO,202208W5,13700,Put,0.3,0.3,0.2,0.2,0.2,▼-0.2,▼-50.00%,0,21,21,29,-,0.7,1.7,0.2
TXO,202208W5,13800,Call,-,-,-,-,1470,-,-,0,0,0,0,1440,1510,-,-
TXO,202208W5,13800,Put,0.2,0.2,0.2,0.2,0.2,▼-0.3,▼-60.00%,0,2,2,117,-,0.7,2.2,0.2
TXO,202208W5,13900,Call,-,-,-,-,1370,-,-,0,0,0,0,1340,1450,-,-
TXO,202208W5,13900,Put,-,-,-,-,0.3,-,-,0,0,0,76,0.2,0.5,3.7,0.7
TXO,202208W5,14000,Call,-,-,-,-,1270,-,-,0,0,0,0,1240,1350,-,-
TXO,202208W5,14000,Put,0.5,0.6,0.3,0.6,0.6,▼-0.3,▼-33.33%,218,63,281,1012,0.2,0.7,3.7,0.3
TXO,202208W5,14100,Call,-,-,-,-,1170,-,-,0,0,0,0,1140,1250,-,-
TXO,202208W5,14100,Put,0.6,0.6,0.5,0.5,0.7,▼-0.4,▼-44.44%,37,20,57,900,0.2,0.7,4,0.5
TXO,202208W5,14200,Call,-,-,-,-,1070,-,-,0,0,0,0,1050,1100,-,-
TXO,202208W5,14200,Put,0.8,0.8,0.5,0.8,0.8,▼-0.6,▼-42.86%,50,84,134,912,0.4,0.9,5.1,0.5
TXO,202208W5,14300,Call,-,-,-,-,970,-,-,0,0,0,0,945,1050,-,-
TXO,202208W5,14300,Put,1.2,1.6,0.6,1.1,1.1,▼-0.6,▼-35.29%,217,117,334,1356,0.6,1.1,7.5,0.6
TXO,202208W5,14400,Call,885,885,885,885,870,▲+75,▲+9.26%,0,1,1,1,790,915,885,885
TXO,202208W5,14400,Put,1,1.4,0.8,1.4,1.4,▼-0.8,▼-36.36%,831,686,1517,1994,0.8,1.4,11.5,0.8
TXO,202208W5,14500,Call,-,-,-,-,770,-,-,0,0,0,0,690,825,-,-
TXO,202208W5,14500,Put,1.6,3,1,1.7,1.7,▼-1.3,▼-43.33%,1127,1245,2372,3295,1.1,1.8,18.5,1
TXO,202208W5,14600,Call,-,-,-,-,670,-,-,0,0,0,4,650,710,460,460
TXO,202208W5,14600,Put,2.5,2.6,1.3,2.5,2.5,▼-2.5,▼-50.00%,1192,2492,3684,4747,1.7,2.6,28.5,1.3
TXO,202208W5,14650,Call,-,-,-,-,620,-,-,0,0,0,25,600,660,446,445
TXO,202208W5,14650,Put,2.8,3.2,1.3,3,3,▼-2.9,▼-49.15%,895,2052,2947,2199,3,3.1,33,1.3
TXO,202208W5,14700,Call,-,-,-,-,575,-,-,0,0,0,30,535,610,545,399
TXO,202208W5,14700,Put,3,4,2,3.8,3.8,▼-4.6,▼-54.76%,1422,2304,3726,2875,3.5,4,41,2
TXO,202208W5,14750,Call,-,-,-,-,525,-,-,0,0,0,2,467,565,430,357
TXO,202208W5,14750,Put,3.6,5,2.5,4.8,4.8,▼-6.2,▼-56.36%,962,1834,2796,2855,4.1,4.7,50,2.5
TXO,202208W5,14800,Call,500,535,478,478,476,▲+54,▲+12.74%,12,12,24,49,471,550,535,288
TXO,202208W5,14800,Put,4,6.7,3.3,6.4,6.4,▼-7.1,▼-52.59%,3582,5040,8622,7171,6.3,6.4,60,3.3
TXO,202208W5,14850,Call,482,490,426,426,426,▲+50,▲+13.30%,62,38,100,68,351,515,490,262
TXO,202208W5,14850,Put,6.1,8.6,4.2,8.3,8.3,▼-9.7,▼-53.89%,3464,2642,6106,4415,8.1,8.3,73,4.2
TXO,202208W5,14900,Call,434,434,390,390,379,▲+58,▲+17.47%,42,17,59,112,303,451,440,212
TXO,202208W5,14900,Put,8.2,12,5.4,11,11,▼-11.5,▼-51.11%,5918,3937,9855,5952,11,11.5,86,5.4
TXO,202208W5,14950,Call,386,388,334,334,334,▲+48,▲+16.78%,76,67,143,254,314,387,388,179
TXO,202208W5,14950,Put,11,16,7.5,14.5,14.5,▼-14.5,▼-50.00%,4320,3936,8256,4454,14.5,15,101,7.5
TXO,202208W5,15000,Call,340,350,289,289,289,▲+40,▲+16.06%,362,321,683,732,288,352,350,149
TXO,202208W5,15000,Put,15,21,10.5,20,20,▼-17.5,▼-46.67%,8291,6692,14983,8761,19.5,21,122,10.5
TXO,202208W5,15050,Call,295,308,245,255,246,▲+43,▲+20.28%,616,569,1185,726,246,255,308,120
TXO,202208W5,15050,Put,20,28,14.5,26.5,26.5,▼-21.5,▼-44.79%,6897,6578,13475,4727,26,27.5,143,14.5
TXO,202208W5,15100,Call,242,268,204,211,209,▲+38,▲+21.97%,1893,875,2768,1338,209,213,268,95
TXO,202208W5,15100,Put,27,36.5,19.5,35,35,▼-27,▼-43.55%,9064,10605,19669,6010,34,35.5,168,19.5
TXO,202208W5,15150,Call,200,225,164,169,168,▲+30,▲+21.58%,3049,1110,4159,1913,168,177,225,73
TXO,202208W5,15150,Put,36.5,48.5,26,45.5,45.5,▼-30.5,▼-40.13%,6479,6906,13385,3958,45.5,46,194,26
TXO,202208W5,15200,Call,160,183,129,136,136,▲+28,▲+25.93%,9262,4218,13480,2591,136,140,183,54
TXO,202208W5,15200,Put,46,63,36,59,59,▼-36,▼-37.89%,11484,12530,24014,5559,59,60,227,36
TXO,202208W5,15250,Call,127,145,96,105,104,▲+24,▲+29.63%,11150,6236,17386,3345,104,105,145,39.5
TXO,202208W5,15250,Put,56,82,47.5,78,78,▼-41,▼-34.45%,7646,8786,16432,3272,77,78,258,47.5
TXO,202208W5,15300,Call,100,114,70,75,75,▲+16,▲+27.12%,18773,14970,33743,6596,75,77,114,27
TXO,202208W5,15300,Put,81,105,64,99,101,▼-51,▼-34.00%,6316,14486,20802,3596,99,101,299,64
TXO,202208W5,15350,Call,71,83,48.5,55,55,▲+14,▲+34.15%,10797,10722,21519,5125,54,55,83,18
TXO,202208W5,15350,Put,106,133,84,129,133,▼-49,▼-27.53%,2660,5487,8147,1412,127,133,330,84
TXO,202208W5,15400,Call,50,58,31.5,36,36,▲+9.5,▲+35.85%,13325,14825,28150,9636,36,37,58,12
TXO,202208W5,15400,Put,134,166,111,158,163,▼-63,▼-28.51%,1885,2861,4746,986,159,163,380,111
TXO,202208W5,15450,Call,33,38.5,19.5,23.5,23.5,▲+8,▲+51.61%,9055,9841,18896,8623,22,24,38.5,7.7
TXO,202208W5,15450,Put,158,202,141,197,203,▼-61,▼-23.64%,653,772,1425,194,196,203,398,141
TXO,202208W5,15500,Call,20.5,23.5,11.5,14,14,▲+4,▲+40.00%,10270,9623,19893,12607,13.5,14.5,23.5,5.3
TXO,202208W5,15500,Put,177,245,177,237,241,▼-60,▼-20.20%,198,1037,1235,377,232,241,439,177
TXO,202208W5,15550,Call,12.5,14,6.7,8.3,8.3,▲+3.2,▲+62.75%,0,4218,4218,2390,8,8.4,14,6.7
TXO,202208W5,15550,Put,236,288,228,284,290,▼-59,▼-17.20%,0,170,170,90,192,370,288,228
TXO,202208W5,15600,Call,7.3,8.4,4,4.9,4.9,▲+0.9,▲+22.50%,4356,3214,7570,5709,4.6,5,8.5,2.3
TXO,202208W5,15600,Put,281,336,268,325,337,▼-69,▼-17.51%,20,157,177,131,326,352,550,268
