契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W1,11300,Call,-,-,-,-,1480,-,-,0,0,0,0,1440,1510,-,-
TXO,202211W1,11300,Put,0.7,0.9,0.7,0.8,0.8,▼-0.3,▼-27.27%,25,90,115,1097,0.5,0.9,4,0.7
TXO,202211W1,11400,Call,-,-,-,-,1380,-,-,0,0,0,0,1340,1410,-,-
TXO,202211W1,11400,Put,1,1.1,0.7,0.7,0.8,▼-0.7,▼-50.00%,10,201,211,293,0.5,1.1,4.8,0.7
TXO,202211W1,11500,Call,-,-,-,-,1280,-,-,0,0,0,0,1240,1310,-,-
TXO,202211W1,11500,Put,1.2,1.4,1.1,1.1,1.1,▼-0.5,▼-31.25%,8,170,178,393,1,1.4,6.4,1
TXO,202211W1,11600,Call,-,-,-,-,1180,-,-,0,0,0,0,1140,1210,-,-
TXO,202211W1,11600,Put,1.2,1.6,1.2,1.5,1.5,▼-0.3,▼-16.67%,22,80,102,372,1.1,1.6,10,1.1
TXO,202211W1,11700,Call,-,-,-,-,1080,-,-,0,0,0,0,1040,1110,-,-
TXO,202211W1,11700,Put,1.7,1.9,1.1,1.7,1.7,▼-0.5,▼-22.73%,71,381,452,1136,1.1,1.8,10.5,1.1
TXO,202211W1,11800,Call,-,-,-,-,980,-,-,0,0,0,0,945,1010,-,-
TXO,202211W1,11800,Put,1.3,2.4,1.3,2.2,2.2,▼-0.4,▼-15.38%,234,504,738,2340,1.5,2.3,17,1.3
TXO,202211W1,11900,Call,-,-,-,-,880,-,-,0,0,0,0,845,910,-,-
TXO,202211W1,11900,Put,3.1,3.2,1.5,2.9,2.9,▼-0.1,▼-3.33%,103,516,619,3186,2.2,3,22,1.5
TXO,202211W1,12000,Call,830,850,765,765,780,▼-205,▼-21.13%,0,30,30,13,770,785,950,765
TXO,202211W1,12000,Put,5.9,6,2.8,3.8,3.8,0,0%,470,1185,1655,2425,3.6,3.9,28.5,2.5
TXO,202211W1,12100,Call,675,695,675,680,680,▼-190,▼-21.84%,0,3,3,2,670,690,695,675
