契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202210W1,11900,Call,-,-,-,-,1690,-,-,0,0,0,0,1680,1710,-,-
TXO,202210W1,11900,Put,-,-,-,-,0.1,-,-,0,0,0,0,-,0.4,-,-
TXO,202210W1,12000,Call,-,-,-,-,1590,-,-,0,0,0,1,1580,1610,1290,1290
TXO,202210W1,12000,Put,0.2,0.3,0.1,0.3,0.2,▼-0.8,▼-72.73%,190,22,212,333,-,0.3,1.6,0.1
TXO,202210W1,12100,Call,-,-,-,-,1490,-,-,0,0,0,4,1480,1510,1480,1190
TXO,202210W1,12100,Put,0.2,0.3,0.2,0.3,0.2,▼-1.1,▼-78.57%,139,70,209,2063,0.3,0.5,5.3,0.2
TXO,202210W1,12200,Call,-,-,-,-,1390,-,-,0,0,0,4,1380,1410,1380,1090
TXO,202210W1,12200,Put,0.3,0.3,0.2,0.2,0.2,▼-1.2,▼-85.71%,39,171,210,905,0.1,0.6,6.6,0.2
TXO,202210W1,12300,Call,-,-,-,-,1290,-,-,0,0,0,0,1280,1310,-,-
TXO,202210W1,12300,Put,0.4,0.9,0.1,0.2,0.2,▼-1.6,▼-88.89%,109,159,268,2341,0.1,0.5,8.9,0.1
TXO,202210W1,12400,Call,-,-,-,-,1190,-,-,0,0,0,0,1180,1210,-,-
TXO,202210W1,12400,Put,0.6,0.8,0.2,0.4,0.4,▼-1.6,▼-80.00%,531,921,1452,4101,0.2,0.5,12.5,0.2
TXO,202210W1,12500,Call,-,-,-,-,1090,-,-,0,0,0,1,1080,1110,1020,795
TXO,202210W1,12500,Put,0.3,0.9,0.1,0.4,0.4,▼-3.3,▼-89.19%,934,716,1650,3227,0.2,0.5,17,0.1
TXO,202210W1,12600,Call,-,-,-,-,995,-,-,12,0,12,13,985,1010,865,700
TXO,202210W1,12600,Put,1,2,0.2,0.3,0.4,▼-5.2,▼-94.55%,1218,864,2082,3190,0.2,0.5,23,0.2
TXO,202210W1,12700,Call,-,-,-,-,895,-,-,9,0,9,20,885,910,750,575
TXO,202210W1,12700,Put,1.2,1.2,0.2,0.5,0.5,▼-8,▼-94.12%,2063,1345,3408,4368,0.3,0.6,30,0.2
TXO,202210W1,12800,Call,790,810,755,810,795,▲+285,▲+54.29%,0,4,4,21,790,810,810,475
TXO,202210W1,12800,Put,1.8,2,0.4,0.6,0.6,▼-11.9,▼-95.20%,3986,2479,6465,5797,0.5,0.7,40.5,0.4
TXO,202210W1,12900,Call,670,710,670,710,695,▲+280,▲+65.12%,2,5,7,21,690,710,710,375
TXO,202210W1,12900,Put,1.9,2.8,0.4,0.8,0.8,▼-18.7,▼-95.90%,6695,3860,10555,7146,0.7,0.8,55,0.4
TXO,202210W1,12950,Call,595,660,595,660,645,▲+281,▲+74.14%,0,2,2,0,635,660,660,595
TXO,202210W1,12950,Put,3,3,0.7,1.2,0.9,▼-23.8,▼-95.20%,0,382,382,108,0.7,1,3,0.7
TXO,202210W1,13000,Call,525,605,525,590,595,▲+246,▲+71.51%,188,29,217,142,590,605,665,286
TXO,202210W1,13000,Put,3,3,0.9,1.1,1.1,▼-29.9,▼-96.45%,10551,6193,16744,10004,1.2,1.3,72,0.9
TXO,202210W1,13050,Call,495,520,495,520,545,▲+220,▲+73.33%,18,5,23,8,535,560,520,259
TXO,202210W1,13050,Put,4,4,1.1,1.6,1.6,▼-36.4,▼-95.79%,4502,3109,7611,2357,1,1.5,71,1.1
TXO,202210W1,13100,Call,428,515,405,496,496,▲+236,▲+90.77%,122,116,238,102,494,510,535,209
TXO,202210W1,13100,Put,5,5,1.2,1.9,1.9,▼-45.1,▼-95.96%,10314,9178,19492,7093,1.4,1.9,95,1.2
TXO,202210W1,13150,Call,342,450,342,440,446,▲+219,▲+99.10%,248,69,317,135,438,457,476,179
TXO,202210W1,13150,Put,6.5,10,1.7,2.2,2.2,▼-56.8,▼-96.27%,8814,5763,14577,3708,2,2.5,108,1.7
TXO,202210W1,13200,Call,336,417,311,393,397,▲+209,▲+113.59%,1534,408,1942,481,389,408,499,147
TXO,202210W1,13200,Put,9.7,9.7,2.5,3.3,3.3,▼-68.7,▼-95.42%,14726,9161,23887,6654,3.1,3.3,123,2.5
TXO,202210W1,13250,Call,289,363,264,360,349,▲+209,▲+138.41%,1863,572,2435,542,270,359,395,119
TXO,202210W1,13250,Put,11,13.5,3.3,4.6,4.6,▼-84.4,▼-94.83%,10396,7628,18024,4064,4.2,4.6,140,3.3
TXO,202210W1,13300,Call,244,319,218,300,300,▲+180,▲+150.00%,7256,2993,10249,2155,295,304,550,93
