契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W4,12000,Call,-,-,-,-,2500,-,-,0,0,0,0,2470,2510,-,-
TXO,202211W4,12000,Put,0.2,0.2,0.2,0.2,0.2,▼-0.2,▼-50.00%,6,30,36,418,0.1,1,8,0.2
TXO,202211W4,12100,Call,-,-,-,-,2400,-,-,0,0,0,0,2380,2410,-,-
TXO,202211W4,12100,Put,-,-,-,-,0.2,-,-,0,0,0,256,-,1,6.1,0.2
TXO,202211W4,12200,Call,-,-,-,-,2300,-,-,0,0,0,0,2280,2310,-,-
TXO,202211W4,12200,Put,-,-,-,-,0.2,-,-,0,0,0,124,-,1,7,0.2
TXO,202211W4,12300,Call,-,-,-,-,2200,-,-,0,0,0,0,2180,2210,-,-
TXO,202211W4,12300,Put,-,-,-,-,0.2,-,-,3,0,3,180,-,1,9.9,0.2
TXO,202211W4,12400,Call,-,-,-,-,2100,-,-,0,0,0,0,2080,2110,-,-
TXO,202211W4,12400,Put,-,-,-,-,0.2,-,-,2,0,2,287,-,1,13.5,0.2
TXO,202211W4,12500,Call,-,-,-,-,2000,-,-,0,0,0,1,1980,2010,2000,955
TXO,202211W4,12500,Put,0.2,0.2,0.2,0.2,0.2,▼-0.4,▼-66.67%,23,1,24,419,0.2,1,17,0.2
TXO,202211W4,12600,Call,-,-,-,-,1900,-,-,6,0,6,0,1880,1910,1910,960
TXO,202211W4,12600,Put,0.5,2.1,0.3,0.3,0.3,▼-0.3,▼-50.00%,105,86,191,540,0.2,1,22,0.1
TXO,202211W4,12700,Call,-,-,-,-,1800,-,-,5,0,5,0,1780,1810,1810,775
TXO,202211W4,12700,Put,0.5,0.9,0.4,0.4,0.4,▼-0.2,▼-33.33%,0,31,31,314,0.2,0.6,30,0.4
TXO,202211W4,12800,Call,-,-,-,-,1700,-,-,0,0,0,0,1680,1710,1680,675
TXO,202211W4,12800,Put,0.4,0.4,0.4,0.4,0.6,▼-0.2,▼-33.33%,23,2,25,424,0.5,0.7,41,0.3
TXO,202211W4,12900,Call,-,-,-,-,1600,-,-,0,0,0,0,1580,1610,-,-
TXO,202211W4,12900,Put,0.4,0.4,0.4,0.4,0.7,▼-0.5,▼-55.56%,0,6,6,737,0.4,0.8,53,0.4
TXO,202211W4,12950,Call,-,-,-,-,1550,-,-,0,0,0,0,1530,1560,-,-
TXO,202211W4,12950,Put,-,-,-,-,0.8,-,-,2,0,2,686,0.5,1,61,1
