契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211,10700,Call,-,-,-,-,3350,-,-,0,0,0,0,3330,3370,-,-
TXO,202211,10700,Put,0.1,0.5,0.1,0.4,0.4,▲+0.3,-,0,1019,1019,1774,0.2,0.6,12.5,0.1
TXO,202211,10800,Call,3180,3180,3180,3180,3250,▲+490,▲+18.22%,0,19,19,680,3240,3270,3180,1920
TXO,202211,10800,Put,0.2,0.5,0.2,0.4,0.4,▲+0.2,▲+100.00%,29,1719,1748,2810,0.3,0.6,23,0.2
TXO,202211,10900,Call,-,-,-,-,3150,-,-,0,0,0,45,3140,3170,2090,2070
TXO,202211,10900,Put,0.3,0.9,0.3,0.4,0.4,▲+0.1,▲+33.33%,31,271,302,786,0.4,0.6,27.5,0.3
TXO,202211,11000,Call,-,-,-,-,3050,-,-,0,0,0,11,3040,3070,1860,1850
TXO,202211,11000,Put,0.5,0.6,0.4,0.6,0.6,▲+0.2,▲+50.00%,20,261,281,1858,0.4,0.8,30.5,0.2
TXO,202211,11100,Call,-,-,-,-,2950,-,-,0,0,0,0,2940,2970,-,-
TXO,202211,11100,Put,0.5,0.7,0.3,0.6,0.6,▲+0.2,▲+50.00%,37,162,199,2226,0.2,0.7,67,0.1
TXO,202211,11200,Call,-,-,-,-,2850,-,-,0,0,0,0,2840,2870,-,-
TXO,202211,11200,Put,0.6,0.8,0.3,0.8,0.6,▲+0.4,▲+100.00%,20,47,67,3358,0.4,1,77,0.3
TXO,202211,11300,Call,-,-,-,-,2750,-,-,0,0,0,1,2740,2770,1650,1650
TXO,202211,11300,Put,0.5,1.2,0.4,0.9,0.6,▲+0.3,▲+50.00%,63,52,115,2020,0.3,1,87,0.4
TXO,202211,11400,Call,-,-,-,-,2650,-,-,0,0,0,232,2640,2670,2210,1350
TXO,202211,11400,Put,0.5,0.8,0.3,0.6,0.6,0,0%,10,348,358,2093,0.6,0.8,100,0.3
TXO,202211,11500,Call,-,-,-,-,2550,-,-,0,0,0,0,2540,2570,-,-
TXO,202211,11500,Put,0.6,0.9,0.3,0.5,0.7,▼-0.2,▼-28.57%,72,165,237,3831,0.4,1,114,0.3
TXO,202211,11600,Call,-,-,-,-,2450,-,-,0,0,0,1,2440,2470,1380,1300
TXO,202211,11600,Put,0.6,0.8,0.5,0.8,0.8,0,0%,74,314,388,2434,0.6,1,130,0.5
TXO,202211,11700,Call,2320,2320,2310,2310,2350,▲+520,▲+29.05%,0,4,4,3,2340,2370,2320,1060
TXO,202211,11700,Put,0.7,1,0.6,1,1,▲+0.1,▲+11.11%,93,103,196,2293,0.7,1.2,147,0.6
TXO,202211,11800,Call,-,-,-,-,2250,-,-,0,0,0,5,2240,2270,1310,1000
TXO,202211,11800,Put,0.9,1.3,0.6,1,1,▼-0.1,▼-9.09%,124,181,305,2745,0.7,1.3,163,0.6
TXO,202211,11900,Call,-,-,-,-,2150,-,-,0,0,0,18,2140,2170,1080,935
TXO,202211,11900,Put,1,1.3,0.7,1.1,1.1,0,0%,79,369,448,2415,0.6,1.2,185,0.6
TXO,202211,12000,Call,-,-,-,-,2050,-,-,0,0,0,80,2040,2070,1870,800
TXO,202211,12000,Put,1.4,2.2,0.8,1.1,1.1,▼-0.2,▼-15.38%,210,509,719,6563,1,1.2,209,0.8
TXO,202211,12100,Call,-,-,-,-,1950,-,-,1,0,1,75,1940,1970,1730,705
TXO,202211,12100,Put,1.3,1.6,1,1,1.1,▼-0.4,▼-28.57%,240,231,471,2674,0.9,1.3,230,0.6
TXO,202211,12200,Call,1840,1840,1700,1700,1850,▲+410,▲+31.78%,2,5,7,85,1840,1870,2700,645
TXO,202211,12200,Put,2.8,2.8,0.9,1,1.2,▼-0.5,▼-33.33%,161,326,487,4449,0.8,1.5,263,0.9
TXO,202211,12300,Call,1730,1730,1720,1720,1760,▲+530,▲+44.54%,0,24,24,143,1740,1770,2600,565
TXO,202211,12300,Put,0.9,1.6,0.9,1.5,1.5,▼-0.3,▼-16.67%,445,896,1341,3836,1.1,1.6,335,0.9
TXO,202211,12400,Call,1640,1640,1510,1520,1660,▲+430,▲+39.45%,0,4,4,207,1650,1670,2510,425
TXO,202211,12400,Put,1,1.8,1,1.6,1.6,▼-0.4,▼-20.00%,494,1078,1572,3533,1.2,1.7,319,1
TXO,202211,12500,Call,1440,1550,1440,1550,1560,▲+560,▲+56.57%,5,7,12,127,1550,1570,2410,427
TXO,202211,12500,Put,1,2,1,1.8,1.8,▼-0.7,▼-28.00%,1302,3315,4617,5075,1.6,1.8,367,1
TXO,202211,12600,Call,1430,1460,1410,1460,1460,▲+570,▲+64.04%,6,9,15,114,1450,1470,2310,354
TXO,202211,12600,Put,1.4,2.5,1.2,2,2,▼-1.1,▼-35.48%,1474,719,2193,3875,1.8,2,408,0.7
TXO,202211,12700,Call,1310,1360,1230,1360,1360,▲+570,▲+72.15%,28,8,36,1310,1350,1370,2220,286
TXO,202211,12700,Put,1.7,2.5,1.3,2.2,2.2,▼-2,▼-47.62%,1922,1224,3146,6272,1.8,2.2,449,1.1
TXO,202211,12800,Call,1190,1270,1100,1270,1260,▲+580,▲+84.06%,43,78,121,2176,1250,1270,2130,224
