契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202212W1,13000,Call,-,-,-,-,1730,-,-,0,0,0,0,1710,1740,-,-
TXO,202212W1,13000,Put,0.2,0.4,0.2,0.4,0.1,▲+0.1,▲+33.33%,0,2,2,580,-,0.4,3.5,0.2
TXO,202212W1,13100,Call,-,-,-,-,1630,-,-,0,0,0,0,1610,1640,-,-
TXO,202212W1,13100,Put,0.5,0.5,0.5,0.5,0.1,▲+0.2,▲+66.67%,0,1,1,410,-,0.5,3.5,0.5
TXO,202212W1,13200,Call,-,-,-,-,1530,-,-,0,0,0,0,1510,1540,-,-
TXO,202212W1,13200,Put,-,-,-,-,0.1,-,-,1,0,1,92,0.1,0.5,5,0.3
TXO,202212W1,13300,Call,-,-,-,-,1430,-,-,0,0,0,0,1410,1440,-,-
TXO,202212W1,13300,Put,0.3,0.3,0.3,0.3,0.3,0,0%,2,2,4,418,0.2,0.4,6.2,0.3
TXO,202212W1,13400,Call,-,-,-,-,1330,-,-,0,0,0,0,1310,1340,-,-
TXO,202212W1,13400,Put,0.5,0.5,0.5,0.5,0.3,▲+0.2,▲+66.67%,82,1,83,260,-,0.5,6.6,0.2
TXO,202212W1,13500,Call,-,-,-,-,1230,-,-,0,0,0,0,1210,1240,-,-
TXO,202212W1,13500,Put,0.3,0.3,0.2,0.3,0.3,0,0%,63,13,76,561,0.2,0.5,9.1,0.2
TXO,202212W1,13600,Call,1240,1240,1240,1240,1130,▼-140,▼-10.14%,0,1,1,3,1110,1140,1500,1050
TXO,202212W1,13600,Put,0.6,0.6,0.6,0.6,0.4,▲+0.2,▲+50.00%,0,1,1,801,0.2,0.6,12.5,0.3
TXO,202212W1,13700,Call,1170,1170,1170,1170,1030,▼-110,▼-8.59%,0,1,1,3,1010,1040,1220,1020
TXO,202212W1,13700,Put,0.5,0.5,0.4,0.4,0.4,▼-0.4,▼-50.00%,0,12,12,701,0.2,0.4,17.5,0.2
TXO,202212W1,13800,Call,-,-,-,-,930,-,-,0,0,0,0,910,940,1300,895
TXO,202212W1,13800,Put,0.5,0.5,0.3,0.4,0.4,▼-0.4,▼-50.00%,15,70,85,1602,0.2,0.6,25,0.3
TXO,202212W1,13900,Call,-,-,-,-,830,-,-,0,0,0,2,810,840,875,690
TXO,202212W1,13900,Put,0.3,0.6,0.2,0.6,0.6,▼-0.2,▼-25.00%,13,189,202,1448,0.3,0.7,32,0.2
TXO,202212W1,14000,Call,890,890,890,890,730,▼-90,▼-9.18%,2,8,10,33,710,740,980,520
