契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202208W4,13500,Call,-,-,-,-,-,-,-,0,0,0,0,1590,1600,-,-
TXO,202208W4,13500,Put,-,-,-,-,-,-,-,0,0,0,0,-,0.5,-,-
TXO,202208W4,13600,Call,-,-,-,-,-,-,-,0,0,0,0,1490,1500,-,-
TXO,202208W4,13600,Put,-,-,-,-,-,-,-,0,0,0,0,-,0.6,-,-
TXO,202208W4,13700,Call,-,-,-,-,-,-,-,0,0,0,0,1390,1400,-,-
TXO,202208W4,13700,Put,-,-,-,-,-,-,-,0,0,0,0,-,0.5,-,-
TXO,202208W4,13800,Call,-,-,-,-,-,-,-,0,0,0,0,1290,1300,-,-
TXO,202208W4,13800,Put,0.6,0.6,0.6,0.6,-,▲+0.5,-,0,1,1,793,-,0.4,1.3,0.2
TXO,202208W4,13900,Call,-,-,-,-,-,-,-,0,0,0,0,1190,1200,-,-
TXO,202208W4,13900,Put,-,-,-,-,-,-,-,0,0,0,320,-,0.5,1.3,0.6
TXO,202208W4,14000,Call,-,-,-,-,-,-,-,0,0,0,0,1090,1100,-,-
TXO,202208W4,14000,Put,-,-,-,-,-,-,-,0,0,0,438,-,0.5,1.7,0.5
TXO,202208W4,14100,Call,-,-,-,-,-,-,-,0,0,0,0,995,1000,-,-
TXO,202208W4,14100,Put,-,-,-,-,-,-,-,1,0,1,933,-,0.5,1.7,0.2
TXO,202208W4,14200,Call,-,-,-,-,-,-,-,0,0,0,0,895,900,-,-
TXO,202208W4,14200,Put,-,-,-,-,-,-,-,0,0,0,233,-,0.4,2,0.1
TXO,202208W4,14300,Call,-,-,-,-,-,-,-,0,0,0,0,795,800,-,-
TXO,202208W4,14300,Put,-,-,-,-,-,-,-,1,0,1,952,-,0.3,2.7,0.1
TXO,202208W4,14400,Call,-,-,-,-,-,-,-,0,0,0,0,695,700,-,-
