契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211,10700,Call,-,-,-,-,2790,-,-,0,0,0,0,2760,2800,-,-
TXO,202211,10700,Put,0.2,0.2,0.1,0.1,0.1,▼-0.1,▼-50.00%,2,212,214,2470,-,0.6,12.5,0.1
TXO,202211,10800,Call,-,-,-,-,2690,-,-,0,0,0,699,2660,2700,2380,1920
TXO,202211,10800,Put,0.5,0.5,0.2,0.2,0.2,▼-0.1,▼-33.33%,39,478,517,3867,-,0.6,23,0.2
TXO,202211,10900,Call,-,-,-,-,2590,-,-,0,0,0,45,2560,2600,2090,2070
TXO,202211,10900,Put,0.3,0.3,0.3,0.3,0.3,0,0%,2,160,162,914,0.1,0.6,27.5,0.3
TXO,202211,11000,Call,-,-,-,-,2490,-,-,0,0,0,11,2460,2500,1860,1850
TXO,202211,11000,Put,0.6,0.7,0.3,0.4,0.4,▲+0.1,▲+33.33%,14,89,103,1867,-,0.7,30.5,0.2
TXO,202211,11100,Call,-,-,-,-,2390,-,-,0,0,0,0,2360,2400,-,-
TXO,202211,11100,Put,0.4,0.4,0.3,0.4,0.4,0,0%,27,52,79,2345,0.2,0.4,67,0.2
TXO,202211,11200,Call,-,-,-,-,2290,-,-,0,0,0,0,2260,2300,-,-
TXO,202211,11200,Put,0.4,0.4,0.4,0.4,0.4,0,0%,2,4,6,3401,0.2,0.8,77,0.4
TXO,202211,11300,Call,-,-,-,-,2190,-,-,0,0,0,1,2160,2200,1650,1650
TXO,202211,11300,Put,0.7,0.7,0.6,0.6,0.6,▲+0.1,▲+20.00%,22,12,34,2041,0.3,0.8,87,0.5
TXO,202211,11400,Call,-,-,-,-,2090,-,-,0,0,0,232,2060,2100,2210,1350
TXO,202211,11400,Put,0.5,0.7,0.3,0.6,0.6,0,0%,34,24,58,1872,0.3,0.8,100,0.3
TXO,202211,11500,Call,-,-,-,-,1990,-,-,0,0,0,0,1960,2000,-,-
TXO,202211,11500,Put,0.7,0.7,0.7,0.7,0.7,0,0%,1,16,17,3881,0.5,1,114,0.4
TXO,202211,11600,Call,-,-,-,-,1890,-,-,0,0,0,1,1860,1900,1380,1300
TXO,202211,11600,Put,0.9,0.9,0.7,0.8,0.8,▼-0.1,▼-11.11%,30,51,81,2286,0.4,1,130,0.7
TXO,202211,11700,Call,-,-,-,-,1790,-,-,0,0,0,5,1690,1800,1830,1060
TXO,202211,11700,Put,0.8,1.1,0.7,0.9,0.9,▼-0.1,▼-10.00%,10,136,146,2363,0.7,1,147,0.7
TXO,202211,11800,Call,-,-,-,-,1690,-,-,0,0,0,5,1590,1700,1310,1000
TXO,202211,11800,Put,1.1,1.2,0.8,1.1,1.1,▼-0.2,▼-15.38%,42,413,455,2691,0.8,1.2,163,0.8
TXO,202211,11900,Call,-,-,-,-,1590,-,-,0,0,0,18,1490,1600,1080,935
TXO,202211,11900,Put,1.1,1.2,1,1.1,1.1,▼-0.2,▼-15.38%,36,227,263,2394,0.6,1.3,185,1
TXO,202211,12000,Call,1500,1500,1490,1490,1490,▼-100,▼-6.29%,10,2,12,80,1460,1500,1870,800
TXO,202211,12000,Put,1,1.4,1,1.3,1.3,0,0%,118,407,525,6795,1.1,1.4,209,1
TXO,202211,12100,Call,-,-,-,-,1390,-,-,0,0,0,76,1290,1400,1380,705
TXO,202211,12100,Put,1.3,1.5,1.2,1.4,1.4,▼-0.1,▼-6.67%,155,101,256,2949,1.4,1.5,230,0.6
TXO,202211,12200,Call,-,-,-,-,1290,-,-,0,0,0,85,1190,1300,2700,645
TXO,202211,12200,Put,1.5,1.7,1.3,1.5,1.5,▼-0.1,▼-6.25%,192,407,599,4646,1,1.6,263,1.2
TXO,202211,12300,Call,-,-,-,-,1190,-,-,1,0,1,144,1090,1200,2600,565
TXO,202211,12300,Put,1.8,2,1.3,1.8,1.8,▼-0.1,▼-5.26%,110,1126,1236,4337,1,1.8,335,1.3
TXO,202211,12400,Call,1090,1090,1090,1090,1090,▼-100,▼-8.40%,0,1,1,209,990,1100,2510,425
TXO,202211,12400,Put,2,2.2,1.5,2,2,0,0%,466,351,817,3898,1.1,2.1,319,1.5
TXO,202211,12500,Call,990,990,990,990,990,▼-100,▼-9.17%,2,1,3,131,890,1020,2410,427
TXO,202211,12500,Put,2,2.8,2,2.5,2.5,▲+0.2,▲+8.70%,850,1232,2082,7538,2.1,2.6,367,1.6
TXO,202211,12600,Call,930,955,885,885,890,▼-105,▼-10.61%,0,6,6,117,790,970,2310,354
TXO,202211,12600,Put,2.6,3.5,2.6,3.1,3.1,▲+0.2,▲+6.90%,997,2445,3442,4285,2.8,3.2,408,1.8
TXO,202211,12700,Call,865,865,775,780,790,▼-110,▼-12.36%,10,30,40,1313,780,800,2220,286
TXO,202211,12700,Put,3.5,4.8,3.4,4.2,4.2,▲+0.5,▲+13.51%,1479,1974,3453,6637,3.3,4.3,449,2.5
TXO,202211,12800,Call,730,750,680,690,690,▼-105,▼-13.21%,12,48,60,2202,680,775,2130,224
TXO,202211,12800,Put,6.1,7.2,4.8,6.2,6.2,▲+0.7,▲+12.73%,1910,4665,6575,7163,5.5,6.3,499,3.4
TXO,202211,12900,Call,635,665,575,610,595,▼-90,▼-12.86%,29,47,76,1677,585,605,2040,173
TXO,202211,12900,Put,8.5,11,7.2,9.9,9.9,▲+1.9,▲+23.75%,2272,4547,6819,8257,7.1,10,545,5.4
TXO,202211,12950,Call,545,545,545,545,545,▼-105,▼-16.15%,0,1,1,0,530,560,550,545
TXO,202211,12950,Put,10,14,9.4,12.5,12.5,▲+2.5,▲+25.00%,1219,2688,3907,3998,12,12.5,24,6.7
TXO,202211,13000,Call,540,570,488,500,500,▼-100,▼-16.67%,166,370,536,3800,486,510,1940,128
TXO,202211,13000,Put,15,18,12,16,16,▲+3,▲+23.08%,4303,7959,12262,15148,16,16.5,600,8.6
TXO,202211,13050,Call,481,487,445,445,458,▼-110,▼-19.82%,3,6,9,9,357,479,605,445
TXO,202211,13050,Put,18,24,15,22,22,▲+5,▲+29.41%,2365,2747,5112,2826,21.5,22.5,35.5,11
TXO,202211,13100,Call,450,478,393,424,413,▼-86,▼-16.86%,157,786,943,3839,400,430,1850,93
TXO,202211,13100,Put,24,30.5,19.5,27.5,27.5,▲+7,▲+34.15%,5902,5479,11381,9628,27,27.5,675,14.5
TXO,202211,13150,Call,435,435,359,372,372,▼-89,▼-19.31%,30,16,46,32,355,459,515,350
TXO,202211,13150,Put,30,38.5,25.5,35.5,35.5,▲+9.5,▲+36.54%,3725,4506,8231,3926,35,37,53,18.5
TXO,202211,13200,Call,377,395,310,331,331,▼-92,▼-21.75%,559,749,1308,4019,322,337,1760,65
TXO,202211,13200,Put,38.5,48,32,45,45,▲+12.5,▲+38.46%,9653,8197,17850,6794,45,46.5,720,23.5
TXO,202211,13250,Call,324,352,273,295,295,▼-85,▼-22.37%,7,105,112,54,288,380,430,268
TXO,202211,13250,Put,47,60,40,57,57,▲+16.5,▲+40.74%,4057,5435,9492,3295,56,57,76,30
TXO,202211,13300,Call,298,314,238,259,259,▼-85,▼-24.71%,1271,1749,3020,4116,251,258,1070,43.5
TXO,202211,13300,Put,58,74,50,70,70,▲+20,▲+40.00%,9860,9439,19299,5614,69,70,770,37.5
TXO,202211,13350,Call,257,274,203,222,222,▼-77,▼-25.75%,236,576,812,283,200,227,350,201
TXO,202211,13350,Put,70,90,62,85,85,▲+24,▲+39.34%,4860,5866,10726,2349,84,86,107,43.5
TXO,202211,13400,Call,225,241,171,188,188,▼-76,▼-28.79%,1546,3283,4829,4754,186,187,690,27.5
TXO,202211,13400,Put,85,109,75,103,103,▲+32,▲+45.07%,7708,10187,17895,6025,103,104,850,57
TXO,202211,13450,Call,186,205,143,157,157,▼-75,▼-32.33%,905,2995,3900,976,157,158,275,116
TXO,202211,13450,Put,101,131,92,124,124,▲+37,▲+42.53%,6227,7158,13385,3424,124,125,146,70
TXO,202211,13500,Call,161,175,117,132,132,▼-67,▼-33.67%,5033,11188,16221,7044,131,132,1500,18
TXO,202211,13500,Put,121,156,111,148,148,▲+43,▲+40.95%,9983,9158,19141,4997,148,150,945,65
TXO,202211,13550,Call,133,146,96,109,109,▼-60,▼-35.50%,3427,7685,11112,1835,108,109,208,84
TXO,202211,13550,Put,154,183,132,175,175,▲+51,▲+41.13%,4188,4374,8562,1370,174,178,193,102
TXO,202211,13600,Call,108,121,76,89,89,▼-52,▼-36.88%,12262,16932,29194,9713,87,88,1410,11.5
TXO,202211,13600,Put,169,213,156,204,204,▲+59,▲+40.69%,7852,4642,12494,2411,204,205,1020,120
