契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202212W2,13000,Call,-,-,-,-,1550,-,-,0,0,0,0,1540,1570,-,-
TXO,202212W2,13000,Put,-,-,-,-,0.1,-,-,1,0,1,1,-,0.4,0.2,0.2
TXO,202212W2,13100,Call,-,-,-,-,1450,-,-,0,0,0,0,1440,1470,-,-
TXO,202212W2,13100,Put,0.2,0.2,0.2,0.2,0.2,0,0%,0,2,2,546,-,0.4,1.7,0.2
TXO,202212W2,13200,Call,-,-,-,-,1350,-,-,0,0,0,0,1340,1370,-,-
TXO,202212W2,13200,Put,0.2,0.4,0.2,0.4,0.4,▲+0.1,▲+33.33%,5,5,10,648,0.1,0.7,5.5,0.2
TXO,202212W2,13300,Call,-,-,-,-,1250,-,-,0,0,0,0,1240,1270,-,-
TXO,202212W2,13300,Put,0.3,0.3,0.2,0.3,0.4,▼-0.1,▼-25.00%,5,28,33,421,0.1,1.3,6.3,0.2
TXO,202212W2,13400,Call,-,-,-,-,1150,-,-,0,0,0,0,1140,1170,-,-
TXO,202212W2,13400,Put,0.3,0.4,0.2,0.4,0.4,0,0%,31,36,67,1110,0.1,1.3,16.5,0.2
TXO,202212W2,13500,Call,-,-,-,-,1050,-,-,0,0,0,0,1040,1070,-,-
TXO,202212W2,13500,Put,0.7,0.7,0.3,0.6,0.6,▲+0.1,▲+20.00%,36,94,130,839,0.5,0.7,10,0.3
TXO,202212W2,13600,Call,-,-,-,-,955,-,-,0,0,0,1,940,965,1080,1080
TXO,202212W2,13600,Put,0.5,1,0.3,0.7,0.7,▲+0.1,▲+16.67%,244,156,400,1377,0.6,0.8,14.5,0.3
TXO,202212W2,13700,Call,-,-,-,-,855,-,-,0,0,0,2,840,860,890,840
TXO,202212W2,13700,Put,0.8,1,0.6,1,1,0,0%,133,105,238,1339,0.9,1.1,18.5,0.6
TXO,202212W2,13800,Call,-,-,-,-,755,-,-,0,0,0,4,740,760,805,715
TXO,202212W2,13800,Put,0.8,1.6,0.7,1.6,1.6,▲+0.2,▲+14.29%,86,712,798,2678,1,1.7,24,0.7
TXO,202212W2,13900,Call,720,720,660,660,660,▼-60,▼-8.33%,6,6,12,3,645,660,830,655
TXO,202212W2,13900,Put,0.3,2.1,0.3,2,2,▲+0.2,▲+11.11%,645,1193,1838,4087,1.4,2,31.5,0.3
TXO,202212W2,14000,Call,645,660,560,560,560,▼-60,▼-9.68%,1,9,10,12,545,565,1030,499
TXO,202212W2,14000,Put,1.5,3.9,1.4,3.8,3.8,▲+0.5,▲+15.15%,999,2787,3786,5908,3.5,3.9,41,1.4
