契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W5,14600,Call,100,102,41.5,42.5,42.5,▼-161.5,▼-79.17%,4951,30790,35741,5700,42,43.5,297,41.5
TXO,202211W5,14600,Put,116,160,70,126,126,▲+69,▲+121.05%,9878,26960,36838,6153,123,126,340,34
TXO,202211W5,14650,Call,80,80,26.5,28,28,▼-142,▼-83.53%,4311,26199,30510,5033,28,29.5,258,26.5
TXO,202211W5,14650,Put,138,196,93,159,159,▲+85,▲+114.86%,8874,15561,24435,2915,158,161,343,45.5
TXO,202211W5,14700,Call,59,60,15.5,17,17,▼-122,▼-87.77%,9212,30692,39904,7495,16.5,17,221,15.5
TXO,202211W5,14700,Put,160,236,122,200,200,▲+105,▲+110.53%,8822,10189,19011,2440,192,202,400,59
TXO,202211W5,14750,Call,43,49,9.5,9.6,9.6,▼-102.4,▼-91.43%,9969,26760,36729,7891,9.6,9.9,190,9.5
TXO,202211W5,14750,Put,194,280,156,241,241,▲+123,▲+104.24%,4891,2865,7756,1698,229,245,433,75
TXO,202211W5,14800,Call,32,35,5.5,5.6,5.6,▼-83.4,▼-93.71%,13280,32436,45716,11961,5.6,5.8,171,5.5
TXO,202211W5,14800,Put,239,325,192,288,288,▲+143,▲+98.62%,4851,4417,9268,2021,285,294,454,95
TXO,202211W5,14850,Call,22.5,22.5,3.3,3.5,3.5,▼-64.5,▼-94.85%,8040,20457,28497,9224,3.2,3.6,160,3.3
TXO,202211W5,14850,Put,310,370,238,333,335,▲+163,▲+95.88%,1389,505,1894,513,255,374,427,117
TXO,202211W5,14900,Call,16,16.5,2.3,2.4,2.4,▼-51.6,▼-95.56%,11825,17641,29466,9319,2.4,2.5,118,2.3
TXO,202211W5,14900,Put,359,420,289,384,385,▲+175,▲+83.73%,698,253,951,266,301,390,515,143
TXO,202211W5,14950,Call,10,10,1.8,1.9,1.9,▼-37.1,▼-95.13%,9688,9530,19218,5309,1.6,1.7,134,1.8
TXO,202211W5,14950,Put,364,466,334,429,435,▲+189,▲+78.75%,167,178,345,125,347,515,500,173
TXO,202211W5,15000,Call,7.9,8.6,1.5,1.7,1.7,▼-27.3,▼-94.14%,12927,15295,28222,11037,1.7,1.8,120,1.5
TXO,202211W5,15000,Put,319,520,319,468,485,▲+192,▲+69.57%,205,315,520,238,397,525,615,206
TXO,202211W5,15050,Call,5.6,5.6,1.2,1.2,1.2,▼-19.8,▼-94.29%,4804,5181,9985,3138,1.2,1.3,39.5,1.2
TXO,202211W5,15050,Put,460,471,460,471,535,▲+149,▲+46.27%,0,40,40,40,515,610,471,460
TXO,202211W5,15100,Call,4,5,1.1,1.1,1.1,▼-13.4,▼-92.41%,5975,11104,17079,8616,1.1,1.3,80,1.1
TXO,202211W5,15100,Put,570,570,570,570,585,▲+205,▲+56.16%,14,1,15,30,497,660,705,279
TXO,202211W5,15150,Call,2.6,2.7,0.8,0.8,0.8,▼-9.7,▼-92.38%,3158,3051,6209,2311,-,1,21.5,0.8
TXO,202211W5,15150,Put,-,-,-,-,635,-,-,0,0,0,0,615,710,-,-
TXO,202211W5,15200,Call,2.6,2.6,0.7,0.7,0.7,▼-7,▼-90.91%,3631,6845,10476,7826,0.7,0.8,66,0.7
TXO,202211W5,15200,Put,650,660,650,660,685,▲+201,▲+43.79%,13,4,17,25,600,760,820,370
TXO,202211W5,15300,Call,1,3,0.5,0.5,0.5,▼-4,▼-88.89%,2826,3794,6620,6953,0.5,0.8,45,0.5
TXO,202211W5,15300,Put,-,-,-,-,780,-,-,2,0,2,4,700,860,660,493
TXO,202211W5,15400,Call,0.7,1.2,0.5,0.5,0.5,▼-2.3,▼-82.14%,1040,1494,2534,4226,0.2,0.7,38,0.5
TXO,202211W5,15400,Put,-,-,-,-,880,-,-,0,0,0,0,800,960,-,-
TXO,202211W5,15500,Call,0.7,0.9,0.4,0.5,0.5,▼-1.5,▼-75.00%,251,782,1033,3056,0.3,0.5,149,0.4
