契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202208W5,13500,Call,-,-,-,-,1710,-,-,1,0,1,1,1690,1750,1570,1570
TXO,202208W5,13500,Put,0.4,0.4,0.2,0.2,0.2,▼-0.8,▼-80.00%,31,260,291,582,0.1,0.8,1,0.2
TXO,202208W5,13600,Call,-,-,-,-,1610,-,-,1,0,1,1,1590,1650,1540,1540
TXO,202208W5,13600,Put,-,-,-,-,0.3,-,-,8,0,8,28,0.2,0.7,1.1,0.8
TXO,202208W5,13700,Call,-,-,-,-,1510,-,-,0,0,0,0,1490,1550,-,-
TXO,202208W5,13700,Put,-,-,-,-,0.4,-,-,21,0,21,38,0.2,0.8,1.7,1
TXO,202208W5,13800,Call,-,-,-,-,1410,-,-,0,0,0,0,1380,1450,-,-
TXO,202208W5,13800,Put,1,1,1,1,0.5,▼-0.3,▼-23.08%,39,10,49,119,0.3,0.7,2.2,0.9
TXO,202208W5,13900,Call,-,-,-,-,1310,-,-,0,0,0,0,1280,1350,-,-
TXO,202208W5,13900,Put,0.7,0.7,0.7,0.7,0.7,▼-0.9,▼-56.25%,19,5,24,76,0.3,0.8,3.7,0.7
TXO,202208W5,14000,Call,-,-,-,-,1210,-,-,0,0,0,0,1180,1250,-,-
TXO,202208W5,14000,Put,0.7,0.9,0.5,0.9,0.9,▼-1.1,▼-55.00%,365,48,413,953,0.6,1,3.7,0.5
TXO,202208W5,14100,Call,-,-,-,-,1110,-,-,0,0,0,0,1080,1150,-,-
TXO,202208W5,14100,Put,1.5,1.5,0.8,0.9,0.9,▼-1.9,▼-67.86%,598,145,743,903,0.6,1,4,0.8
TXO,202208W5,14200,Call,-,-,-,-,1010,-,-,0,0,0,0,980,1050,-,-
TXO,202208W5,14200,Put,1.3,1.9,0.8,1.4,1.4,▼-1.8,▼-56.25%,686,205,891,920,0.9,1.3,5.1,0.8
TXO,202208W5,14300,Call,-,-,-,-,910,-,-,0,0,0,0,880,945,-,-
TXO,202208W5,14300,Put,2.7,3,1.2,1.7,1.7,▼-3,▼-63.83%,430,1100,1530,1355,1.5,1.6,7.5,1.2
TXO,202208W5,14400,Call,-,-,-,-,810,-,-,0,0,0,0,790,845,-,-
