契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202209W1,13100,Call,-,-,-,-,1570,-,-,0,0,0,0,1540,1600,-,-
TXO,202209W1,13100,Put,-,-,-,-,0.1,-,-,0,0,0,0,-,0.5,-,-
TXO,202209W1,13200,Call,-,-,-,-,1470,-,-,0,0,0,0,1440,1500,-,-
TXO,202209W1,13200,Put,-,-,-,-,0.1,-,-,0,0,0,0,-,0.5,-,-
TXO,202209W1,13300,Call,-,-,-,-,1370,-,-,0,0,0,8,1340,1400,1430,1430
TXO,202209W1,13300,Put,-,-,-,-,0.1,-,-,11,0,11,586,-,0.2,1.9,0.2
TXO,202209W1,13400,Call,-,-,-,-,1270,-,-,0,0,0,1,1240,1300,1380,1380
TXO,202209W1,13400,Put,0.2,0.2,0.2,0.2,0.2,▼-0.2,▼-50.00%,14,42,56,1075,-,0.6,5,0.2
TXO,202209W1,13500,Call,-,-,-,-,1170,-,-,0,0,0,1,1140,1200,1280,1280
TXO,202209W1,13500,Put,0.2,0.2,0.2,0.2,0.2,▼-0.2,▼-50.00%,26,21,47,605,0.1,0.4,7,0.2
TXO,202209W1,13600,Call,-,-,-,-,1070,-,-,0,0,0,1,1040,1100,1190,1190
TXO,202209W1,13600,Put,0.2,0.2,0.2,0.2,0.2,▼-0.3,▼-60.00%,43,233,276,795,0.1,0.5,8.9,0.2
TXO,202209W1,13700,Call,-,-,-,-,970,-,-,0,0,0,1,940,1000,1090,1090
TXO,202209W1,13700,Put,0.4,0.4,0.1,0.2,0.2,▼-0.4,▼-66.67%,24,240,264,2175,0.1,0.6,12,0.1
TXO,202209W1,13800,Call,-,-,-,-,870,-,-,0,0,0,0,840,900,-,-
TXO,202209W1,13800,Put,0.5,0.8,0.2,0.4,0.4,▼-0.6,▼-60.00%,23,340,363,3155,0.3,0.6,15.5,0.2
TXO,202209W1,13900,Call,-,-,-,-,770,-,-,0,0,0,0,740,800,-,-
TXO,202209W1,13900,Put,0.4,0.9,0.2,0.5,0.5,▼-1.3,▼-72.22%,105,441,546,4947,0.4,0.7,21.5,0.2
TXO,202209W1,14000,Call,775,775,775,775,670,▲+125,▲+19.23%,2,11,13,14,640,700,800,448
TXO,202209W1,14000,Put,0.9,1.4,0.1,0.9,0.9,▼-2.2,▼-70.97%,860,1282,2142,7672,0.7,1,29,0.1
TXO,202209W1,14100,Call,640,640,535,565,570,▲+15,▲+2.73%,0,12,12,30,540,605,720,530
TXO,202209W1,14100,Put,1.5,2.2,0.6,1.3,1.3,▼-3.4,▼-72.34%,841,2502,3343,5058,1,1.2,39,0.6
TXO,202209W1,14200,Call,580,590,431,466,470,▲+10,▲+2.19%,1,9,10,37,391,520,650,410
TXO,202209W1,14200,Put,2.3,4.4,1,1.7,1.7,▼-6.5,▼-79.27%,1905,4075,5980,7636,1.6,2,53,1
TXO,202209W1,14250,Call,420,420,420,420,420,▲+12,▲+2.94%,2,20,22,20,342,499,435,416
TXO,202209W1,14250,Put,1.9,6.5,1.3,2.5,2.5,▼-7.5,▼-75.00%,929,1556,2485,2127,1.6,2.6,18,1.3
TXO,202209W1,14300,Call,440,470,340,360,372,▼-1,▼-0.28%,29,18,47,41,293,407,715,303
TXO,202209W1,14300,Put,3.7,9.7,1.7,3.9,3.9,▼-9.6,▼-71.11%,3147,8671,11818,10559,3.3,4,70,1.7
TXO,202209W1,14350,Call,420,420,317,317,322,▲+3,▲+0.96%,21,5,26,39,243,411,420,317
TXO,202209W1,14350,Put,5.8,14,2.2,3.9,3.9,▼-12.6,▼-76.36%,1776,5377,7153,3267,4.2,5.3,34,2.2
TXO,202209W1,14400,Call,333,394,235,265,275,0,0%,92,185,277,161,244,287,680,235
TXO,202209W1,14400,Put,8.5,20,3,7.2,7.2,▼-16.8,▼-70.00%,4451,14731,19182,10737,6.6,7.2,91,3
TXO,202209W1,14450,Call,308,327,186,227,227,▼-1,▼-0.44%,92,222,314,143,191,317,392,186
TXO,202209W1,14450,Put,10,28,4.3,11,11,▼-20.5,▼-65.08%,2659,8881,11540,4176,10.5,11,81,4.3
TXO,202209W1,14500,Call,240,291,141,187,187,▼-3,▼-1.58%,372,1606,1978,537,186,194,590,141
TXO,202209W1,14500,Put,14,38.5,6.3,15.5,15.5,▼-25.5,▼-62.20%,9603,20087,29690,9438,15,15.5,118,6.3
TXO,202209W1,14550,Call,199,258,102,145,145,▼-9,▼-5.84%,714,4694,5408,561,144,146,520,102
TXO,202209W1,14550,Put,16,55,9.4,23,23,▼-31,▼-57.41%,4530,19254,23784,8482,23,24,134,9.4
TXO,202209W1,14600,Call,156,211,72,108,107,▼-10,▼-8.47%,2525,12802,15327,2320,107,108,490,72
TXO,202209W1,14600,Put,25.5,75,13.5,34,34,▼-35,▼-50.72%,6575,29312,35887,8423,34,35.5,152,13.5
TXO,202209W1,14650,Call,126,169,47.5,73,73,▼-17,▼-18.89%,4774,21085,25859,4998,73,74,492,47.5
TXO,202209W1,14650,Put,39,101,20.5,51,51,▼-38,▼-42.70%,4902,23595,28497,4782,50,51,173,20.5
TXO,202209W1,14700,Call,100,129,29.5,45,45,▼-19,▼-29.69%,6687,33856,40543,6759,45,46,447,29.5
TXO,202209W1,14700,Put,54,133,30,73,73,▼-42,▼-36.52%,4320,27167,31487,5717,73,75,197,30
TXO,202209W1,14750,Call,68,94,17.5,28,28,▼-15.5,▼-35.63%,6611,30616,37227,7878,28,28.5,416,17.5
TXO,202209W1,14750,Put,78,171,44.5,107,107,▼-38,▼-26.21%,1758,12424,14182,2084,104,107,226,43.5
TXO,202209W1,14800,Call,48,63,9.9,14.5,14.5,▼-14,▼-49.12%,6735,38352,45087,12418,14,14.5,373,9.9
TXO,202209W1,14800,Put,105,211,63,142,142,▼-38,▼-21.11%,939,15981,16920,2988,141,144,265,52
TXO,202209W1,14850,Call,28.5,41.5,5.2,6.9,6.9,▼-9.6,▼-58.18%,5099,22221,27320,11491,5.9,6.9,319,5.2
TXO,202209W1,14850,Put,165,240,91,188,188,▼-31,▼-14.16%,144,3558,3702,1237,178,192,310,59
TXO,202209W1,14900,Call,15,24.5,3,3.4,3.4,▼-6.5,▼-65.66%,5195,19630,24825,15825,3.2,3.4,289,3
