契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211,10700,Call,-,-,-,-,3820,-,-,0,0,0,0,3810,3850,-,-
TXO,202211,10700,Put,0.3,0.4,0.1,0.1,0.1,▼-0.1,▼-50.00%,0,344,344,1780,-,0.2,12.5,0.1
TXO,202211,10800,Call,3710,3770,3650,3770,3720,▲+450,▲+13.55%,0,364,364,337,3720,3740,3770,1920
TXO,202211,10800,Put,0.2,0.5,0.1,0.1,0.1,▼-0.1,▼-50.00%,3,187,190,2752,-,0.2,23,0.1
TXO,202211,10900,Call,3560,3560,3560,3560,3620,▲+340,▲+10.56%,0,7,7,45,3620,3640,3560,2070
TXO,202211,10900,Put,0.3,0.3,0.1,0.1,0.1,▼-0.1,▼-50.00%,0,208,208,757,-,0.2,27.5,0.1
TXO,202211,11000,Call,-,-,-,-,3520,-,-,0,0,0,4,3520,3540,3180,1850
TXO,202211,11000,Put,0.3,0.3,0.1,0.1,0.1,▼-0.1,▼-50.00%,13,138,151,1858,-,0.2,30.5,0.1
TXO,202211,11100,Call,-,-,-,-,3420,-,-,0,0,0,0,3410,3450,-,-
TXO,202211,11100,Put,0.1,0.5,0.1,0.1,0.1,▼-0.1,▼-50.00%,22,249,271,2135,0.1,0.3,67,0.1
TXO,202211,11200,Call,-,-,-,-,3320,-,-,0,0,0,0,3310,3350,-,-
TXO,202211,11200,Put,0.2,0.5,0.2,0.3,0.2,▼-0.1,▼-25.00%,20,273,293,2764,0.1,0.3,77,0.2
TXO,202211,11300,Call,-,-,-,-,3220,-,-,0,0,0,1,3220,3250,1650,1650
TXO,202211,11300,Put,0.3,0.6,0.1,0.1,0.2,▼-0.3,▼-75.00%,2,253,255,2005,-,0.2,87,0.1
TXO,202211,11400,Call,3100,3170,3100,3170,3120,▲+440,▲+16.12%,0,167,167,101,3120,3140,3170,1350
TXO,202211,11400,Put,0.2,0.5,0.2,0.2,0.2,▼-0.3,▼-60.00%,0,311,311,2073,0.1,0.3,100,0.2
TXO,202211,11500,Call,-,-,-,-,3020,-,-,0,0,0,0,3020,3050,-,-
TXO,202211,11500,Put,0.2,0.5,0.1,0.1,0.2,▼-0.4,▼-80.00%,20,136,156,3801,-,0.2,114,0.1
TXO,202211,11600,Call,-,-,-,-,2920,-,-,0,0,0,1,2920,2940,1380,1300
TXO,202211,11600,Put,0.3,0.6,0.2,0.3,0.2,▼-0.3,▼-50.00%,1,20,21,2447,0.1,0.3,130,0.2
TXO,202211,11700,Call,-,-,-,-,2820,-,-,0,0,0,3,2820,2840,2320,1060
TXO,202211,11700,Put,0.3,0.6,0.1,0.2,0.2,▼-0.4,▼-66.67%,24,74,98,2278,0.1,0.3,147,0.1
TXO,202211,11800,Call,-,-,-,-,2720,-,-,0,0,0,5,2720,2740,2340,1000
TXO,202211,11800,Put,0.3,0.6,0.1,0.1,0.2,▼-0.5,▼-83.33%,20,107,127,2716,0.1,0.3,163,0.1
TXO,202211,11900,Call,-,-,-,-,2620,-,-,0,0,0,14,2620,2640,2270,935
TXO,202211,11900,Put,0.3,0.6,0.1,0.2,0.2,▼-0.4,▼-66.67%,34,75,109,2366,0.1,0.3,185,0.1
TXO,202211,12000,Call,-,-,-,-,2520,-,-,0,0,0,80,2520,2540,2160,800
TXO,202211,12000,Put,0.2,0.7,0.2,0.2,0.2,▼-0.4,▼-66.67%,62,419,481,6276,0.1,0.3,209,0.2
TXO,202211,12100,Call,2410,2420,2410,2420,2420,▲+390,▲+19.21%,0,9,9,75,2420,2440,2420,705
TXO,202211,12100,Put,0.4,0.7,0.2,0.2,0.2,▼-0.5,▼-71.43%,99,208,307,2225,0.1,0.3,230,0.2
TXO,202211,12200,Call,2320,2320,2320,2320,2320,▲+390,▲+20.21%,0,5,5,84,2320,2340,2700,645
TXO,202211,12200,Put,0.6,1,0.2,0.2,0.2,▼-0.5,▼-71.43%,264,128,392,4203,0.1,0.3,263,0.2
TXO,202211,12300,Call,2210,2210,2210,2210,2220,▲+380,▲+20.77%,0,5,5,135,2220,2240,2600,565
TXO,202211,12300,Put,0.3,1,0.1,0.1,0.2,▼-0.6,▼-85.71%,137,140,277,3694,0.1,0.3,335,0.1
TXO,202211,12400,Call,2080,2120,2080,2110,2120,▲+380,▲+21.97%,2,16,18,202,2120,2140,2510,425
TXO,202211,12400,Put,0.7,0.8,0.2,0.2,0.2,▼-0.6,▼-75.00%,112,643,755,3459,0.1,0.2,319,0.2
TXO,202211,12500,Call,-,-,-,-,2020,-,-,1,0,1,126,2020,2050,2410,427
TXO,202211,12500,Put,0.7,0.9,0.1,0.3,0.3,▼-0.5,▼-62.50%,137,825,962,4924,0.1,0.3,367,0.1
TXO,202211,12600,Call,1970,1970,1970,1970,1920,▲+440,▲+28.76%,0,1,1,100,1920,1950,2310,354
TXO,202211,12600,Put,0.6,1.8,0.1,0.3,0.3,▼-0.6,▼-66.67%,69,662,731,3317,0.1,0.3,408,0.1
TXO,202211,12700,Call,1630,1880,1630,1870,1820,▲+440,▲+30.77%,3,10,13,1280,1820,1850,2220,286
TXO,202211,12700,Put,2.9,2.9,0.2,0.2,0.3,▼-0.7,▼-77.78%,109,260,369,5581,0.1,0.2,449,0.2
TXO,202211,12800,Call,1550,1780,1550,1770,1720,▲+440,▲+33.08%,2,85,87,2153,1720,1750,2130,224
TXO,202211,12800,Put,2.6,2.6,0.1,0.2,0.3,▼-0.7,▼-77.78%,389,1279,1668,6295,0.1,0.3,499,0.1
