契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202209W4,12900,Call,-,-,-,-,1360,-,-,0,0,0,0,1330,1390,-,-
TXO,202209W4,12900,Put,2,2.7,0.6,1.4,1.4,▲+0.4,▲+40.00%,0,377,377,338,1,1.6,2.7,0.6
TXO,202209W4,13000,Call,-,-,-,-,1260,-,-,0,0,0,0,1230,1290,-,-
TXO,202209W4,13000,Put,3,3.8,1.5,1.8,1.8,▼-1,▼-35.71%,850,1418,2268,1747,1.7,2,5,1.2
TXO,202209W4,13100,Call,-,-,-,-,1160,-,-,0,0,0,0,1130,1190,-,-
TXO,202209W4,13100,Put,4.7,4.7,1.9,2.4,2.4,▼-1.5,▼-38.46%,479,1373,1852,1314,1.8,2.4,6.9,1.1
TXO,202209W4,13200,Call,-,-,-,-,1060,-,-,0,0,0,0,1030,1090,-,-
TXO,202209W4,13200,Put,6.8,6.8,2.3,2.8,2.8,▼-1.7,▼-37.78%,473,2048,2521,2105,2.5,2.8,8.9,1.1
TXO,202209W4,13300,Call,-,-,-,-,965,-,-,0,0,0,0,935,995,-,-
TXO,202209W4,13300,Put,8.9,9,3.1,3.9,3.9,▼-1.5,▼-27.78%,1494,3647,5141,2927,3.2,3.8,12,1.2
TXO,202209W4,13400,Call,765,765,745,745,865,▼-295,▼-28.37%,0,5,5,5,810,895,765,745
TXO,202209W4,13400,Put,13,13.5,4.2,5.1,5.1,▼-3.3,▼-39.29%,2278,3811,6089,3260,5.1,5.3,16,1
TXO,202209W4,13500,Call,750,755,750,750,765,▼-195,▼-20.63%,1,3,4,1,710,775,965,750
TXO,202209W4,13500,Put,15,20.5,6.1,7.5,7.5,▼-4.5,▼-37.50%,2764,5755,8519,3690,7.2,7.5,23,2.1
TXO,202209W4,13600,Call,670,670,550,665,665,▼-185,▼-21.76%,6,9,15,11,655,675,915,550
TXO,202209W4,13600,Put,22.5,31,9.1,11,11,▼-5.5,▼-33.33%,4829,8230,13059,5632,10.5,11.5,31,3
TXO,202209W4,13700,Call,460,570,460,570,570,▼-185,▼-24.50%,5,9,14,6,560,580,780,460
TXO,202209W4,13700,Put,30,43,14,16.5,16.5,▼-6,▼-26.67%,4691,9452,14143,7378,16,16.5,50,4.1
TXO,202209W4,13800,Call,490,490,390,480,480,▼-190,▼-28.36%,10,86,96,29,468,488,685,390
TXO,202209W4,13800,Put,47,60,22,24.5,24.5,▼-7.5,▼-23.44%,6555,12663,19218,5712,24,25,60,5.6
TXO,202209W4,13900,Call,368,398,295,397,397,▼-178,▼-30.96%,12,197,209,83,378,400,610,295
TXO,202209W4,13900,Put,64,83,34,36,36,▼-7.5,▼-17.24%,7316,12704,20020,5379,36,37,110,10.5
TXO,202209W4,14000,Call,325,325,229,310,310,▼-181,▼-36.86%,36,684,720,201,308,321,535,229
TXO,202209W4,14000,Put,83,113,51,54,54,▼-4,▼-6.90%,10758,15864,26622,5048,53,54,113,18
TXO,202209W4,14050,Call,265,270,200,270,270,▼-172,▼-38.91%,0,781,781,87,251,277,270,200
TXO,202209W4,14050,Put,88,130,62,64,64,▼-2,▼-3.03%,0,4314,4314,1540,64,65,130,62
TXO,202209W4,14100,Call,237,250,168,233,233,▼-180,▼-43.58%,118,3162,3280,603,231,240,440,168
TXO,202209W4,14100,Put,108,152,75,78,78,▲+2,▲+2.63%,5644,8564,14208,2814,77,79,152,26
TXO,202209W4,14150,Call,211,211,140,204,204,▼-166,▼-44.86%,128,3410,3538,894,200,203,425,140
TXO,202209W4,14150,Put,120,176,89,93,93,▲+4,▲+4.49%,4512,6626,11138,2146,91,93,176,35
TXO,202209W4,14200,Call,188,199,118,170,170,▼-169,▼-49.85%,301,9130,9431,2673,169,171,380,118
TXO,202209W4,14200,Put,140,201,107,110,110,▲+7,▲+6.80%,7897,9732,17629,3565,110,111,201,40
TXO,202209W4,14250,Call,165,170,96,140,140,▼-158,▼-53.02%,161,7551,7712,2126,139,142,336,96
TXO,202209W4,14250,Put,168,230,127,132,132,▲+17,▲+14.78%,3143,4518,7661,1313,130,132,230,51
TXO,202209W4,14300,Call,145,145,78,113,113,▼-155,▼-57.84%,517,11659,12176,2125,112,113,325,78
TXO,202209W4,14300,Put,181,261,150,154,154,▲+23,▲+17.56%,4958,4061,9019,1772,153,156,261,63
TXO,202209W4,14350,Call,126,126,61,89,89,▼-148,▼-62.45%,718,8921,9639,1908,89,91,282,61
TXO,202209W4,14350,Put,207,295,179,179,179,▲+31,▲+20.95%,3244,1776,5020,949,178,182,295,24
TXO,202209W4,14400,Call,99,99,47.5,70,70,▼-131,▼-65.17%,4269,14414,18683,5731,68,70,264,47.5
TXO,202209W4,14400,Put,244,331,206,212,212,▲+42,▲+24.71%,8208,2763,10971,2582,209,210,331,62
TXO,202209W4,14450,Call,78,80,35.5,51,51,▼-124,▼-70.86%,4034,10691,14725,4163,51,53,236,35.5
TXO,202209W4,14450,Put,253,365,241,241,241,▲+51,▲+26.84%,2702,823,3525,597,223,248,365,102
TXO,202209W4,14500,Call,55,62,26,39.5,39.5,▼-106.5,▼-72.95%,5407,14069,19476,5134,38.5,39,181,26
TXO,202209W4,14500,Put,301,410,273,281,281,▲+67,▲+31.31%,4317,1172,5489,1537,269,360,410,102
TXO,202209W4,14550,Call,43.5,48,18,27,27,▼-95,▼-77.87%,3185,12438,15623,6765,26.5,27,149,18
