契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202210W1,12000,Call,1290,1290,1290,1290,1310,▼-110,▼-7.86%,0,1,1,1,1300,1330,1290,1290
TXO,202210W1,12000,Put,1.2,1.6,0.7,1.1,1.1,▼-0.4,▼-26.67%,0,210,210,174,0.9,1.1,1.6,0.7
TXO,202210W1,12100,Call,1190,1190,1190,1190,1210,▼-120,▼-9.16%,0,1,1,4,1200,1230,1480,1190
TXO,202210W1,12100,Put,1.2,1.8,0.3,1.8,1.4,▼-1.2,▼-40.00%,625,956,1581,2288,1.3,1.4,5.3,0.3
TXO,202210W1,12200,Call,1090,1090,1090,1090,1110,▼-120,▼-9.92%,0,1,1,4,1100,1130,1380,1090
TXO,202210W1,12200,Put,2.4,2.4,0.8,1,1.4,▼-2.3,▼-69.70%,294,394,688,1093,0.9,1.8,6.6,0.8
TXO,202210W1,12300,Call,-,-,-,-,1020,-,-,0,0,0,0,1000,1030,-,-
TXO,202210W1,12300,Put,3.1,3.3,1.1,2.6,1.8,▼-1.5,▼-36.59%,434,301,735,2343,1,2.6,8.9,1.1
TXO,202210W1,12400,Call,-,-,-,-,920,-,-,0,0,0,0,905,930,-,-
TXO,202210W1,12400,Put,4.3,4.9,1.4,2,2,▼-4,▼-66.67%,836,797,1633,3642,2,3,12.5,1.4
TXO,202210W1,12500,Call,795,795,795,795,820,▼-120,▼-13.11%,0,1,1,1,805,830,1020,795
TXO,202210W1,12500,Put,6,7.9,1.7,3.7,3.7,▼-3.6,▼-49.32%,1221,2673,3894,3328,3.5,3.9,17,1.7
TXO,202210W1,12600,Call,700,740,700,740,720,▼-80,▼-9.76%,19,2,21,15,705,730,865,700
TXO,202210W1,12600,Put,11,15,2.4,5.5,5.5,▼-5,▼-47.62%,1733,2595,4328,3722,5.1,5.9,23,2.4
TXO,202210W1,12700,Call,575,650,575,605,620,▼-115,▼-15.97%,3,23,26,16,610,635,745,575
