契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202210,10800,Call,-,-,-,-,2180,-,-,0,0,0,0,2170,2310,-,-
TXO,202210,10800,Put,0.1,0.2,0.1,0.2,0.2,▼-0.3,▼-60.00%,20,7,27,7,-,0.9,0.6,0.1
TXO,202210,10900,Call,-,-,-,-,2080,-,-,0,0,0,0,2070,2210,-,-
TXO,202210,10900,Put,0.2,0.2,0.2,0.2,0.2,▼-0.5,▼-71.43%,1,1,2,5,-,0.9,1,0.2
TXO,202210,11000,Call,-,-,-,-,1980,-,-,0,0,0,0,1970,2110,-,-
TXO,202210,11000,Put,0.2,0.2,0.2,0.2,0.2,▼-0.6,▼-75.00%,0,2,2,1,-,0.9,0.8,0.2
TXO,202210,11100,Call,-,-,-,-,1880,-,-,0,0,0,20,1870,2010,1770,1760
TXO,202210,11100,Put,1.4,1.4,0.2,0.2,0.2,▼-0.7,▼-77.78%,106,34,140,1404,-,1,5,0.2
TXO,202210,11200,Call,-,-,-,-,1780,-,-,0,0,0,0,1770,1910,-,-
TXO,202210,11200,Put,0.4,0.4,0.2,0.2,0.2,▼-0.8,▼-80.00%,11,60,71,284,-,1.4,11.5,0.2
TXO,202210,11300,Call,-,-,-,-,1680,-,-,0,0,0,1,1670,1810,1610,1610
TXO,202210,11300,Put,0.3,0.4,0.2,0.4,0.3,▼-0.7,▼-63.64%,78,144,222,669,0.1,0.9,83,0.2
TXO,202210,11400,Call,-,-,-,-,1580,-,-,0,0,0,3,1570,1710,2160,2160
TXO,202210,11400,Put,0.8,0.8,0.3,0.3,0.3,▼-0.9,▼-75.00%,143,46,189,3030,0.2,1.1,18,0.3
TXO,202210,11500,Call,-,-,-,-,1480,-,-,0,0,0,3,1470,1610,2060,1190
TXO,202210,11500,Put,0.6,1,0.3,0.4,0.4,▼-1.1,▼-73.33%,18,113,131,2294,0.2,0.5,20,0.3
TXO,202210,11600,Call,-,-,-,-,1380,-,-,0,0,0,0,1370,1510,-,-
TXO,202210,11600,Put,0.9,1.2,0.5,0.5,0.5,▼-1.2,▼-70.59%,241,475,716,2887,0.2,0.9,21,0.5
TXO,202210,11700,Call,-,-,-,-,1280,-,-,0,0,0,5,1270,1410,1390,1280
TXO,202210,11700,Put,1.4,1.8,0.6,0.6,0.6,▼-1.4,▼-70.00%,238,418,656,4381,0.5,1.1,25,0.6
TXO,202210,11800,Call,-,-,-,-,1180,-,-,0,0,0,27,1170,1310,1330,990
TXO,202210,11800,Put,1.6,2.1,0.8,0.8,0.8,▼-1.6,▼-66.67%,255,627,882,4480,0.7,0.9,30,0.8
TXO,202210,11900,Call,-,-,-,-,1080,-,-,0,0,0,17,1070,1210,1150,920
