契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W4,12000,Call,-,-,-,-,2550,-,-,0,0,0,0,2530,2570,-,-
TXO,202211W4,12000,Put,0.3,0.7,0.2,0.6,0.4,▼-0.4,▼-40.00%,135,52,187,387,0.1,0.6,8,0.2
TXO,202211W4,12100,Call,-,-,-,-,2450,-,-,0,0,0,0,2430,2470,-,-
TXO,202211W4,12100,Put,0.3,0.3,0.2,0.2,0.4,▼-0.8,▼-80.00%,0,2,2,256,-,0.7,6.1,0.2
TXO,202211W4,12200,Call,-,-,-,-,2350,-,-,0,0,0,0,2330,2370,-,-
TXO,202211W4,12200,Put,0.5,0.5,0.2,0.2,0.5,▼-0.8,▼-80.00%,0,3,3,124,-,0.7,7,0.2
TXO,202211W4,12300,Call,-,-,-,-,2250,-,-,0,0,0,0,2230,2270,-,-
TXO,202211W4,12300,Put,0.7,0.9,0.2,0.9,0.5,▼-0.1,▼-10.00%,9,14,23,179,-,0.8,9.9,0.2
TXO,202211W4,12400,Call,-,-,-,-,2150,-,-,0,0,0,0,2130,2170,-,-
TXO,202211W4,12400,Put,0.2,0.7,0.2,0.7,0.6,▼-0.3,▼-30.00%,21,22,43,288,-,0.7,13.5,0.2
TXO,202211W4,12500,Call,-,-,-,-,2050,-,-,0,0,0,1,2030,2070,2000,955
TXO,202211W4,12500,Put,1,1,0.6,0.6,0.6,▼-0.4,▼-40.00%,0,5,5,439,-,1,17,0.6
TXO,202211W4,12600,Call,-,-,-,-,1950,-,-,0,0,0,6,1930,1970,1910,960
TXO,202211W4,12600,Put,0.8,0.8,0.3,0.3,0.6,▼-1,▼-76.92%,6,19,25,638,0.2,0.9,22,0.1
TXO,202211W4,12700,Call,-,-,-,-,1850,-,-,0,0,0,5,1830,1870,995,775
TXO,202211W4,12700,Put,1.3,1.3,0.5,0.6,0.6,▼-0.8,▼-57.14%,14,15,29,315,0.2,0.7,30,0.5
TXO,202211W4,12800,Call,-,-,-,-,1750,-,-,0,0,0,0,1730,1770,1680,675
TXO,202211W4,12800,Put,1,1.1,0.3,0.6,0.6,▼-0.8,▼-57.14%,22,61,83,425,0.2,0.8,41,0.3
TXO,202211W4,12900,Call,-,-,-,-,1650,-,-,0,0,0,0,1630,1670,-,-
TXO,202211W4,12900,Put,1.4,1.4,0.9,0.9,0.9,▼-0.9,▼-50.00%,86,30,116,737,0.4,1,53,0.6
TXO,202211W4,12950,Call,-,-,-,-,1600,-,-,0,0,0,0,1580,1620,-,-
TXO,202211W4,12950,Put,1.5,1.5,1,1,0.9,▼-0.8,▼-44.44%,34,18,52,689,0.6,1.1,61,1
TXO,202211W4,13000,Call,-,-,-,-,1550,-,-,0,0,0,40,1540,1570,990,505
TXO,202211W4,13000,Put,1.4,1.6,0.6,0.6,0.9,▼-1.3,▼-68.42%,336,265,601,1409,0.5,1.2,71,0.6
TXO,202211W4,13050,Call,-,-,-,-,1500,-,-,0,0,0,0,1480,1520,464,464
TXO,202211W4,13050,Put,1.5,1.5,0.8,1.1,1.1,▼-1,▼-47.62%,14,19,33,419,0.6,1.1,80,0.8
TXO,202211W4,13100,Call,-,-,-,-,1450,-,-,0,0,0,0,1430,1470,1030,980
TXO,202211W4,13100,Put,1.6,1.8,0.7,1.2,1.2,▼-1.3,▼-52.00%,47,27,74,476,0.7,1.1,97,0.7
TXO,202211W4,13150,Call,-,-,-,-,1400,-,-,0,0,0,0,1380,1420,-,-
TXO,202211W4,13150,Put,2.3,2.3,1,1.2,1.2,▼-1.4,▼-53.85%,63,8,71,447,-,1.2,105,1
TXO,202211W4,13200,Call,-,-,-,-,1350,-,-,0,0,0,2,1330,1370,1440,376
TXO,202211W4,13200,Put,1.8,2.1,0.8,1.3,1.3,▼-1.5,▼-53.57%,227,191,418,1129,0.7,1.3,118,0.8
TXO,202211W4,13250,Call,-,-,-,-,1300,-,-,0,0,0,0,1280,1320,645,329
TXO,202211W4,13250,Put,2,2.5,1,1.5,1.5,▼-1.8,▼-54.55%,131,119,250,1035,1,1.4,134,1
TXO,202211W4,13300,Call,-,-,-,-,1250,-,-,0,0,0,2,1230,1270,1150,288
TXO,202211W4,13300,Put,2.5,2.7,1,1.6,1.6,▼-2.3,▼-58.97%,428,167,595,2207,1,1.7,164,0.2
TXO,202211W4,13350,Call,1120,1120,1120,1120,1200,▼-60,▼-5.08%,0,12,12,7,1180,1220,1120,256
TXO,202211W4,13350,Put,2.6,2.9,1.2,1.7,1.7,▼-2.6,▼-60.47%,254,333,587,1166,0.1,2.4,171,1.2
TXO,202211W4,13400,Call,-,-,-,-,1150,-,-,1,0,1,20,1130,1170,1280,166
TXO,202211W4,13400,Put,3,3.9,1.3,1.3,1.8,▼-4.1,▼-75.93%,625,1990,2615,2469,1.2,1.8,193,1.3
TXO,202211W4,13450,Call,1020,1020,1020,1020,1100,▼-60,▼-5.56%,1,20,21,44,1090,1120,1280,168
TXO,202211W4,13450,Put,4.4,4.4,1.5,2,2,▼-3.9,▼-66.10%,115,1565,1680,1561,1.5,2,217,1.5
TXO,202211W4,13500,Call,-,-,-,-,1050,-,-,4,0,4,141,1040,1070,1230,169
TXO,202211W4,13500,Put,4.1,4.7,1.7,2.2,2.2,▼-5.2,▼-70.27%,468,3403,3871,3008,2.1,2.8,250,1.7
TXO,202211W4,13550,Call,-,-,-,-,1000,-,-,0,0,0,152,990,1020,1120,146
TXO,202211W4,13550,Put,4.7,5.6,2,2.8,2.4,▼-5.7,▼-67.06%,403,1679,2082,824,2,2.8,265,2
TXO,202211W4,13600,Call,940,940,940,940,955,0,0%,2,2,4,84,935,1010,1130,46
TXO,202211W4,13600,Put,6.3,6.6,2.2,2.7,2.7,▼-7.8,▼-74.29%,786,2762,3548,1589,2.6,3,296,2.2
TXO,202211W4,13650,Call,-,-,-,-,905,-,-,20,0,20,125,885,980,1050,105
TXO,202211W4,13650,Put,8.1,8.1,2.8,3.9,3.9,▼-8.6,▼-68.80%,489,2206,2695,1225,2.6,3.3,331,2.8
TXO,202211W4,13700,Call,810,870,750,870,855,▲+25,▲+2.96%,2,6,8,203,835,865,1080,88
TXO,202211W4,13700,Put,10,10,3.2,3.9,3.9,▼-11.1,▼-74.00%,1135,2409,3544,2040,3.6,4,352,3.2
TXO,202211W4,13750,Call,765,835,730,835,805,▲+40,▲+5.03%,3,4,7,181,785,820,1000,74
TXO,202211W4,13750,Put,17,17,3.9,4.9,4.9,▼-13.1,▼-72.78%,877,1997,2874,1249,4.4,5,350,3.9
TXO,202211W4,13800,Call,665,680,615,680,755,▼-80,▼-10.53%,2,9,11,550,740,775,965,60
TXO,202211W4,13800,Put,14,15,4.7,5.5,5.5,▼-16,▼-74.42%,2211,4076,6287,2857,5.4,5.8,385,4.7
TXO,202211W4,13850,Call,630,695,630,695,710,▼-15,▼-2.11%,1,5,6,307,690,780,935,50
TXO,202211W4,13850,Put,16.5,18.5,5.8,6.9,6.9,▼-19.1,▼-73.46%,2855,3468,6323,3118,6.5,7,401,5.8
TXO,202211W4,13900,Call,605,675,525,675,660,▲+15,▲+2.27%,5,14,19,195,640,670,890,34
TXO,202211W4,13900,Put,21,23.5,7.3,8.4,8.4,▼-22.1,▼-72.46%,3809,10126,13935,6754,8.2,8.6,495,7.3
TXO,202211W4,13950,Call,535,610,490,610,610,▼-5,▼-0.81%,1,10,11,289,595,685,840,32.5
TXO,202211W4,13950,Put,29,29.5,9.7,11.5,11.5,▼-25,▼-68.49%,2073,6441,8514,2694,10.5,11.5,287,9.7
TXO,202211W4,14000,Call,525,580,426,580,565,▲+10,▲+1.75%,50,240,290,702,550,585,880,24
TXO,202211W4,14000,Put,32,36.5,12,14,14,▼-30,▼-68.18%,8156,16541,24697,6521,14,15,595,12
TXO,202211W4,14050,Call,480,520,403,520,520,▼-10,▼-1.89%,0,23,23,149,505,530,575,195
TXO,202211W4,14050,Put,45.5,45.5,16,17.5,17.5,▼-34.5,▼-66.35%,2834,6474,9308,3440,18,19,169,16
TXO,202211W4,14100,Call,450,495,349,470,470,▼-13,▼-2.69%,21,214,235,409,461,488,700,12.5
TXO,202211W4,14100,Put,49,55,20.5,23,23,▼-38,▼-62.30%,6208,13456,19664,5744,23,24.5,450,20.5
TXO,202211W4,14150,Call,397,426,324,426,426,▼-22,▼-4.91%,27,139,166,178,416,496,675,139
TXO,202211W4,14150,Put,60,67,26.5,30.5,30.5,▼-39.5,▼-56.43%,2674,7170,9844,3076,30,31.5,218,26.5
TXO,202211W4,14200,Call,360,409,267,390,390,▼-19,▼-4.65%,90,378,468,894,376,405,625,3.1
TXO,202211W4,14200,Put,69,80,34,39,39,▼-42,▼-51.85%,6657,13350,20007,5701,38,39.5,775,34
TXO,202211W4,14250,Call,331,358,234,345,345,▼-27,▼-7.26%,156,253,409,188,265,430,580,98
TXO,202211W4,14250,Put,85,96,43.5,48,48,▼-46,▼-48.94%,3666,7460,11126,4047,48,50,241,43.5
TXO,202211W4,14300,Call,300,337,202,315,315,▼-26,▼-7.62%,634,1178,1812,499,227,337,555,5.1
TXO,202211W4,14300,Put,104,114,55,61,61,▼-47,▼-43.52%,5901,9821,15722,4834,60,61,398,55
TXO,202211W4,14350,Call,271,298,172,269,276,▼-33,▼-10.93%,187,1546,1733,433,263,276,500,68
TXO,202211W4,14350,Put,106,135,67,75,75,▼-49,▼-39.52%,3372,7032,10404,3312,74,77,296,67
TXO,202211W4,14400,Call,233,265,145,239,239,▼-31,▼-11.48%,800,4720,5520,1755,238,248,475,0.7
TXO,202211W4,14400,Put,130,158,82,93,93,▼-49,▼-34.51%,4472,9164,13636,3919,90,93,965,82
TXO,202211W4,14450,Call,213,232,121,212,212,▼-28,▼-11.67%,936,4641,5577,1249,208,212,438,77
TXO,202211W4,14450,Put,150,184,100,111,111,▼-51,▼-31.48%,2978,6252,9230,2589,108,111,297,100
TXO,202211W4,14500,Call,179,201,100,181,181,▼-33,▼-15.42%,3552,10909,14461,4388,180,181,403,1.9
TXO,202211W4,14500,Put,180,213,118,131,131,▼-51,▼-28.02%,4712,8487,13199,2609,130,132,1070,118
TXO,202211W4,14550,Call,152,174,82,154,154,▼-34,▼-18.09%,4692,7418,12110,2344,154,156,372,54
TXO,202211W4,14550,Put,200,245,140,155,155,▼-56,▼-26.54%,2072,3371,5443,1467,154,156,274,140
