Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-03-22,發行量加權股價指數,16070.24,16235.63,15983.77,16189.22,C > O,C > O,Earned,202104,17000.0,14478.0,86206.0,16975.233742430923,15000.0,13092.0,86968.0,15422.663508416888,0.0,7678.0,7860.0,-0.01,0.0,1.0,-0.05,0.08
2021-03-23,發行量加權股價指數,16189.22,16351.38,16166.29,16177.59,C < O,C < O,,202104,17000.0,15300.0,90638.0,16898.117787241554,15000.0,13644.0,90372.0,15501.431859425486,0.0,4432.0,3404.0,0.0,0.01,1.0,-0.05,0.08
2021-03-24,發行量加權股價指數,16177.59,16177.59,15967.95,16032.12,C > O,C < O,,202104,17000.0,15350.0,98932.0,16807.777058990014,15000.0,22740.0,103398.0,15436.847908083328,0.0,8294.0,13026.0,-0.04,-0.04,0.0,-0.06,0.07
2021-03-25,發行量加權股價指數,16032.12,16146.58,15944.96,16060.14,C < O,C > O,Earned,202104,17000.0,14542.0,105520.0,16846.565579984835,15000.0,24456.0,108662.0,15206.649978833448,0.0,6588.0,5264.0,-0.03,0.010000000000000002,0.0,-0.06,0.07
2021-03-26,發行量加權股價指數,16060.14,16325.62,16060.14,16305.88,C > O,C > O,Earned,202104,17000.0,15824.0,105240.0,16867.60167236792,15000.0,22868.0,111278.0,15369.32367583889,0.0,-280.0,2616.0,-0.05,-0.020000000000000004,1.0,-0.04,0.09
2021-03-29,發行量加權股價指數,16305.88,16520.89,16305.88,16475.97,,,,202104,17000.0,17678.0,104088.0,16885.24709860887,15000.0,22752.0,118182.0,15601.047536849943,0.0,-1152.0,6904.0,-0.12,-0.06999999999999999,,-0.03,0.1
2021-03-30,發行量加權股價指數,16475.97,16556.19,16438.4,16554.9,,,,202104,17000.0,17982.0,104906.0,16889.257049167827,15000.0,23118.0,123370.0,15617.36564805058,0.0,818.0,5188.0,-0.15,-0.03,,-0.03,0.1
2021-03-31,發行量加權股價指數,16554.9,16554.9,16427.2,16431.13,C < O,C < O,Earned,202104,17000.0,19218.0,116132.0,16767.848654978818,15000.0,23786.0,126868.0,15431.866191632247,0.0,11226.0,3498.0,-0.08,0.06999999999999999,1.0,-0.03,0.1
2021-04-01,發行量加權股價指數,16431.13,16602.47,16431.13,16571.28,C > O,C > O,Earned,202104,17000.0,21880.0,123566.0,16779.02497450755,15000.0,23806.0,129340.0,15468.500077315603,0.0,7434.0,2472.0,-0.04,0.04,1.0,-0.03,0.1
2021-04-06,發行量加權股價指數,16571.28,16804.45,16571.28,16739.87,C > O,C > O,Earned,202104,16800.0,19842.0,119902.0,16795.3078347317,15000.0,23834.0,136606.0,15786.047464972256,0.0,-3664.0,7266.0,-0.12,-0.07999999999999999,1.0,-0.0,0.12
2021-04-07,發行量加權股價指數,16739.87,16816.34,16715.32,16815.36,,,,202104,16800.0,19854.0,122378.0,16847.209465753647,15000.0,23354.0,143926.0,15842.121645845782,0.0,2476.0,7320.0,-0.15,-0.03,,0.0,0.12
2021-04-08,發行量加權股價指數,16815.36,16926.72,16735.78,16926.44,C < O,C > O,Earned,202104,17100.0,18712.0,125680.0,16868.78898790579,15000.0,22788.0,145468.0,15862.75332031787,0.0,3302.0,1542.0,-0.14,0.009999999999999981,0.0,-0.01,0.13
