EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-05-27,2003-05-30,13.7,13.7,20,20,0,41,81,3,-81,-0.0059,13.85,0.0109,13.7,0.0,0.16568348411288492
2004-11-02,2004-12-01,8.75,8.55,20,20,0,26,66,29,-266,-0.0304,8.8,0.0057,8.55,-0.0229,0.08425329103128432
2011-08-16,2011-08-26,15.05,14.1,21,20,0,42,83,10,-1033,-0.0686,15.05,0.0,14.0,-0.0698,0.2361461246679033
2014-10-23,2014-11-19,12.6,13.0,20,20,0,39,79,27,321,0.0255,13.25,0.0516,12.6,0.0,0.18483002155790973
2015-05-25,2015-06-01,12.65,12.4,20,20,0,37,77,7,-327,-0.0258,12.65,0.0,12.35,-0.0237,0.12021517968886197
2015-07-21,2015-07-23,11.45,11.1,20,20,0,33,73,2,-423,-0.0369,11.45,0.0,11.2,-0.0218,0.2190183801647143
