EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2009-08-28,2009-10-22,31.8,32.2,45,46,0,97,188,55,212,0.0067,32.7,0.0283,31.8,0.0,0.25819945053700377
2009-11-05,2009-11-25,30.6,29.9,44,43,0,90,177,20,-877,-0.0287,30.6,0.0,29.9,-0.0229,0.12247438481067907
2010-09-03,2010-09-10,28.0,27.8,40,40,0,83,163,7,-363,-0.013,28.5,0.0179,27.1,-0.0321,0.10044769750153448
2011-08-15,2011-08-22,26.0,24.25,37,35,0,73,145,7,-1895,-0.0729,26.0,0.0,24.0,-0.0769,0.17886996083432738
2012-04-11,2012-05-10,23.45,23.6,33,34,0,71,138,29,12,0.0005,23.8,0.0149,23.45,0.0,0.08665429726175367
2012-11-01,2012-11-06,16.9,16.85,24,24,0,51,99,5,-149,-0.0088,17.0,0.0059,16.85,-0.003,0.2400653890373976
2013-06-19,2013-07-22,19.05,18.55,27,26,0,56,109,33,-609,-0.032,19.05,0.0,18.45,-0.0315,0.09475515318318428
2018-12-25,2018-12-27,25.8,25.5,37,36,0,76,149,2,-449,-0.0174,25.8,0.0,24.75,-0.0407,0.21393069306350854
2020-03-26,2020-06-01,17.5,25.35,25,36,0,76,137,67,7713,0.4407,18.35,0.0486,17.0,-0.0286,0.7093739357507722
2020-10-06,2020-10-30,24.85,25.0,35,36,0,75,146,24,4,0.0002,25.15,0.0121,24.8,-0.002,0.0824923710511769
2021-05-20,2021-06-10,20.5,23.7,29,34,0,71,134,21,3066,0.1496,24.35,0.1878,20.5,0.0,0.5986597714713504
2021-08-26,2021-09-02,24.6,24.35,35,35,0,73,143,7,-393,-0.016,24.7,0.0041,24.05,-0.0224,0.09854279559180634
