EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-09-12,2002-09-17,3.14,2.92,20,20,0,9,49,5,-269,-0.0857,3.14,0.0,2.94,-0.0637,0.21958493224971765
2003-03-14,2003-04-01,3.73,3.3,20,20,0,10,50,18,-480,-0.1287,3.73,0.0,3.32,-0.1099,0.21860243661207734
2004-06-25,2004-07-21,7.65,7.7,20,20,0,23,63,26,-13,-0.0017,8.0,0.0458,7.6,-0.0065,0.3719092716084158
2004-08-23,2004-11-01,8.3,8.15,20,20,0,24,64,70,-214,-0.0258,8.55,0.0301,8.1,-0.0241,0.13506475240861393
2005-07-26,2005-08-17,8.25,7.91,20,20,0,24,64,22,-404,-0.049,8.25,0.0,7.9,-0.0424,0.14888815952382584
2005-09-02,2005-09-09,7.6,7.26,20,20,0,22,62,7,-402,-0.0529,7.6,0.0,7.23,-0.0487,0.11198473889290539
2007-09-10,2007-10-19,21.45,20.75,31,30,0,62,123,39,-823,-0.0384,21.45,0.0,20.15,-0.0606,0.12891403488051845
2007-11-19,2007-11-29,18.8,17.0,27,24,0,51,102,10,-1902,-0.1012,18.8,0.0,16.6,-0.117,0.2151881137252094
2008-06-27,2008-07-01,20.75,18.95,30,27,0,57,114,4,-1914,-0.0922,20.75,0.0,19.3,-0.0699,0.3423238112203937
2009-03-06,2022-07-11,4.49,11.75,20,20,0,35,75,4875,7185,1.6002,11.85,1.6392,4.49,0.0,0.1442662161839634
