EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-03-17,2003-04-03,5.0,5.8,20,20,0,17,57,17,743,0.1486,5.95,0.19,5.0,0.0,0.27496374449986516
2003-09-16,2003-10-03,6.25,6.6,20,20,0,20,60,17,290,0.0464,6.65,0.064,6.25,0.0,0.18816822571301017
2003-11-26,2003-12-08,7.6,7.15,20,20,0,21,61,12,-511,-0.0672,7.6,0.0,7.2,-0.0526,0.15605595844748454
2005-01-17,2005-01-21,10.65,10.05,20,20,0,30,70,4,-670,-0.0629,10.65,0.0,9.95,-0.0657,0.4886022037891393
2005-03-18,2005-03-30,9.2,8.95,20,20,0,27,67,12,-317,-0.0345,9.3,0.0109,8.9,-0.0326,0.23267688254380436
2005-09-06,2005-09-22,8.6,7.71,20,20,0,23,63,16,-953,-0.1108,8.6,0.0,7.7,-0.1047,0.2537650717712927
2006-06-16,2006-07-17,8.9,8.98,20,20,0,27,67,31,13,0.0015,9.2,0.0337,8.9,0.0,0.3163431100682228
2007-03-22,2007-05-03,11.7,12.0,20,20,0,36,76,42,224,0.0191,12.2,0.0427,11.7,0.0,0.16416107130372048
2007-10-29,2007-11-07,15.2,14.25,22,20,0,43,85,9,-1035,-0.0681,15.2,0.0,14.2,-0.0658,0.13095660967379597
2007-11-15,2007-12-18,14.4,14.0,21,20,0,42,83,33,-483,-0.0335,14.9,0.0347,14.1,-0.0208,0.17720432403824238
2008-06-18,2008-06-30,23.9,20.95,34,30,0,63,127,12,-3077,-0.1287,23.9,0.0,20.5,-0.1423,0.405782892259241
2009-03-06,2022-07-11,10.7,28.9,20,41,0,87,148,4875,18052,1.6871,28.95,1.7056,10.7,0.0,0.18071466322510954
