EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-02-18,2003-03-03,18.0,17.2,26,25,0,52,103,13,-903,-0.0502,18.0,0.0,16.9,-0.0611,0.38482036543916287
2004-06-18,2004-06-23,33.5,30.5,48,43,0,92,183,5,-3183,-0.095,33.7,0.006,30.4,-0.0925,0.3324311644533193
2005-11-02,2008-06-12,20.5,21.5,29,31,0,64,124,953,876,0.0427,22.7,0.1073,20.5,0.0,0.33102456115945667
2010-05-11,2010-05-19,26.2,25.8,37,37,0,77,151,8,-551,-0.021,27.5,0.0496,25.75,-0.0172,0.20529692258947252
2010-10-21,2010-11-04,24.25,21.8,35,31,0,65,131,14,-2581,-0.1064,24.25,0.0,21.75,-0.1031,0.1439486402566299
2011-03-22,2011-04-20,18.0,16.8,26,24,0,50,100,29,-1300,-0.0722,18.0,0.0,16.65,-0.075,0.37007710266770055
2011-07-18,2011-08-08,14.0,11.6,20,20,0,35,75,21,-2475,-0.1768,14.0,0.0,12.4,-0.1143,0.41503035162340307
2011-08-12,2011-08-22,12.55,10.8,20,20,0,32,72,10,-1822,-0.1452,12.55,0.0,11.2,-0.1076,0.23765360300532
2012-04-10,2012-04-20,9.8,9.81,20,20,0,29,69,10,-59,-0.006,9.98,0.0184,9.78,-0.002,0.38038612893180423
2012-10-18,2012-10-22,8.18,7.6,20,20,0,23,63,4,-643,-0.0786,8.18,0.0,7.88,-0.0367,0.31325936700203516
2014-07-17,2014-07-21,16.3,15.9,23,23,0,48,94,4,-494,-0.0303,16.3,0.0,15.85,-0.0276,0.10739634839268253
2015-11-05,2015-11-09,13.65,13.35,20,20,0,40,80,4,-380,-0.0278,13.75,0.0073,13.35,-0.022,0.11291842678382324
2018-08-28,2018-09-11,12.5,11.6,20,20,0,35,75,14,-975,-0.078,12.5,0.0,11.45,-0.084,0.1859341811770241
2019-05-22,2019-05-28,11.0,10.7,20,20,0,32,72,6,-372,-0.0338,11.1,0.0091,10.7,-0.0273,0.17859404086145414
2020-02-07,2020-02-26,9.37,7.46,20,20,0,22,62,19,-1972,-0.2105,9.37,0.0,8.28,-0.1163,0.2536292862690035
2022-06-28,2022-07-01,62.0,54.6,88,78,0,164,330,3,-7730,-0.1247,62.0,0.0,55.0,-0.1129,0.3470689208278399
