EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2007-02-08,2007-03-06,44.8,40.0,64,57,0,120,241,26,-5041,-0.1125,44.8,0.0,40.5,-0.096,0.2910851897907827
2007-09-28,2007-10-15,58.2,52.2,83,74,0,157,314,17,-6314,-0.1085,58.2,0.0,52.1,-0.1048,0.18219124522364916
2008-10-16,2008-10-20,16.45,15.65,23,22,0,47,92,4,-892,-0.0542,16.45,0.0,15.9,-0.0334,0.2584065861144389
2008-10-30,2008-12-04,14.0,14.15,20,20,0,42,82,35,68,0.0049,14.4,0.0286,13.7,-0.0214,0.44642522585129085
2011-07-01,2011-07-08,22.85,21.0,33,30,0,63,126,7,-1976,-0.0865,22.85,0.0,20.7,-0.0941,0.13133267227493328
2011-08-15,2011-08-23,16.9,16.1,24,23,0,48,95,8,-895,-0.053,16.9,0.0,15.05,-0.1095,0.3071337599126427
2012-03-09,2012-03-20,15.2,16.5,22,24,0,50,96,11,1204,0.0792,16.75,0.102,15.2,0.0,0.1132460031325071
2012-05-31,2012-06-05,12.9,12.5,20,20,0,38,78,5,-478,-0.0371,12.9,0.0,12.2,-0.0543,0.20569855163142092
2012-11-27,2012-12-13,12.2,13.05,20,20,0,39,79,16,771,0.0632,13.2,0.082,12.2,0.0,0.08878515496679373
2015-05-15,2015-05-19,13.35,12.9,20,20,0,39,79,4,-529,-0.0396,13.35,0.0,12.9,-0.0337,0.1287594400503973
2016-01-20,2016-03-25,9.83,11.5,20,20,0,34,74,65,1596,0.1624,11.6,0.1801,9.83,0.0,0.09716310926540839
2016-05-23,2016-07-05,10.2,10.4,20,20,0,31,71,43,129,0.0126,10.65,0.0441,10.2,0.0,0.10982020702720474
2021-10-08,2021-11-08,25.25,26.75,36,38,0,80,154,31,1346,0.0533,27.2,0.0772,25.25,0.0,0.22375039520857776
2022-03-11,2022-04-01,23.45,27.7,33,39,0,83,155,21,4095,0.1746,28.95,0.2345,23.45,0.0,0.14183367760688337
