EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2010-05-28,2010-06-18,32.1,32.5,46,46,0,98,190,21,210,0.0065,32.85,0.0234,32.1,0.0,0.10092903544290599
2011-11-29,2011-12-14,21.75,21.35,31,30,0,64,125,15,-525,-0.0241,21.75,0.0,21.3,-0.0207,0.141223210280901
2016-09-23,2016-10-04,37.8,37.0,54,53,0,111,218,11,-1018,-0.0269,37.8,0.0,36.8,-0.0265,0.0800520180370976
2018-10-16,2018-10-29,44.1,40.8,63,58,0,122,243,13,-3543,-0.0803,44.1,0.0,40.65,-0.0782,0.3231832668038981
2020-03-25,2020-04-22,36.2,35.9,52,51,0,108,211,28,-511,-0.0141,37.2,0.0276,36.05,-0.0041,0.4952799105097625
2020-06-03,2020-06-12,39.45,38.3,56,55,0,115,226,9,-1376,-0.0349,39.8,0.0089,38.7,-0.019,0.10671558368588707
2022-05-17,2022-06-08,35.55,36.65,51,52,0,110,213,22,887,0.025,36.6,0.0295,35.55,0.0,0.09171436017255252
