EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-04-04,2003-04-22,9.1,8.6,20,20,0,26,66,18,-566,-0.0622,9.1,0.0,8.55,-0.0604,0.08482100376989532
2004-03-31,2004-04-21,9.75,11.4,20,20,0,34,74,21,1576,0.1616,11.8,0.2103,9.75,0.0,0.33186144993988087
2004-06-30,2004-07-15,9.45,8.6,20,20,0,26,66,15,-916,-0.0969,9.45,0.0,8.5,-0.1005,0.176823544462815
2006-06-15,2006-08-03,9.4,8.5,20,20,0,26,66,49,-966,-0.1028,9.4,0.0,8.32,-0.1149,0.10345509006851206
2007-11-14,2007-12-18,12.0,11.0,20,20,0,33,73,34,-1073,-0.0894,12.0,0.0,11.15,-0.0708,0.10459144367089723
2011-03-22,2011-08-08,16.6,15.95,24,23,0,48,95,139,-745,-0.0449,16.6,0.0,15.95,-0.0392,0.14795662959330036
2011-08-17,2011-08-22,15.5,14.25,22,20,0,43,85,5,-1335,-0.0861,15.5,0.0,14.25,-0.0806,0.6376489707638096
2012-11-06,2012-11-19,12.4,12.25,20,20,0,37,77,13,-227,-0.0183,12.4,0.0,12.25,-0.0121,0.10490756099522058
2014-10-03,2014-10-09,17.1,16.5,24,24,0,50,98,6,-698,-0.0408,17.1,0.0,16.5,-0.0351,0.10989077931121782
2015-06-15,2015-07-28,15.95,15.3,23,22,0,46,91,43,-741,-0.0465,15.95,0.0,15.4,-0.0345,0.10863074385108895
2018-02-22,2018-03-13,15.25,15.0,22,21,0,45,88,19,-338,-0.0222,15.25,0.0,14.85,-0.0262,0.21259149349967577
2019-05-10,2019-05-14,16.75,14.1,24,20,0,42,86,4,-2736,-0.1633,16.75,0.0,14.1,-0.1582,0.08814465702444063
2020-06-08,2020-06-12,15.45,15.25,22,22,0,46,90,4,-290,-0.0188,15.85,0.0259,15.4,-0.0032,0.125335710158762
2021-05-25,2021-06-16,13.3,12.85,20,20,0,39,79,22,-529,-0.0398,13.3,0.0,12.8,-0.0376,0.15047117545204602
