EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2005-05-20,2005-06-21,5.9,6.01,20,20,0,18,58,32,52,0.0088,6.14,0.0407,5.9,0.0,0.24871689141056574
2005-09-27,2005-10-21,5.59,6.61,20,20,0,20,60,24,960,0.1717,6.95,0.2433,5.59,0.0,0.09699582521040662
2007-12-31,2008-01-23,9.94,9.88,20,20,0,30,70,23,-130,-0.0131,10.0,0.006,9.54,-0.0402,0.19572935742679487
2008-01-31,2008-03-11,8.97,10.95,20,20,0,33,73,40,1907,0.2126,10.95,0.2207,8.97,0.0,0.11727102856614868
2008-06-09,2008-06-11,10.6,10.45,20,20,0,31,71,2,-221,-0.0208,10.6,0.0,10.45,-0.0142,0.14929851211536804
2011-03-21,2011-04-27,9.1,9.23,20,20,0,28,68,37,62,0.0068,9.3,0.022,9.1,0.0,0.13829504804087533
2016-08-26,2016-09-21,39.3,40.45,56,58,0,121,235,26,915,0.0233,41.0,0.0433,39.3,0.0,0.1409640223253963
