EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-10-02,2002-10-08,64.0,55.0,91,78,0,165,334,6,-9334,-0.1458,64.0,0.0,56.0,-0.125,0.22035803722687786
2004-01-02,2004-02-03,58.0,67.0,83,95,0,201,379,32,8621,0.1486,69.0,0.1897,58.0,0.0,0.09740405829278442
2004-05-24,2004-06-01,50.0,53.0,71,76,0,159,306,8,2694,0.0539,53.5,0.07,50.0,0.0,0.4980485232581824
2005-04-29,2005-05-04,37.0,32.5,53,46,0,98,197,5,-4697,-0.1269,37.0,0.0,32.2,-0.1297,0.2154060971785523
2005-10-31,2005-11-23,36.1,35.4,51,50,0,106,207,23,-907,-0.0251,36.7,0.0166,34.2,-0.0526,0.25318028207840815
2006-02-03,2006-02-23,42.0,39.1,60,56,0,117,233,20,-3133,-0.0746,42.0,0.0,39.0,-0.0714,0.21802234877145876
2006-09-20,2006-10-13,56.4,62.0,80,88,0,186,354,23,5246,0.093,63.4,0.1241,56.4,0.0,0.18968779775444022
2007-11-13,2007-11-27,69.8,76.0,99,108,0,228,435,14,5765,0.0826,81.0,0.1605,69.8,0.0,0.20563672826785684
2008-02-18,2008-03-19,72.3,80.8,103,115,0,242,460,30,8040,0.1112,81.6,0.1286,72.3,0.0,0.22765471818837502
2008-07-04,2008-07-30,64.4,66.8,92,95,0,200,387,26,2013,0.0313,67.5,0.0481,64.4,0.0,0.3528048506070476
2008-09-23,2008-10-01,48.9,45.2,70,64,0,136,270,8,-3970,-0.0812,48.9,0.0,43.2,-0.1166,0.7256147334040053
2008-11-03,2008-11-12,40.0,36.0,57,51,0,108,216,9,-4216,-0.1054,40.0,0.0,35.6,-0.11,0.3940049941015564
2011-03-01,2011-03-16,57.2,53.7,82,77,0,161,320,15,-3820,-0.0668,57.2,0.0,52.2,-0.0874,0.311829960143025
2011-07-25,2011-08-02,49.6,45.8,71,65,0,137,273,8,-4073,-0.0821,49.6,0.0,46.0,-0.0726,0.4471644644853858
2011-08-12,2011-09-01,40.8,46.25,58,66,0,139,263,20,5187,0.1271,46.8,0.1471,40.8,0.0,0.4115596080398225
2012-06-22,2012-06-27,44.95,44.4,64,63,0,133,260,5,-810,-0.018,44.95,0.0,44.0,-0.0211,0.16931026355972478
2012-11-01,2012-12-07,36.15,39.1,52,56,0,117,225,36,2725,0.0754,39.75,0.0996,36.15,0.0,0.22553628747233567
2013-08-15,2013-09-11,38.6,38.6,55,55,0,116,226,27,-226,-0.0059,38.9,0.0078,38.5,-0.0026,0.08841142846610661
2016-10-26,2016-11-03,32.6,31.8,46,45,0,95,186,8,-986,-0.0302,32.6,0.0,31.8,-0.0245,0.08383217154909084
2018-09-14,2018-10-12,30.15,28.3,43,40,0,85,168,28,-2018,-0.0669,30.15,0.0,28.0,-0.0713,0.08125242202693861
