EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-09-16,2002-09-27,6.65,6.3,20,20,0,19,59,11,-409,-0.0615,6.65,0.0,6.4,-0.0376,0.136904147188895
2003-09-17,2003-09-19,4.89,5.15,20,20,0,15,55,2,205,0.0419,4.89,0.0,4.89,0.0,0.3775592834672663
2004-10-29,2004-11-16,4.8,4.8,20,20,0,14,54,18,-54,-0.0112,4.8,0.0,4.8,0.0,0.10789409945088502
2006-09-04,2006-09-06,18.0,18.5,26,26,0,56,108,2,392,0.0218,18.2,0.0111,17.8,-0.0111,0.10631497304174786
2007-01-08,2007-02-07,17.5,41.9,25,60,0,126,211,30,24189,1.3822,45.05,1.5743,17.5,0.0,0.11365435311880634
2008-01-31,2008-02-27,52.0,58.4,74,83,0,175,332,27,6068,0.1167,60.0,0.1538,52.0,0.0,0.933225853879506
2010-05-12,2010-05-21,13.8,11.65,20,20,0,35,75,9,-2225,-0.1612,13.8,0.0,12.5,-0.0942,0.3776294944845038
2010-11-09,2010-11-30,11.8,10.85,20,20,0,33,73,21,-1023,-0.0867,11.8,0.0,10.85,-0.0805,0.15835907930783688
2010-12-09,2011-01-17,10.95,13.7,20,20,0,41,81,39,2669,0.2437,14.3,0.3059,10.95,0.0,0.1372547751918236
2011-07-20,2011-08-02,13.8,12.5,20,20,0,38,78,13,-1378,-0.0999,13.8,0.0,12.5,-0.0942,0.15906421373823454
2014-05-29,2014-06-06,6.39,6.02,20,20,0,18,58,8,-428,-0.067,6.39,0.0,5.63,-0.1189,0.3505592722983477
