EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-10-02,2002-10-08,8.6,8.0,20,20,0,24,64,6,-664,-0.0772,8.8,0.0233,8.2,-0.0465,0.46112997504813347
2003-05-13,2003-06-02,10.0,10.7,20,20,0,32,72,20,628,0.0628,10.7,0.07,10.0,0.0,0.3322569729935665
2004-03-30,2004-04-08,12.4,12.8,20,20,0,38,78,9,322,0.026,12.8,0.0323,12.4,0.0,0.19204021746902544
2004-06-25,2004-07-16,11.2,11.2,20,20,0,34,74,21,-74,-0.0066,11.2,0.0,11.0,-0.0179,0.16112437645662947
2005-04-12,2005-04-19,11.75,10.8,20,20,0,32,72,7,-1022,-0.087,11.75,0.0,11.05,-0.0596,0.10588045787203226
2005-10-04,2005-10-07,9.6,9.5,20,20,0,28,68,3,-168,-0.0175,9.6,0.0,9.21,-0.0406,0.10255193014842368
