EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2012-07-23,2012-08-10,86.9,96.0,124,137,0,288,549,18,8551,0.0984,96.3,0.1082,86.9,0.0,0.24891185172157915
2013-07-02,2013-07-05,69.9,65.6,100,93,0,197,390,3,-4690,-0.0671,69.9,0.0,64.3,-0.0801,0.17725506111259426
2014-08-04,2014-08-06,92.1,90.2,131,129,0,271,531,2,-2431,-0.0264,92.1,0.0,89.9,-0.0239,0.13171799423397168
2014-10-23,2014-10-28,81.1,77.5,116,110,0,232,458,5,-4058,-0.05,81.1,0.0,76.2,-0.0604,0.20785879388434547
2016-01-30,2016-02-02,71.5,70.5,102,100,0,212,414,3,-1414,-0.0198,72.4,0.0126,70.6,-0.0126,0.2773800923663543
2017-07-24,2017-08-03,69.6,72.5,99,103,0,218,420,10,2480,0.0356,74.2,0.0661,69.6,0.0,0.07083721964686207
2018-05-02,2018-05-16,64.4,66.2,92,94,0,199,385,14,1415,0.022,68.4,0.0621,64.4,0.0,0.13758511402217666
2020-11-05,2020-11-20,126.0,118.0,180,168,0,354,702,15,-8702,-0.0691,126.0,0.0,118.0,-0.0635,0.1554816561400043
2020-12-22,2021-01-04,118.0,115.0,168,164,0,345,677,13,-3677,-0.0312,118.0,0.0,113.0,-0.0424,0.10019297724175225
2021-10-20,2021-11-01,95.5,97.4,136,139,0,292,567,12,1333,0.014,98.5,0.0314,95.5,0.0,0.1353225199784458
