EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2014-10-30,2014-11-03,23.3,25.9,33,37,0,78,148,4,2452,0.1052,25.9,0.1116,23.3,0.0
2015-07-24,2015-07-28,27.3,29.0,39,41,0,87,167,4,1533,0.0562,31.1,0.1392,27.3,0.0
2016-01-14,2016-02-18,28.85,32.5,41,46,0,98,185,35,3465,0.1201,32.5,0.1265,28.85,0.0
2016-05-19,2016-07-06,26.0,28.0,37,40,0,84,161,48,1839,0.0707,29.0,0.1154,26.0,0.0
2017-06-23,2017-08-15,43.4,38.6,62,55,0,116,233,53,-5033,-0.116,43.4,0.0,38.6,-0.1106
2018-07-11,2018-07-31,55.7,59.1,79,84,0,177,340,20,3060,0.0549,61.6,0.1059,55.7,0.0
2018-11-02,2019-01-04,56.2,60.8,80,87,0,182,349,63,4251,0.0756,62.5,0.1121,56.2,0.0
2020-09-30,2020-12-14,49.6,43.6,71,62,0,131,264,75,-6264,-0.1263,49.6,0.0,43.5,-0.123
