EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2017-03-28,2017-04-05,435.5,383.0,621,546,0,1149,2316,8,-54816,-0.1259,435.5,0.0,391.5,-0.101
2018-09-14,2018-09-20,257.0,279.5,366,398,0,838,1602,6,20898,0.0813,290.0,0.1284,257.0,0.0
2021-03-12,2021-05-05,238.5,214.0,340,305,0,642,1287,54,-25787,-0.1081,238.5,0.0,207.0,-0.1321
2021-05-10,2021-05-12,223.5,200.0,318,285,0,600,1203,2,-24703,-0.1105,223.5,0.0,201.0,-0.1007
2021-05-19,2021-05-26,191.0,204.5,272,291,0,614,1177,7,12323,0.0645,211.5,0.1073,191.0,0.0
2021-08-19,2021-10-05,204.0,184.0,291,262,0,552,1105,47,-21105,-0.1035,204.0,0.0,181.5,-0.1103
