EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-10-11,2002-10-18,22.0,24.5,31,35,0,74,140,7,2360,0.1073,24.4,0.1091,22.0,0.0,0.23847492594043285
2003-07-29,2003-08-15,32.5,34.5,46,49,0,104,199,17,1801,0.0554,34.8,0.0708,32.5,0.0,0.17883964997112067
2004-03-22,2004-03-24,45.1,44.5,64,63,0,134,261,2,-861,-0.0191,45.1,0.0,42.0,-0.0687,0.07696273102426487
2004-05-05,2004-05-07,46.8,44.0,67,63,0,132,262,2,-3062,-0.0654,46.8,0.0,44.4,-0.0513,0.11842539621840187
2005-09-05,2005-09-07,65.0,63.6,93,91,0,191,375,2,-1775,-0.0273,65.0,0.0,62.2,-0.0431,0.09741652409918422
2006-06-26,2006-07-25,110.0,105.0,157,150,0,315,622,29,-5622,-0.0511,110.0,0.0,101.0,-0.0818,0.31659356669644545
2007-11-15,2007-11-20,119.5,110.5,170,157,0,332,659,5,-9659,-0.0808,119.5,0.0,113.5,-0.0502,0.18761704615360042
2009-11-10,2009-12-07,85.7,82.5,122,118,0,248,488,27,-3688,-0.043,86.3,0.007,81.5,-0.049,0.12925867679114478
2011-12-23,2011-12-27,71.0,72.4,101,103,0,217,421,4,979,0.0138,73.5,0.0352,71.0,0.0,0.11244361515435974
2013-01-24,2013-01-28,59.4,57.0,85,81,0,171,337,4,-2737,-0.0461,59.4,0.0,56.5,-0.0488,0.10934092566504483
2015-08-27,2015-09-10,43.0,47.95,61,68,0,144,273,14,4677,0.1088,48.4,0.1256,43.0,0.0,0.22808141854478814
2018-05-03,2018-05-14,90.1,86.0,128,123,0,258,509,11,-4609,-0.0512,90.1,0.0,85.8,-0.0477,0.18029332347097338
2018-10-17,2018-10-22,76.0,71.2,108,101,0,214,423,5,-5223,-0.0687,76.0,0.0,70.5,-0.0724,0.2854085972253442
2020-01-14,2020-01-31,124.0,115.0,177,164,0,345,686,17,-9686,-0.0781,124.0,0.0,115.5,-0.0685,0.07963609239532743
2021-05-17,2021-06-16,120.0,128.5,171,183,0,386,740,30,7760,0.0647,130.5,0.0875,120.0,0.0,0.19846678991121913
