EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-03-19,2003-04-01,58.5,52.5,83,75,0,158,316,13,-6316,-0.108,58.5,0.0,52.5,-0.1026,0.1450634997856033
2007-08-01,2007-08-03,66.0,64.0,94,91,0,192,377,2,-2377,-0.036,66.0,0.0,62.1,-0.0591,0.1060712443225722
2008-11-28,2008-12-11,21.3,23.05,30,33,0,69,132,13,1618,0.076,23.15,0.0869,21.3,0.0,0.2500617443258928
2009-12-02,2009-12-08,52.9,55.0,75,78,0,165,318,6,1782,0.0337,53.7,0.0151,50.2,-0.051,0.10543801773390737
2010-04-23,2010-05-04,47.7,45.9,68,65,0,138,271,11,-2071,-0.0434,47.7,0.0,45.5,-0.0461,0.11521374758658598
2010-05-14,2010-05-26,43.0,40.5,61,58,0,122,241,12,-2741,-0.0637,43.0,0.0,40.0,-0.0698,0.21843386428403155
2011-12-26,2012-01-09,23.4,25.6,33,36,0,77,146,14,2054,0.0878,25.3,0.0812,23.4,0.0,0.22805981960541843
2012-06-21,2012-07-06,19.85,20.25,28,29,0,61,118,15,282,0.0142,20.9,0.0529,19.85,0.0,0.1750174195397871
2014-04-30,2014-06-09,19.15,20.55,27,29,0,62,118,40,1282,0.0669,20.85,0.0888,19.15,0.0,0.21215291974340578
2015-11-05,2015-11-10,14.35,14.25,20,20,0,43,83,5,-183,-0.0128,14.35,0.0,13.9,-0.0314,0.04629179807928496
2018-09-18,2018-10-12,11.8,11.1,20,20,0,33,73,24,-773,-0.0655,11.8,0.0,11.15,-0.0551,0.05281874512088103
2019-12-19,2020-01-10,13.85,13.5,20,20,0,40,80,22,-430,-0.031,13.85,0.0,13.4,-0.0325,0.06516723319888174
2021-10-08,2021-10-29,14.0,14.6,20,21,0,44,85,21,515,0.0368,14.95,0.0679,14.0,0.0,0.16877979398461318
