EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-02-19,2003-03-03,23.3,22.0,33,31,0,66,130,12,-1430,-0.0614,23.3,0.0,21.3,-0.0858,0.1328951434914718
2003-09-30,2003-10-02,26.5,25.8,38,37,0,77,152,2,-852,-0.0322,26.5,0.0,25.5,-0.0377,0.07460913471804487
2010-08-31,2010-09-08,30.5,32.0,43,46,0,96,185,8,1315,0.0431,32.15,0.0541,30.5,0.0,0.04738995803353219
2011-07-01,2011-07-05,34.6,34.75,49,50,0,104,203,4,-53,-0.0015,34.9,0.0087,34.6,0.0,0.025137148465611547
2012-07-31,2012-08-31,26.05,25.8,37,37,0,77,151,31,-401,-0.0154,26.05,0.0,25.8,-0.0096,0.11335081506201505
2013-11-08,2013-11-12,25.5,25.3,36,36,0,76,148,4,-348,-0.0136,25.5,0.0,25.1,-0.0157,0.03060386873048948
2015-08-31,2015-09-21,19.3,20.1,28,29,0,60,117,21,683,0.0354,20.25,0.0492,19.3,0.0,0.3202401547202387
2017-01-06,2017-02-03,25.0,25.5,36,36,0,76,148,28,352,0.0141,25.75,0.03,25.0,0.0,0.07253385307255056
2017-08-02,2017-09-26,25.15,24.2,36,34,0,73,143,55,-1093,-0.0435,25.15,0.0,24.2,-0.0378,0.064509299047254
2018-11-30,2019-01-10,24.0,24.8,34,35,0,74,143,41,657,0.0274,24.95,0.0396,24.0,0.0,0.04319295111799515
