EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2010-05-28,2010-06-08,94.0,87.0,134,124,0,261,519,11,-7519,-0.08,94.0,0.0,86.1,-0.084,0.18458344416729955
2011-06-28,2011-07-13,78.0,75.1,111,107,0,225,443,15,-3343,-0.0429,78.0,0.0,74.5,-0.0449,0.1473008076025626
2011-07-19,2011-08-08,75.0,64.1,107,91,0,192,390,20,-11290,-0.1505,75.0,0.0,65.1,-0.132,0.15970896476656238
2011-12-23,2011-12-27,46.4,46.2,66,66,0,139,271,4,-471,-0.0102,46.4,0.0,45.0,-0.0302,0.14123334009614785
2014-03-27,2014-04-14,44.1,43.0,63,61,0,129,253,18,-1353,-0.0307,44.1,0.0,42.85,-0.0283,0.08176142394926567
2016-05-16,2016-05-18,32.6,32.4,46,46,0,97,189,2,-389,-0.0119,33.0,0.0123,31.7,-0.0276,0.11131024969733838
2016-11-09,2016-11-30,35.75,37.0,51,53,0,111,215,21,1035,0.029,37.5,0.049,35.75,0.0,0.07067580272076679
2017-04-05,2017-05-12,35.9,34.8,51,50,0,104,205,37,-1305,-0.0364,35.9,0.0,34.5,-0.039,0.11522063637185154
2017-06-26,2017-07-31,34.55,36.15,49,52,0,108,209,35,1391,0.0403,36.9,0.068,34.55,0.0,0.08865938188802569
2018-09-13,2018-09-19,35.8,35.05,51,50,0,105,206,6,-956,-0.0267,35.8,0.0,34.55,-0.0349,0.06937618608752238
2018-12-22,2019-01-03,29.0,29.65,41,42,0,89,172,12,478,0.0165,30.35,0.0466,29.0,0.0,0.040453475935458005
2020-11-17,2020-12-08,61.7,55.9,88,80,0,168,336,21,-6136,-0.0994,61.7,0.0,55.0,-0.1086,0.22486572441725494
