EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2012-04-11,2012-04-24,17.5,17.3,25,25,0,52,102,13,-302,-0.0173,17.75,0.0143,17.3,-0.0114,0.1722697453982971
2012-05-04,2012-05-14,17.2,16.3,25,23,0,49,97,10,-997,-0.058,17.2,0.0,16.4,-0.0465,0.09803701040543622
2014-02-20,2014-02-27,18.6,19.7,27,28,0,59,114,7,986,0.053,19.6,0.0538,18.6,0.0,0.10125334779014872
2014-03-26,2014-04-28,18.6,16.4,27,23,0,49,99,33,-2299,-0.1236,18.6,0.0,16.65,-0.1048,0.11229800212135532
2014-05-05,2014-05-13,17.45,18.1,25,26,0,54,105,8,545,0.0312,18.35,0.0516,17.45,0.0,0.11229538530721528
2014-08-27,2014-09-17,23.35,21.55,33,31,0,65,129,21,-1929,-0.0826,23.35,0.0,21.35,-0.0857,0.22237274364811643
2016-04-01,2016-04-22,15.7,16.1,22,23,0,48,93,21,307,0.0196,16.3,0.0382,15.45,-0.0159,0.09681284607904872
2016-07-04,2016-08-12,15.85,15.5,23,22,0,46,91,39,-441,-0.0278,15.9,0.0032,15.45,-0.0252,0.17815809412285777
2020-03-04,2020-03-11,16.6,15.4,24,22,0,46,92,7,-1292,-0.0778,16.6,0.0,14.9,-0.1024,0.10010715690307892
2022-07-11,2022-07-11,26.3,26.6,37,38,0,80,155,0,145,0.0055,26.6,0.0114,25.85,-0.0171,0.2844414938348483
