EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2003-03-17,2003-03-27,5.0,5.7,20,20,0,17,57,10,643,0.1286,5.65,0.13,5.0,0.0,0.27496374449986516
2003-11-26,2003-12-05,7.6,7.45,20,20,0,22,62,9,-212,-0.0279,7.65,0.0066,7.35,-0.0329,0.15605595844748454
2007-03-22,2007-04-11,11.7,13.0,20,20,0,39,79,20,1221,0.1044,12.75,0.0897,11.7,0.0,0.16416107130372048
2007-11-15,2007-12-05,14.4,14.85,21,21,0,45,87,20,363,0.0252,15.1,0.0486,14.3,-0.0069,0.17720432403824238
2008-06-18,2008-06-30,23.9,20.95,34,30,0,63,127,12,-3077,-0.1287,23.9,0.0,20.5,-0.1423,0.405782892259241
2010-05-14,2010-05-24,17.75,16.75,25,24,0,50,99,10,-1099,-0.0619,17.75,0.0,16.35,-0.0789,0.19020325509620406
2011-06-27,2011-07-01,18.95,19.9,27,28,0,60,115,4,835,0.0441,19.85,0.0475,18.95,0.0,0.058333886603759044
2015-08-27,2015-10-15,13.45,14.65,20,21,0,44,85,49,1115,0.0829,14.65,0.0892,13.45,0.0,0.304623565163076
2015-12-18,2015-12-22,14.25,14.15,20,20,0,42,82,4,-182,-0.0128,14.25,0.0,14.1,-0.0105,0.037482462913360326
2016-01-26,2016-02-01,14.0,14.6,20,21,0,44,85,6,515,0.0368,14.55,0.0393,14.0,0.0,0.06548816403343327
2017-05-17,2017-06-01,19.1,19.5,27,28,0,58,113,15,287,0.015,19.55,0.0236,19.1,0.0,0.026928753578191245
2017-08-18,2017-09-05,17.3,17.7,25,25,0,53,103,18,297,0.0172,17.85,0.0318,17.3,0.0,0.06174180735766521
2018-02-09,2018-03-13,17.7,18.7,25,27,0,56,108,32,892,0.0504,18.65,0.0537,17.7,0.0,0.06261428579407857
2021-10-13,2021-10-21,29.5,30.0,42,43,0,90,175,8,325,0.011,30.35,0.0288,29.5,0.0,0.05830184220492707
