Date	Ticker	Action	Value
2020-07-17	1310	XD	1
2020-07-17	2103	XD	0.5
2020-07-17	2323	XD	0.2
2020-07-17	2324	XD	1.2
2020-07-17	2906	XD	0.3
2020-07-17	3045	XD	4.75
2020-07-17	3413	XD	3.99882
2020-07-17	3481	XD	0.1
2020-07-17	3596	XD	4.700112
2020-07-17	4439	XD	8.038533
2020-07-17	4999	XD	2.5
2020-07-17	6591	XD	1.464063
2020-07-17	8215	XD	0.5
2020-07-17	8462	XD	5.38273
2020-07-17	8462	XR	50
2020-07-17	00749B	XD	0.406
2020-07-17	00750B	XD	0.42
2020-07-17	2596	XD	1.0
2020-07-17	3652	XD	0.1400497
2020-07-17	4105	XD	4.0
2020-07-17	4706	XD	0.6
2020-07-17	6588	XD	1.30759023
2020-07-17	6616	XD	2.2
2020-07-17	8069	XD	2.0
