Date	Ticker	Action	Value
2022-05-18	00771	XD	0.18
2022-05-18	00878	XD	0.32
2022-05-18	01002T	XD	0.370393
2022-05-18	01007T	XD	0.232917
2022-05-18	00679B	XD	0.27
2022-05-18	00754B	XD	0.332
2022-05-18	00755B	XD	0.356
2022-05-18	00756B	XD	0.444
2022-05-18	00772B	XD	0.128
2022-05-18	00773B	XD	0.136
2022-05-18	00780B	XD	0.39
2022-05-18	00786B	XD	0.43
2022-05-18	00794B	XD	0.622
2022-05-18	00795B	XD	0.197
2022-05-18	00799B	XD	0.38
2022-05-18	00840B	XD	0.22
2022-05-18	00841B	XD	0.27
2022-05-18	00845B	XD	0.328
2022-05-18	00846B	XD	0.227
2022-05-18	00847B	XD	0.264
2022-05-18	00860B	XD	0.243
2022-05-18	00889B	XD	0.37
2022-05-18	00890B	XD	0.37
