Date	Ticker	Action	Value
2022-06-27	1232	XD	6
2022-06-27	1314	XD	0.4
2022-06-27	1437	XD	0.9
2022-06-27	1598	XD	2.514572
2022-06-27	1760	XD	1.5
2022-06-27	2368	XD	2.2
2022-06-27	2606	XD	3
2022-06-27	2609	XD	20
2022-06-27	3010	XD	6.8
2022-06-27	3015	XD	3.3
2022-06-27	3416	XD	4.495135
2022-06-27	4557	XD	4.5
2022-06-27	1580	XD	7.0
2022-06-27	3213	XD	3.7
2022-06-27	3479	XD	2.5805714
2022-06-27	3580	XD	2.1
2022-06-27	6161	XD	3.0
2022-06-27	6546	XD	5.45695812
2022-06-27	6680	XR	30.0
2022-06-27	6680	XD	1.2
2022-06-27	8111	XD	2.1
2022-06-27	8342	XD	3.4
