Date	Ticker	Action	Value
2021-09-22	1218	XD	1.4
2021-09-22	2109	XD	0.5
2021-09-22	2488	XD	1.5
2021-09-22	2515	XD	0.233
2021-09-22	2539	XD	0.199336
2021-09-22	2539	XR	139.5
2021-09-22	2701	XD	0.25
2021-09-22	00831B	XD	0.09
2021-09-22	00836B	XD	0.339
2021-09-22	00856B	XD	0.117
2021-09-22	00857B	XD	0.228
2021-09-22	3516	XD	0.2
2021-09-22	3540	XR	99.76810095
2021-09-22	3540	XD	3.49188374
2021-09-22	4205	XR	99.99999752
2021-09-22	4205	XD	2.0
2021-09-22	4728	XD	2.0
2021-09-22	5281	XD	0.8
2021-09-22	5487	XD	1.08889752
2021-09-22	8076	XD	0.5
2021-09-22	8096	XR	20.00000295
2021-09-22	8096	XD	0.2
