Date	Ticker	Action	Value
2022-01-18	00701	XD	1.65
2022-01-18	00702	XD	0.27
2022-01-18	00714	XD	0.419
2022-01-18	00717	XD	0.139
2022-01-18	00735	XD	1.05
2022-01-18	00736	XD	0.28
2022-01-18	00770	XD	1.95
2022-01-18	00830	XD	2.8
2022-01-18	00881	XD	0.59
2022-01-18	00882	XD	0.36
2022-01-18	00687B	XD	0.22
2022-01-18	00694B	XD	0.07
2022-01-18	00695B	XD	0.089
2022-01-18	00696B	XD	0.228
2022-01-18	00719B	XD	0.06
2022-01-18	00720B	XD	0.41
2022-01-18	00722B	XD	0.395
2022-01-18	00723B	XD	0.321
2022-01-18	00724B	XD	0.362
2022-01-18	00725B	XD	0.39
2022-01-18	00726B	XD	0.37
2022-01-18	00727B	XD	0.47
2022-01-18	00740B	XD	0.46
2022-01-18	00741B	XD	0.446
2022-01-18	00744B	XD	0.7
2022-01-18	00746B	XD	0.34
2022-01-18	00749B	XD	0.39
2022-01-18	00750B	XD	0.32
2022-01-18	00761B	XD	0.33
2022-01-18	00772B	XD	0.121
2022-01-18	00773B	XD	0.114
2022-01-18	00782B	XD	0.32
2022-01-18	00784B	XD	0.229
2022-01-18	00785B	XD	0.349
2022-01-18	00788B	XD	0.35
2022-01-18	00848B	XD	0.337
2022-01-18	00849B	XD	0.277
2022-01-18	00858	XD	0.12
2022-01-18	00870B	XD	0.39
2022-01-18	00884B	XD	0.327
2022-01-18	00888	XD	0.039
