Date	Ticker	Action	Value
2020-07-14	1236	XD	0.3
2020-07-14	1256	XD	6.2
2020-07-14	1312A	XD	0.600000
2020-07-14	1515	XD	3
2020-07-14	2207	XD	14
2020-07-14	2462	XD	0.7
2020-07-14	2477	XD	1.6
2020-07-14	2816	XD	0.88
2020-07-14	2889	XD	0.65229
2020-07-14	2908	XD	0.709999
2020-07-14	3450	XD	1
2020-07-14	3645	XD	0.5
2020-07-14	3706	XD	1
2020-07-14	3706	XR	120
2020-07-14	4904	XD	3.25
2020-07-14	6166	XD	1.6
2020-07-14	6451	XD	3.669145
2020-07-14	6456	XD	3.5
2020-07-14	9802	XD	5.518897
2020-07-14	9908	XD	1.1
2020-07-14	2726	XR	50.16338164
2020-07-14	3169	XD	2.1
2020-07-14	4116	XD	1.35
2020-07-14	5102	XD	0.6
2020-07-14	5511	XD	2.2
2020-07-14	6161	XD	0.9
2020-07-14	6173	XD	1.8
2020-07-14	6530	XD	1.0
2020-07-14	8477	XD	1.37
