Date	Ticker	Action	Value
2021-08-03	1109	XD	1.5
2021-08-03	1338	XD	3.5
2021-08-03	1434	XD	1
2021-08-03	1731	XD	1
2021-08-03	2201	XD	1
2021-08-03	2467	XD	2.512037
2021-08-03	2467	XR	20.1
2021-08-03	2476	XD	1.2
2021-08-03	2820	XD	0.87
2021-08-03	2849	XD	0.73
2021-08-03	2915	XD	2
2021-08-03	3058	XD	0.15
2021-08-03	5285	XD	2.411562
2021-08-03	5538	XD	1.777376
2021-08-03	6115	XD	2.8
2021-08-03	8131	XD	2.3
2021-08-03	9910	XD	3.7
2021-08-03	9938	XD	3
2021-08-03	1593	XD	3.58391996
2021-08-03	3088	XD	2.57013434
2021-08-03	3541	XD	2.01554593
2021-08-03	4933	XD	2.1875012
2021-08-03	6151	XD	1.8
2021-08-03	6248	XD	1.19857918
2021-08-03	6747	XD	5.37434371
2021-08-03	8921	XD	0.418
