Date	Ticker	Action	Value
2020-07-27	1110	XD	0.1
2020-07-27	1402	XD	1.5
2020-07-27	1503	XD	1.6
2020-07-27	1531	XD	0.201524
2020-07-27	2374	XD	0.3
2020-07-27	2852	XD	0.96
2020-07-27	3209	XD	1.278706
2020-07-27	3617	XD	5.35
2020-07-27	4526	XD	0.2
2020-07-27	4555	XD	1.2
2020-07-27	6257	XD	2.197239
2020-07-27	6277	XD	5.3
2020-07-27	8021	XD	1.2
2020-07-27	8404	XD	0.6
2020-07-27	2235	XD	3.0
2020-07-27	3232	XD	0.3
2020-07-27	3537	XR	100.0
2020-07-27	3537	XD	1.5
2020-07-27	3556	XD	3.3
2020-07-27	4129	XD	0.82
2020-07-27	4129A	XD	0.4808219
2020-07-27	5392	XR	20.12135592
2020-07-27	5392	XD	0.50303395
2020-07-27	6170	XD	0.9
2020-07-27	6532	XD	1.59719497
2020-07-27	6629	XD	3.1
