Date	Ticker	Action	Value
2022-08-29	1453	XR	30
2022-08-29	1514	XD	0.75
2022-08-29	1514	XR	50
2022-08-29	1531	XD	0.7
2022-08-29	1539	XD	0.8
2022-08-29	1597	XR	100
2022-08-29	1603	XD	0.5
2022-08-29	1609	XD	0.35
2022-08-29	1609	XR	60
2022-08-29	2211	XD	3
2022-08-29	2420	XD	3
2022-08-29	2442	XD	0.204369
2022-08-29	2442	XR	51.1
2022-08-29	6216	XD	1.666821
2022-08-29	3188	XR	50.0
2022-08-29	3188	XD	0.5
2022-08-29	5013	XD	2.0
2022-08-29	5202	XD	0.679
2022-08-29	5392	XD	0.30178445
2022-08-29	5603	XR	300.00000124
2022-08-29	5603	XD	4.0
2022-08-29	6245	XD	3.00002275
