Date	Ticker	Action	Value
2022-08-11	1419	XD	1
2022-08-11	1444	XD	0.3
2022-08-11	1583	XD	2.5
2022-08-11	2365	XD	0.2
2022-08-11	2387	XD	3
2022-08-11	2476	XD	2.0784
2022-08-11	2801	XD	0.5
2022-08-11	2801	XR	10
2022-08-11	2880	XD	0.78
2022-08-11	2880	XR	34
2022-08-11	2886	XD	1.4
2022-08-11	2886	XR	25
2022-08-11	5203	XD	1.714498
2022-08-11	8473	XD	0.85
2022-08-11	9914	XD	8
2022-08-11	1569	XD	1.6
2022-08-11	3268	XD	0.6
2022-08-11	3558	XD	3.0
2022-08-11	4161	XD	0.3
2022-08-11	4528	XR	100.00000261
2022-08-11	5223	XD	2.7
2022-08-11	6143	XD	2.5
2022-08-11	6210	XD	3.0
2022-08-11	8917	XR	99.99999865
2022-08-11	8917	XD	1.1
2022-08-11	9960	XD	1.7
