Date	Ticker	Action	Value
2020-07-16	00714	XD	0.15
2020-07-16	1104	XD	1
2020-07-16	1109	XD	1.1
2020-07-16	1227	XD	2.65
2020-07-16	1234	XD	1.7
2020-07-16	1325	XD	0.3
2020-07-16	1535	XD	1.2
2020-07-16	1609	XD	0.302798
2020-07-16	1614	XD	0.83287
2020-07-16	1725	XD	0.81
2020-07-16	2029	XD	0.15
2020-07-16	2397	XD	5
2020-07-16	2402	XD	0.5
2020-07-16	2419	XD	0.8
2020-07-16	2481	XD	1.052213
2020-07-16	2504	XD	0.3
2020-07-16	2614	XD	1
2020-07-16	2707	XD	3.9206
2020-07-16	2823	XD	0.6
2020-07-16	2915	XD	5
2020-07-16	3015	XD	1.54005
2020-07-16	3026	XD	7
2020-07-16	3032	XD	2.036291
2020-07-16	3454	XD	2.5
2020-07-16	3530	XD	2
2020-07-16	4133	XD	0.1
2020-07-16	5471	XD	2.1
2020-07-16	5876	XD	2.05
2020-07-16	6128	XD	2.4
2020-07-16	6196	XD	2.596178
2020-07-16	6206	XD	4.5
2020-07-16	6278	XD	2.8
2020-07-16	8070	XD	8.5
2020-07-16	8464	XD	10
2020-07-16	9939	XD	3.053091
2020-07-16	9945	XD	1
2020-07-16	00719B	XD	0.02
2020-07-16	00720B	XD	0.43
2020-07-16	00722B	XD	0.451
2020-07-16	00723B	XD	0.357
2020-07-16	00724B	XD	0.421
2020-07-16	00772B	XD	0.109
2020-07-16	00773B	XD	0.113
2020-07-16	00788B	XD	0.34
2020-07-16	00848B	XD	0.336
2020-07-16	00849B	XD	0.173
2020-07-16	00870B	XD	0.205
2020-07-16	1591	XD	0.5
2020-07-16	2937	XD	1.55
2020-07-16	3227	XD	5.12663225
2020-07-16	3491	XD	3.99599107
2020-07-16	3611	XD	10.0
2020-07-16	3709	XD	1.0
2020-07-16	4139	XR	13.99999719
2020-07-16	4139	XD	1.26
2020-07-16	4205	XD	3.0
2020-07-16	4506	XD	2.7
2020-07-16	4561	XD	0.25
2020-07-16	4580	XD	5.0
2020-07-16	4745	XR	50.00000475
2020-07-16	4745	XD	1.2
2020-07-16	5220	XD	1.4
2020-07-16	5371	XD	2.0
2020-07-16	5425	XD	1.5
2020-07-16	5438	XD	0.44
2020-07-16	5439	XD	2.3
2020-07-16	5465	XD	1.0
2020-07-16	5512	XD	0.6
2020-07-16	5514	XR	100.0
2020-07-16	6121	XD	14.5
2020-07-16	6188	XD	2.0
2020-07-16	6217	XD	1.0284824
2020-07-16	6218	XD	1.4
2020-07-16	6432	XD	1.29999999
2020-07-16	6469	XD	0.98263055
2020-07-16	6488	XD	25.0
2020-07-16	6548	XD	0.9
2020-07-16	6662	XD	1.9
2020-07-16	8032	XD	1.13
2020-07-16	8066	XD	6.1032308
2020-07-16	8921	XD	0.6
2020-07-16	8942	XD	4.0
