Date	Ticker	Action	Value
2021-05-18	00878	XD	0.25
2021-05-18	00679B	XD	0.22
2021-05-18	00754B	XD	0.319
2021-05-18	00755B	XD	0.349
2021-05-18	00756B	XD	0.412
2021-05-18	00772B	XD	0.127
2021-05-18	00773B	XD	0.123
2021-05-18	00780B	XD	0.22
2021-05-18	00786B	XD	0.335
2021-05-18	00794B	XD	0.348
2021-05-18	00795B	XD	0.244
2021-05-18	00799B	XD	0.31
2021-05-18	00839B	XD	0.313
2021-05-18	00840B	XD	0.285
2021-05-18	00841B	XD	0.283
2021-05-18	00845B	XD	0.176
2021-05-18	00846B	XD	0.332
2021-05-18	00847B	XD	0.254
2021-05-18	00860B	XD	0.13
