Date	Ticker	Action	Value
2022-06-23	1218	XD	1
2022-06-23	1319	XD	0.85
2022-06-23	1323	XD	1.6
2022-06-23	1439	XD	0.2
2022-06-23	2104	XD	0.2
2022-06-23	2450	XD	2
2022-06-23	2454	XD	73.00106
2022-06-23	2455	XD	4
2022-06-23	2461	XD	1.191803
2022-06-23	2480	XD	5.62
2022-06-23	2504	XD	1.8
2022-06-23	2722	XD	0.2
2022-06-23	3056	XD	1.5
2022-06-23	3518	XD	1
2022-06-23	3528	XD	3.8
2022-06-23	3583	XD	2.5
2022-06-23	3669	XD	3.8
2022-06-23	3705	XD	1.7
2022-06-23	4148	XD	1.5
2022-06-23	4915	XD	3.10171
2022-06-23	6155	XD	0.85
2022-06-23	6214	XD	5
2022-06-23	6477	XD	0.510292
2022-06-23	6768	XD	3.5
2022-06-23	8210	XD	3.001025
2022-06-23	8213	XD	5
2022-06-23	00853B	XD	0.14
2022-06-23	1796	XD	1.0
2022-06-23	2916	XD	2.2
2022-06-23	3217	XD	5.6
2022-06-23	3402	XD	3.0
2022-06-23	4745	XD	1.5
2022-06-23	5230	XD	0.8
2022-06-23	5493	XD	3.1
2022-06-23	5604	XD	6.1
2022-06-23	6523	XD	2.0
2022-06-23	6762	XR	200.00001854
2022-06-23	6762	XD	3.0
