Date	Ticker	Action	Value
2020-08-25	1709	XD	0.5
2020-08-25	1726	XD	3.2
2020-08-25	1737	XD	1.5
2020-08-25	2115	XD	2.2
2020-08-25	2115	XR	50
2020-08-25	3002	XD	0.47
2020-08-25	3535	XD	0.5
2020-08-25	4426	XD	0.48
2020-08-25	4426	XR	72
2020-08-25	4961	XD	1.00079
2020-08-25	5269	XD	11.968914
2020-08-25	6172	XD	0.2
2020-08-25	6183	XD	1.75
2020-08-25	6552	XD	2
2020-08-25	9927	XD	2
2020-08-25	9941	XD	4.5
2020-08-25	9941	XR	100
2020-08-25	9941A	XD	2.000000
2020-08-25	3226	XD	3.0
2020-08-25	3317	XD	1.0
2020-08-25	3646	XD	0.85000063
2020-08-25	4130	XR	20.0
2020-08-25	4130	XD	0.465
2020-08-25	4907	XD	1.2
2020-08-25	5452	XD	0.22
2020-08-25	5457	XD	0.5002507
2020-08-25	6199	XD	0.2
2020-08-25	6683	XD	4.0
2020-08-25	7402	XR	66.80348817
2020-08-25	7402	XD	0.56526027
2020-08-25	8043	XD	0.5
2020-08-25	8096	XR	20.0
2020-08-25	8096	XD	0.2
2020-08-25	8446	XD	3.5
